ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
107,228,206600,6212,206600
108,230,207410,6212,207410
108,230,208060,6212,208060
108,230,208060,6212,208060
109,238,216060,6212,216060
110,240,217060,6212,217060
110,240,218060,6212,218060
110,240,218060,6212,218060
111,242,218530,6212,218530
111,242,219340,6212,219340
112,244,220340,6212,220340
112,244,221150,6212,221150
113,246,222150,6212,222150
113,246,222620,6212,222620
113,246,223620,6212,223620
113,246,223730,6212,223730
114,248,224380,6212,224380
114,248,225380,6212,225380
114,248,225380,6212,225380
115,250,226030,6212,226030
115,250,227030,6212,227030
116,252,227840,6212,227840
116,252,228840,6212,228840
117,254,229840,6212,229840
117,254,230650,6212,230650
118,256,231120,6212,231120
118,256,231120,6212,231120
118,256,231440,6212,231440
118,256,232440,6212,232440
119,258,233440,6212,233440
119,258,234250,6212,234250
120,260,235250,6212,235250
120,260,235900,6212,235900
120,260,236370,6212,236370
120,260,236370,6212,236370
121,262,237370,6212,237370
121,262,237690,6212,237690
122,264,238690,6212,238690
122,264,239690,6212,239690
123,266,240160,6212,240160
123,266,240970,6212,240970
123,266,241780,6212,241780
123,266,241940,6212,241940
124,268,242940,6212,242940
124,268,243940,6212,243940
124,268,243940,6212,243940
124,268,243940,6212,243940
124,268,244410,6212,244410
124,268,244410,6212,244410
125,270,245220,6212,245220
126,278,253220,6212,253220
126,278,254220,6212,254220
127,280,255220,6212,255220
127,280,256220,6212,256220
128,282,257220,6212,257220
128,282,258030,6212,258030
129,284,259030,6212,259030
129,284,260030,6212,260030
130,286,260680,6212,260680
130,286,261490,6212,261490
131,288,262490,6212,262490
131,288,262810,6212,262810
131,288,262810,6212,262810
131,288,263810,6212,263810
132,290,264810,6212,264810
132,290,265810,6212,265810
133,292,266810,6212,266810
134,294,267280,6212,267280
135,296,268280,6212,268280
135,296,269090,6212,269090
135,296,270090,6212,270090
136,298,271090,6212,271090
136,298,271560,6212,271560
137,300,272560,6212,272560
137,300,273370,6212,273370
137,300,274370,6212,274370
138,302,275370,6212,275370
138,302,275840,6212,275840
138,302,276840,6212,276840
138,302,277160,6212,277160
139,304,278160,6212,278160
139,304,279160,6212,279160
140,306,280160,6212,280160
140,306,280970,6212,280970
141,308,281440,6212,281440
141,308,282250,6212,282250
142,310,283250,6212,283250
142,310,284060,6212,284060
143,312,285060,6212,285060
143,312,286060,6212,286060
144,314,287060,6212,287060
144,314,288060,6212,288060
144,314,288220,6212,288220
145,316,289220,6212,289220
145,316,290220,6212,290220
145,316,290220,6212,290220
145,316,290220,6212,290220
145,316,290220,6212,290220
146,318,291030,6212,291030
146,318,291500,6212,291500
146,318,291970,6212,291970
147,320,292620,6212,292620
147,320,292940,6212,292940
148,322,293940,6212,293940
148,322,294410,6212,294410
149,324,295410,6212,295410
150,332,295410,6212,295410
150,332,296410,6212,296410
150,332,297000,6212,297000
151,334,298000,6212,298000
151,334,299000,6212,299000
152,336,300000,6212,300000
152,336,300000,6212,300000
153,344,308000,6212,308000
153,344,308650,6212,308650
154,346,309460,6212,309460
154,346,310460,6212,310460
155,348,311050,6212,311050
156,352,315050,6212,315050
156,352,315860,6212,315860
157,354,316860,6212,316860
