ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
851346.42,14.0,0.94,425846.94,7.0
851180.14,14.0,0.94,425723.18,7.0
850952.9,14.0,0.93,425561.41,7.0
850797.51,14.0,0.93,425503.03,7.0
851158.13,14.0,0.94,425817.32,7.01
851002.74,14.0,0.94,425670.81,7.0
850836.46,14.0,0.94,425635.18,7.01
850404.51,14.0,0.93,425226.11,7.0
849783.82,13.99,0.93,424494.7,6.99
849628.43,13.99,0.93,424420.16,6.99
849462.16,13.99,0.93,424312.56,6.99
849143.87,13.99,0.92,424079.34,6.98
849177.21,13.99,0.92,424123.74,6.99
849273.22,13.99,0.93,424047.99,6.99
849106.94,13.99,0.92,423985.36,6.99
848951.55,13.99,0.92,423910.82,6.99
848629.89,13.99,0.92,423728.67,6.98
848990.5,13.99,0.93,424161.51,6.99
848668.84,13.99,0.93,423979.36,6.99
848513.45,13.99,0.93,423832.85,6.99
848347.18,13.99,0.93,423797.22,6.99
848191.79,13.99,0.93,423722.15,6.99
848025.52,13.99,0.93,423615.08,6.99
847870.13,13.99,0.93,423540.01,6.99
847703.85,13.99,0.93,423432.94,6.99
847548.46,13.99,0.93,423286.43,6.99
847570.92,13.99,0.93,423436.12,6.99
846525.76,14.0,0.93,423103.14,7.0
846417.25,13.99,0.93,422979.67,6.99
846450.6,14.0,0.93,423024.07,6.99
846473.05,14.0,0.93,423125.35,7.0
846473.05,14.0,0.93,422964.72,6.99
846645.02,14.0,0.94,422977.65,7.0
846478.74,14.0,0.94,423103.9,7.0
846759.2,14.01,0.94,423172.92,7.0
846592.92,14.01,0.94,423357.6,7.01
846686.95,14.01,0.95,424419.59,7.02
846720.29,14.01,0.95,424463.98,7.02
846344.45,14.01,0.94,424088.14,7.02
846366.9,14.01,0.94,424189.42,7.02
846211.52,14.01,0.94,424114.88,7.02
846045.24,14.01,0.94,424007.28,7.02
846076.23,14.01,0.95,423550.36,7.01
845811.64,14.01,0.94,423208.42,7.01
845811.64,14.01,0.94,423208.42,7.01
846198.62,14.02,0.95,427256.93,7.08
846148.62,14.01,0.95,427206.93,7.08
845993.23,14.01,0.95,427080.9,7.07
846015.69,14.02,0.95,427210.11,7.08
845718.33,14.01,0.95,426918.78,7.07
845998.79,14.02,0.95,426972.85,7.07
845832.51,14.02,0.95,427103.24,7.08
845865.86,14.02,0.96,427142.93,7.08
845699.58,14.02,0.96,427100.42,7.08
845544.19,14.02,0.95,426953.91,7.08
845796.3,14.02,0.96,427335.25,7.09
845968.26,14.03,0.96,427348.18,7.09
845801.99,14.03,0.96,427474.44,7.09
845646.6,14.03,0.96,427330.82,7.09
845480.33,14.03,0.96,427292.29,7.09
849532.29,14.1,1.03,428690.67,7.11
849376.9,14.1,1.03,428632.28,7.11
849210.62,14.09,1.03,428508.53,7.11
849055.24,14.09,1.03,428364.91,7.11
848888.96,14.09,1.03,428326.38,7.11
848733.57,14.09,1.03,428268.0,7.11
848567.3,14.09,1.03,428144.24,7.11
848852.96,14.1,1.04,427908.78,7.11
848143.69,14.09,1.03,427155.39,7.1
848429.35,14.1,1.03,426931.55,7.09
848601.32,14.1,1.04,426944.47,7.1
847892.05,14.09,1.03,426179.46,7.08
847733.32,14.09,1.03,426024.13,7.08
847465.97,14.09,1.02,425762.81,7.08
847299.69,14.09,1.02,425889.07,7.08
847140.96,14.08,1.02,425755.16,7.08
846985.58,14.08,1.02,425680.08,7.08
846819.3,14.08,1.02,425573.02,7.08
846663.91,14.08,1.02,425514.63,7.08
846497.64,14.08,1.02,425390.87,7.08
846669.6,14.09,1.02,425403.8,7.08
846293.76,14.08,1.02,425097.2,7.07
846127.49,14.08,1.02,425183.76,7.08
846127.49,14.08,1.02,425183.76,7.08
845972.1,14.08,1.02,425037.25,7.07
845805.82,14.08,1.02,425001.62,7.08
846464.19,14.09,1.03,425151.36,7.08
846068.43,14.09,1.02,424688.58,7.07
846099.42,14.09,1.03,424231.66,7.07
846184.82,14.09,1.03,424239.73,7.07
846184.82,14.09,1.03,424239.73,7.07
845139.67,14.1,1.03,423906.74,7.07
844984.28,14.09,1.03,423763.12,7.07
844818.0,14.09,1.03,423724.6,7.07
844818.0,14.09,1.03,423724.6,7.07
845098.46,14.1,1.04,423774.97,7.07
845120.91,14.1,1.04,424034.24,7.08
844963.17,14.1,1.04,423392.27,7.07
844886.04,14.1,1.04,423229.77,7.06
844730.65,14.1,1.04,423155.23,7.06
844354.81,14.1,1.03,422901.85,7.06
844188.53,14.1,1.03,422794.25,7.06
844078.53,14.1,1.03,422684.25,7.06
844250.5,14.1,1.04,422697.17,7.06
844084.22,14.1,1.04,422783.73,7.06
844084.22,14.1,1.04,422783.73,7.06
844256.19,14.1,1.04,422796.66,7.06
844089.92,14.1,1.04,422922.92,7.07
844120.91,14.11,1.04,422466.0,7.06
843856.31,14.1,1.04,422124.06,7.06
843700.92,14.1,1.04,422065.68,7.06
843723.38,14.11,1.04,422105.83,7.06
844003.83,14.11,1.05,422159.9,7.06
844003.83,14.11,1.05,422159.9,7.06
843706.48,14.11,1.04,421868.57,7.05
843540.2,14.11,1.04,422068.2,7.06
843384.82,14.11,1.04,421993.66,7.06
843407.27,14.11,1.04,422049.97,7.06
843251.88,14.11,1.04,421991.58,7.06
843412.96,14.11,1.05,422149.45,7.06
843037.12,14.11,1.04,421773.61,7.06
843037.12,14.11,1.04,421773.61,7.06
843322.78,14.12,1.05,421538.15,7.06
843025.43,14.11,1.05,421286.53,7.05
842870.04,14.11,1.05,421140.01,7.05
842703.77,14.11,1.05,421104.38,7.05
842984.22,14.12,1.05,421173.4,7.05
842464.95,14.11,1.04,420610.01,7.04
842487.41,14.11,1.05,420856.87,7.05
842328.68,14.11,1.04,420701.55,7.05
842173.29,14.11,1.04,420626.47,7.05
842007.02,14.11,1.04,420519.41,7.05
842007.02,14.11,1.04,420519.41,7.05
842007.02,14.11,1.04,420519.41,7.05
841631.17,14.1,1.04,420265.23,7.04
841631.17,14.1,1.04,420265.23,7.04
841664.52,14.11,1.04,420309.62,7.04
840619.36,14.11,1.04,419976.64,7.05
840453.09,14.11,1.04,419914.01,7.05
840297.7,14.11,1.04,419839.47,7.05
840131.42,14.11,1.04,419731.87,7.05
839976.03,14.11,1.04,419585.36,7.05
839998.49,14.11,1.04,419735.05,7.05
839843.1,14.11,1.04,419590.15,7.05
839676.83,14.11,1.04,419552.91,7.05
840311.27,14.12,1.06,419616.23,7.05
839793.22,14.11,1.05,419104.05,7.04
839637.83,14.11,1.05,418960.43,7.04
839340.48,14.11,1.04,418708.81,7.04
839340.48,14.11,1.04,418708.81,7.04
839174.21,14.11,1.04,418670.28,7.04
839018.82,14.11,1.04,418525.39,7.04
838852.54,14.11,1.04,418488.14,7.04
839138.2,14.11,1.05,418264.3,7.04
839942.6,14.13,1.06,418547.45,7.04
839787.22,14.13,1.06,418472.91,7.04
839267.95,14.12,1.06,417897.89,7.03
839101.68,14.12,1.06,417790.29,7.03
838946.29,14.12,1.06,417731.91,7.03
839215.85,14.13,1.06,417974.75,7.04
839060.47,14.13,1.06,417900.21,7.04
838552.46,14.12,1.06,417348.21,7.03
838386.19,14.12,1.06,417240.61,7.03
838230.8,14.12,1.06,417166.07,7.03
837854.96,14.11,1.05,416859.47,7.02
837688.68,14.11,1.05,416751.86,7.02
837391.33,14.11,1.05,416460.54,7.02
837235.94,14.11,1.05,416386.0,7.02
837069.67,14.11,1.04,416278.39,7.02
836914.28,14.11,1.04,416249.57,7.02
836936.73,14.11,1.05,416270.44,7.02
837741.13,14.13,1.06,416553.59,7.02
837233.13,14.12,1.05,416001.59,7.02
837077.74,14.12,1.05,415943.21,7.02
837100.2,14.12,1.06,415983.35,7.02
836944.81,14.12,1.06,415908.81,7.02
836778.53,14.12,1.06,415801.21,7.02
836623.15,14.12,1.06,415726.14,7.02
836456.87,14.12,1.06,415619.07,7.02
836298.14,14.12,1.05,415485.16,7.01
836142.75,14.12,1.05,415338.65,7.01
835976.48,14.12,1.05,415303.02,7.01
835976.48,14.12,1.05,415303.02,7.01
835976.48,14.12,1.05,415303.02,7.01
835976.48,14.12,1.05,415303.02,7.01
836009.82,14.12,1.06,415347.42,7.01
836279.39,14.13,1.06,415618.9,7.02
835903.55,14.12,1.06,415364.72,7.02
836537.99,14.13,1.07,415428.04,7.02
836240.63,14.13,1.06,415176.41,7.01
836085.25,14.13,1.06,415118.03,7.01
836354.81,14.13,1.07,415360.87,7.02
836199.43,14.13,1.07,415302.49,7.02
836295.43,14.13,1.07,415226.74,7.02
836129.16,14.13,1.07,415102.98,7.02
835831.11,14.13,1.07,414810.81,7.01
