ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
858727.75,14.01,0.41,183545.25,2.99
858528.08,14.01,0.41,183351.47,2.99
858796.9,14.01,0.42,183425.95,2.99
858848.59,14.01,0.42,183700.57,3.0
858712.63,14.02,0.42,183599.3,3.0
858367.85,14.01,0.41,183389.16,2.99
858419.54,14.01,0.42,183571.34,3.0
858471.23,14.02,0.42,183694.45,3.0
858335.27,14.02,0.42,183652.25,3.0
858398.04,14.02,0.42,183265.53,2.99
858185.08,14.02,0.42,182901.77,2.99
858049.12,14.02,0.42,182798.87,2.99
858312.8,14.02,0.43,189328.43,3.09
862391.6,14.09,0.49,190522.53,3.11
862255.64,14.09,0.49,190522.53,3.11
862570.56,14.1,0.5,190310.29,3.11
862911.49,14.1,0.51,190050.93,3.11
863180.31,14.11,0.51,190125.41,3.11
862835.53,14.1,0.51,189948.02,3.11
864755.45,14.14,0.54,191963.22,3.14
864619.49,14.14,0.54,192023.22,3.14
864934.41,14.14,0.55,191810.98,3.14
865577.99,14.16,0.56,191973.48,3.14
865577.99,14.16,0.56,191973.28,3.14
865442.03,14.16,0.56,191953.67,3.14
865306.07,14.16,0.56,191870.37,3.14
865384.65,14.16,0.56,191829.75,3.14
866028.23,14.17,0.57,191992.24,3.14
866028.23,14.17,0.57,191992.24,3.14
866028.23,14.17,0.57,192143.92,3.14
866028.23,14.17,0.57,192208.0,3.14
865892.28,14.17,0.57,192105.1,3.14
865756.32,14.17,0.57,192105.1,3.14
866025.14,14.18,0.58,192179.58,3.15
865680.36,14.17,0.57,192002.19,3.14
865680.36,14.17,0.57,191836.41,3.14
865217.59,14.17,0.57,191300.51,3.13
864728.82,14.16,0.56,190811.75,3.12
864788.56,14.16,0.56,196859.57,3.22
864498.89,14.16,0.56,196617.49,3.22
864220.9,14.15,0.56,196341.23,3.22
863133.22,14.15,0.56,196341.23,3.22
863038.81,14.15,0.56,196061.91,3.22
862576.04,14.15,0.55,195526.02,3.21
862440.08,14.15,0.55,195586.02,3.21
863102.24,14.16,0.56,195647.89,3.21
862615.23,14.15,0.56,195226.58,3.2
862479.27,14.15,0.56,195206.96,3.2
869331.85,14.27,0.67,197109.15,3.23
869603.89,14.27,0.68,197433.88,3.24
869872.71,14.28,0.68,197508.36,3.24
869736.75,14.28,0.68,197663.7,3.24
869600.79,14.28,0.68,197554.31,3.24
869464.83,14.28,0.68,197554.31,3.24
868941.36,14.27,0.67,197030.84,3.24
868805.4,14.27,0.67,197011.22,3.24
