ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
850519.78,13.87,0.28,176886.31,2.89
850519.78,13.87,0.28,176886.31,2.89
850175.0,13.87,0.27,176879.64,2.89
849974.91,13.87,0.27,176668.97,2.88
850243.74,13.87,0.28,176657.81,2.88
850295.43,13.88,0.28,176657.81,2.88
850170.54,13.88,0.28,175935.39,2.87
849825.76,13.87,0.28,176470.66,2.88
849800.46,13.87,0.28,176452.23,2.88
849852.15,13.88,0.28,176227.36,2.88
849716.19,13.88,0.28,176144.07,2.88
849767.88,13.88,0.28,176039.93,2.87
849642.99,13.88,0.28,175430.53,2.87
849430.04,13.88,0.28,175111.42,2.86
849430.04,13.88,0.28,175111.42,2.86
849430.04,13.88,0.28,175111.42,2.86
849294.08,13.88,0.28,175008.52,2.86
849158.12,13.88,0.28,175008.52,2.86
849022.16,13.88,0.28,174974.35,2.86
849290.99,13.88,0.29,174853.59,2.86
848979.16,13.88,0.28,175864.48,2.87
848979.16,13.88,0.28,175864.48,2.87
848843.2,13.88,0.28,175795.74,2.87
848676.56,13.88,0.28,175512.49,2.87
848945.38,13.88,0.29,175512.29,2.87
848945.38,13.88,0.29,175512.29,2.87
848809.42,13.88,0.29,175492.68,2.87
848673.46,13.88,0.29,175409.38,2.87
848328.68,13.88,0.28,175409.38,2.87
848597.5,13.88,0.29,175409.38,2.87
848597.5,13.88,0.29,175409.38,2.87
848597.5,13.88,0.29,175409.38,2.87
848597.5,13.88,0.29,175409.38,2.87
848461.54,13.88,0.29,175306.48,2.87
848325.58,13.88,0.29,175306.48,2.87
847980.8,13.88,0.28,175372.52,2.87
848249.62,13.89,0.29,175357.21,2.87
848249.62,13.89,0.29,175357.21,2.87
848301.31,13.89,0.29,175354.48,2.87
848353.01,13.89,0.29,175313.56,2.87
848353.01,13.89,0.29,175313.56,2.87
848033.01,13.89,0.29,174993.56,2.87
847845.3,13.88,0.29,177588.53,2.91
846757.62,13.88,0.29,177588.53,2.91
846560.24,13.88,0.29,178091.53,2.92
846611.94,13.88,0.29,178091.71,2.92
846475.98,13.88,0.29,178072.09,2.92
846340.02,13.88,0.29,178071.72,2.92
846391.71,13.89,0.29,178017.05,2.92
846266.82,13.89,0.29,177407.65,2.91
846266.82,13.89,0.29,177407.65,2.91
846538.86,13.89,0.3,177039.99,2.91
846807.68,13.9,0.3,178691.51,2.93
846594.73,13.9,0.3,178372.4,2.93
846458.77,13.9,0.3,178289.1,2.93
846322.81,13.9,0.3,178179.74,2.93
845799.33,13.89,0.29,177656.26,2.92
845663.37,13.89,0.29,177656.26,2.92
845538.48,13.89,0.29,177046.87,2.91
845260.49,13.89,0.29,176673.89,2.9
845235.19,13.89,0.29,176537.91,2.9
845418.9,13.89,0.3,176570.16,2.9
845074.12,13.89,0.29,176280.41,2.9
845346.15,13.89,0.3,176255.11,2.9
845397.84,13.9,0.3,176255.29,2.9
845666.67,13.9,0.31,176248.33,2.9
845530.71,13.9,0.31,176145.42,2.9
845185.92,13.9,0.3,176526.41,2.9
845049.96,13.9,0.3,176526.41,2.9
845101.66,13.9,0.3,176595.12,2.9
844915.07,13.9,0.3,177005.73,2.91
844625.4,13.89,0.3,177045.77,2.91
844489.44,13.89,0.3,177046.04,2.91
844489.44,13.89,0.3,177046.04,2.91
844353.48,13.89,0.3,176942.87,2.91
844405.17,13.9,0.3,176912.43,2.91
844674.0,13.9,0.31,177004.36,2.91
844486.16,13.9,0.3,177167.61,2.92
844486.16,13.9,0.3,177167.61,2.92
844537.85,13.9,0.31,177167.23,2.92
844589.54,13.9,0.31,177167.23,2.92
844641.23,13.91,0.31,177167.23,2.92
844505.27,13.91,0.31,177147.62,2.92
844354.91,13.91,0.31,177001.09,2.91
844406.6,13.91,0.31,177096.03,2.92
844675.43,13.91,0.32,177091.48,2.92
844727.12,13.92,0.32,177091.66,2.92
844778.81,13.92,0.32,177091.29,2.92
844642.85,13.92,0.32,177007.99,2.92
844642.85,13.92,0.32,177007.99,2.92
844506.89,13.92,0.32,176905.09,2.92
844506.89,13.92,0.32,176905.09,2.92
844370.93,13.92,0.32,176905.09,2.92
844026.15,13.91,0.32,176814.69,2.91
843880.06,13.91,0.32,176617.59,2.91
844063.78,13.92,0.32,177126.68,2.92
844332.6,13.92,0.33,176969.37,2.92
844384.29,13.93,0.33,176969.55,2.92
844248.33,13.93,0.33,176866.64,2.92
844300.02,13.93,0.33,176866.27,2.92
843965.24,13.92,0.33,176693.71,2.92
844234.06,13.93,0.33,177840.68,2.93
844285.76,13.93,0.34,177840.68,2.93
844070.53,13.93,0.33,177642.69,2.93
843934.57,13.93,0.33,177642.69,2.93
843589.79,13.92,0.33,177313.09,2.93
843773.5,13.93,0.33,177652.64,2.93
843825.19,13.93,0.34,177652.64,2.93
843667.54,13.93,0.33,177494.99,2.93
843667.54,13.93,0.33,177733.27,2.93
843719.23,13.93,0.34,178810.99,2.95
843583.27,13.93,0.34,178791.38,2.95
843766.98,13.94,0.34,178840.19,2.95
844035.81,13.94,0.35,178859.0,2.95
843990.58,13.94,0.35,178815.86,2.95
843704.7,13.94,0.34,178511.45,2.95
843756.39,13.94,0.34,178511.63,2.95
843411.61,13.94,0.34,178444.01,2.95
843595.32,13.94,0.34,179861.31,2.97
843459.36,13.94,0.34,179778.01,2.97
843323.4,13.94,0.34,179743.85,2.97
843187.44,13.94,0.34,179675.11,2.97
843478.84,13.95,0.35,179224.96,2.96
843478.84,13.95,0.35,179224.96,2.96
843342.88,13.95,0.35,179122.06,2.96
843342.88,13.95,0.35,178858.84,2.96
843350.34,13.95,0.35,177837.45,2.94
843214.38,13.95,0.35,177837.45,2.94
842984.97,13.94,0.35,179216.7,2.96
842968.94,13.95,0.35,179060.26,2.96
842832.98,13.95,0.35,179060.52,2.96
842697.02,13.95,0.35,178957.35,2.96
842561.06,13.95,0.35,178956.98,2.96
842279.62,13.94,0.35,178366.0,2.95
842331.31,13.94,0.35,178366.0,2.95
842195.35,13.94,0.35,178263.09,2.95
842059.39,13.94,0.35,178263.09,2.95
842111.08,13.95,0.35,178275.8,2.95
842162.77,13.95,0.35,178266.5,2.95
842162.77,13.95,0.35,178266.5,2.95
842026.81,13.95,0.35,178163.6,2.95
841890.85,13.95,0.35,178163.6,2.95
841754.9,13.95,0.35,178143.98,2.95
841806.59,13.95,0.36,178140.57,2.95
842075.41,13.96,0.36,178140.57,2.95
841939.45,13.96,0.36,178057.28,2.95
841991.14,13.96,0.37,179563.91,2.98
841701.47,13.96,0.36,179239.7,2.97
841701.47,13.96,0.36,179139.65,2.97
841701.47,13.96,0.36,179139.65,2.97
841565.51,13.96,0.36,179036.74,2.97
841429.55,13.96,0.36,179036.74,2.97
841323.19,13.96,0.36,179069.39,2.97
841323.19,13.96,0.36,179069.39,2.97
841374.88,13.96,0.36,179069.57,2.97
841238.92,13.96,0.36,179049.96,2.97
841102.96,13.96,0.36,178966.66,2.97
841154.66,13.96,0.37,178966.29,2.97
841423.48,13.97,0.37,178966.29,2.97
841475.17,13.97,0.37,178966.29,2.97
841500.84,13.97,0.37,178977.05,2.97
