ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
858375.85,13.82,0.2,193024.44,3.11
858118.36,13.82,0.2,192570.34,3.1
857996.86,13.82,0.2,192457.95,3.1
857739.36,13.81,0.19,192224.32,3.1
857739.36,13.81,0.19,192222.36,3.1
857960.68,13.82,0.2,192222.36,3.1
857811.1,13.82,0.2,192298.97,3.1
857674.89,13.82,0.2,192253.03,3.1
857538.69,13.82,0.2,192222.36,3.1
857281.19,13.81,0.19,191768.26,3.09
857282.89,13.82,0.19,191573.35,3.09
857025.39,13.81,0.19,191119.25,3.08
856767.89,13.81,0.19,190885.62,3.08
856719.75,13.81,0.19,190837.48,3.08
856462.26,13.81,0.19,190383.38,3.07
856694.56,13.81,0.19,190419.08,3.07
856437.06,13.81,0.19,189964.98,3.06
856658.38,13.81,0.19,191997.73,3.1
856658.38,13.81,0.19,191867.31,3.09
856400.89,13.81,0.19,191413.21,3.09
856143.39,13.81,0.19,190959.11,3.08
855885.89,13.81,0.19,190505.01,3.07
855440.26,13.8,0.18,190083.23,3.07
855304.05,13.8,0.18,190083.23,3.07
855165.72,13.8,0.18,190812.87,3.08
855337.53,13.8,0.18,191116.43,3.08
855421.89,13.81,0.19,191004.2,3.08
855143.88,13.8,0.18,190730.63,3.08
854698.24,13.8,0.18,190088.39,3.07
854753.8,13.8,0.18,189521.1,3.06
854496.3,13.8,0.18,189067.0,3.05
854238.8,13.8,0.17,188612.9,3.05
854238.8,13.8,0.17,188612.9,3.05
854410.62,13.8,0.18,188612.64,3.05
854274.41,13.8,0.18,188612.64,3.05
853996.39,13.8,0.17,188665.37,3.05
853860.19,13.8,0.18,188623.39,3.05
853602.69,13.79,0.17,188169.29,3.04
853602.69,13.79,0.17,188169.29,3.04
853774.5,13.8,0.18,188158.54,3.04
853517.01,13.8,0.17,187704.44,3.03
853071.37,13.79,0.17,187062.2,3.02
853243.18,13.79,0.17,188484.04,3.05
853464.5,13.8,0.18,188483.78,3.05
853399.71,13.8,0.18,189019.95,3.06
853102.18,13.79,0.17,189019.95,3.06
852656.55,13.79,0.17,188377.71,3.05
852399.05,13.79,0.17,187923.61,3.04
852678.87,13.79,0.17,187427.31,3.03
852850.68,13.8,0.18,187427.31,3.03
852730.8,13.8,0.17,187539.61,3.03
852952.12,13.8,0.18,187603.28,3.04
852815.92,13.8,0.18,187508.18,3.03
852815.92,13.8,0.18,187512.57,3.03
852815.92,13.8,0.18,187512.57,3.03
852815.92,13.8,0.18,187507.92,3.03
853002.43,13.8,0.18,189374.93,3.06
852866.23,13.8,0.18,191237.2,3.1
852730.02,13.8,0.18,191236.94,3.1
852605.12,13.8,0.18,190625.57,3.09
852605.12,13.8,0.18,190625.57,3.09
852605.12,13.8,0.18,190813.79,3.09
852468.92,13.8,0.18,190750.33,3.09
852468.92,13.8,0.18,190894.87,3.09
852082.55,13.8,0.18,190586.78,3.09
851957.65,13.8,0.18,189975.4,3.08
851755.7,13.8,0.18,190187.93,3.08
851369.33,13.79,0.17,189879.84,3.08
851590.65,13.8,0.18,189860.16,3.08
851625.56,13.8,0.18,188958.16,3.06
851489.35,13.8,0.18,188928.31,3.06
851357.02,13.8,0.18,189555.97,3.07
851365.61,13.8,0.18,189351.84,3.07
851186.49,13.8,0.18,189249.04,3.07
851407.81,13.8,0.18,189433.82,3.07
851148.41,13.8,0.18,189160.27,3.07
851016.08,13.8,0.18,188407.42,3.06
851234.7,13.81,0.19,188653.2,3.06
851112.04,13.81,0.19,186956.31,3.03
850793.87,13.8,0.18,186620.24,3.03
850506.35,13.8,0.18,186404.9,3.02
850370.14,13.8,0.18,186274.49,3.02
850370.14,13.8,0.18,186274.49,3.02
850446.84,13.8,0.18,185727.24,3.01
850446.84,13.8,0.18,185727.24,3.01
850643.15,13.81,0.19,188945.72,3.07
850698.96,13.81,0.19,188675.63,3.06
850574.53,13.81,0.19,188533.06,3.06
850626.46,13.81,0.19,188717.42,3.06
850847.78,13.82,0.2,188745.49,3.06
850550.26,13.81,0.19,188580.88,3.06
850602.19,13.82,0.19,188825.21,3.07
850654.12,13.82,0.2,188824.95,3.07
850517.92,13.82,0.2,188824.95,3.07
850517.92,13.82,0.2,188824.95,3.07
850739.24,13.82,0.2,188841.67,3.07
849649.59,13.82,0.2,188841.67,3.07
849649.59,13.82,0.2,188819.57,3.07
849821.4,13.83,0.21,188812.7,3.07
849873.34,13.83,0.21,188808.81,3.07
849685.32,13.83,0.21,188802.85,3.07
849685.32,13.83,0.21,188802.85,3.07
849737.25,13.83,0.21,189207.43,3.08
