ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1596968.36,26.02,0.56,223666.04,3.64
1596968.36,26.02,0.56,223666.04,3.64
1596968.36,26.02,0.56,223666.04,3.64
1596762.16,26.02,0.56,223660.88,3.64
1598680.17,26.05,0.6,226283.7,3.69
1598807.87,26.06,0.6,226100.23,3.69
1598339.06,26.05,0.6,225571.73,3.68
1598132.86,26.06,0.6,225500.66,3.68
1597759.14,26.05,0.59,225260.98,3.67
1597552.95,26.05,0.59,225255.82,3.67
1597346.75,26.05,0.59,225253.65,3.67
1596891.88,26.05,0.59,224867.98,3.67
1596685.68,26.05,0.59,224793.91,3.67
1597075.48,26.06,0.6,224863.35,3.67
1596869.28,26.06,0.6,224792.35,3.67
1596869.28,26.06,0.6,224792.35,3.67
1596869.28,26.06,0.6,224792.35,3.67
1596869.28,26.06,0.6,224792.35,3.67
1596885.81,26.06,0.6,224780.13,3.67
1596679.61,26.06,0.6,224774.9,3.67
1596022.03,26.06,0.6,224057.89,3.66
1595815.83,26.06,0.6,224055.87,3.66
1595797.67,26.06,0.6,224152.26,3.66
1595813.16,26.06,0.6,224144.58,3.66
1595813.16,26.06,0.6,224576.77,3.67
1595606.97,26.06,0.6,224502.56,3.67
1595606.97,26.06,0.6,224842.06,3.67
1595616.26,26.06,0.6,224956.75,3.67
1596323.82,26.07,0.61,230945.61,3.77
1596442.36,26.08,0.61,231197.45,3.78
1595973.55,26.07,0.61,230668.95,3.77
1601107.18,26.16,0.69,231735.89,3.79
1600874.64,26.16,0.69,231740.35,3.79
1600610.09,26.16,0.69,231703.27,3.79
1600482.5,26.16,0.69,231516.27,3.78
1600217.94,26.16,0.69,231512.05,3.78
1599953.38,26.16,0.69,231651.63,3.79
1599485.8,26.15,0.69,231124.62,3.78
1599224.73,26.15,0.69,231099.19,3.78
1599018.53,26.15,0.69,231028.37,3.78
1599018.53,26.15,0.69,230966.1,3.78
1599492.62,26.16,0.7,231075.84,3.78
1599286.42,26.17,0.7,231070.43,3.78
1599286.42,26.17,0.7,231133.39,3.78
1598678.21,26.16,0.69,230531.76,3.77
1598920.93,26.16,0.7,230592.2,3.77
1598714.73,26.17,0.7,230521.35,3.77
1598174.58,26.16,0.7,230023.6,3.77
1598105.04,26.16,0.7,229585.21,3.76
1597898.84,26.16,0.7,229579.83,3.76
1597738.92,26.16,0.7,229457.21,3.76
1597473.2,26.16,0.7,229415.7,3.76
1598116.64,26.18,0.71,229745.38,3.76
1597382.88,26.17,0.7,229000.84,3.75
1597126.58,26.17,0.7,229135.88,3.75
1596597.08,26.16,0.7,228598.19,3.75
1596321.93,26.16,0.7,228370.03,3.74
1596596.24,26.17,0.7,228156.37,3.74
1596560.67,26.17,0.71,228338.5,3.74
1596354.47,26.17,0.71,228336.33,3.74
1596148.28,26.17,0.71,228262.26,3.74
1595972.21,26.17,0.71,228034.23,3.74
1595766.02,26.17,0.71,227981.28,3.74
1595747.86,26.18,0.71,228077.67,3.74
