ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
84,194,145230,6212,145230
85,196,145600,6212,145600
85,196,146070,6212,146070
86,198,147070,6212,147070
86,198,147540,6212,147540
86,198,148540,6212,148540
86,198,149540,6212,149540
86,198,150010,6212,150010
87,200,151010,6212,151010
88,202,151820,6212,151820
88,202,152630,6212,152630
88,202,153630,6212,153630
88,202,153630,6212,153630
89,206,154630,6212,154630
90,208,155100,6212,155100
90,208,156100,6212,156100
90,208,156570,6212,156570
90,208,156940,6212,156940
90,208,157940,6212,157940
91,210,158750,6212,158750
91,210,159560,6212,159560
91,210,160020,6212,160020
92,212,160830,6212,160830
92,212,161480,6212,161480
92,212,161710,6212,161710
92,212,161710,6212,161710
92,212,161710,6212,161710
92,212,161710,6212,161710
92,212,162710,6212,162710
93,214,163520,6212,163520
94,218,167520,6212,167520
95,220,168520,6212,168520
96,228,169520,6212,169520
96,228,170520,6212,170520
96,228,171520,6212,171520
96,228,172520,6212,172520
96,228,172990,6212,172990
96,228,173990,6212,173990
96,228,174990,6212,174990
96,228,175460,6212,175460
97,230,176460,6212,176460
97,230,177460,6212,177460
98,232,178270,6212,178270
99,234,179270,6212,179270
99,234,179740,6212,179740
99,234,180740,6212,180740
100,238,181740,6212,181740
100,238,182740,6212,182740
101,240,183740,6212,183740
101,240,184740,6212,184740
102,242,185200,6212,185200
102,242,186200,6212,186200
103,250,186200,6212,186200
104,252,187200,6212,187200
104,252,188200,6212,188200
105,254,189200,6212,189200
105,254,189520,6212,189520
105,254,190330,6212,190330
106,256,191140,6212,191140
106,256,191690,6212,191690
107,258,192160,6212,192160
107,258,192160,6212,192160
107,258,192390,6212,192390
108,260,192860,6212,192860
108,260,193080,6212,193080
108,260,194080,6212,194080
108,260,194890,6212,194890
109,262,195890,6212,195890
109,262,196700,6212,196700
109,262,196700,6212,196700
110,264,197170,6212,197170
110,264,198170,6212,198170
111,266,199170,6212,199170
111,266,199980,6212,199980
111,266,200980,6212,200980
111,266,201980,6212,201980
111,266,202450,6212,202450
112,268,203450,6212,203450
113,270,204260,6212,204260
114,272,205260,6212,205260
114,272,205730,6212,205730
114,272,205730,6212,205730
115,274,206540,6212,206540
115,274,207350,6212,207350
115,274,207350,6212,207350
116,276,208350,6212,208350
117,278,209350,6212,209350
117,278,209580,6212,209580
118,280,211580,6212,211580
118,280,211580,6212,211580
119,282,212390,6212,212390
120,290,212390,6212,212390
120,290,213390,6212,213390
120,290,214390,6212,214390
120,290,215200,6212,215200
120,290,216200,6212,216200
120,290,217200,6212,217200
121,292,218200,6212,218200
122,294,219010,6212,219010
122,294,219330,6212,219330
122,294,220140,6212,220140
122,294,221140,6212,221140
123,296,222140,6212,222140
123,296,222140,6212,222140
123,296,223140,6212,223140
