ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
870575.11,14.02,0.67,344694.92,5.55
869962.52,14.01,0.67,343969.33,5.54
870020.14,14.01,0.67,343941.51,5.54
869871.67,14.01,0.67,343810.73,5.54
869447.79,14.0,0.66,343273.84,5.53
869299.32,14.0,0.66,343143.06,5.53
868875.44,14.0,0.66,342606.17,5.52
869160.8,14.0,0.66,342693.46,5.52
869012.32,14.0,0.66,342666.92,5.52
869075.0,14.01,0.66,342623.18,5.52
869075.0,14.01,0.66,344976.99,5.56
868849.73,14.0,0.66,344779.75,5.56
868701.26,14.0,0.66,344678.14,5.56
868741.5,14.01,0.66,345051.14,5.56
869073.31,14.01,0.67,344837.0,5.56
868845.03,14.01,0.67,344495.71,5.56
873431.33,14.08,0.74,349788.24,5.64
873488.95,14.09,0.74,349733.31,5.64
873326.37,14.08,0.74,349457.72,5.64
872902.49,14.08,0.74,348920.83,5.63
872180.73,14.07,0.73,348173.94,5.62
871568.14,14.06,0.72,347584.73,5.61
871485.56,14.06,0.72,347389.14,5.61
871402.97,14.06,0.72,347193.55,5.6
870790.39,14.05,0.71,346467.96,5.59
870641.92,14.05,0.71,346354.85,5.59
870704.59,14.05,0.71,346330.05,5.59
870556.12,14.05,0.71,346315.02,5.59
870407.65,14.05,0.71,346272.36,5.59
870259.18,14.05,0.71,346186.87,5.59
870869.23,14.07,0.72,346225.83,5.59
870445.35,14.06,0.72,345688.95,5.58
870022.77,14.06,0.71,345153.36,5.58
869874.3,14.06,0.71,345040.25,5.58
869280.41,14.06,0.71,344896.37,5.58
869131.94,14.06,0.71,344881.33,5.58
868983.47,14.06,0.71,344768.22,5.58
869268.83,14.06,0.72,344855.51,5.58
868895.0,14.06,0.71,344656.02,5.58
869180.36,14.06,0.72,345131.09,5.58
869031.89,14.06,0.72,345116.05,5.58
868668.06,14.06,0.71,344755.04,5.58
868846.46,14.06,0.72,344793.99,5.58
868697.98,14.06,0.72,344751.33,5.58
868549.51,14.06,0.72,344665.84,5.58
868549.51,14.06,0.72,347315.11,5.62
868589.75,14.06,0.72,347580.27,5.63
868441.27,14.06,0.72,347537.61,5.63
868358.69,14.06,0.72,347342.02,5.63
868443.6,14.06,0.72,347868.24,5.63
868295.13,14.06,0.72,347782.76,5.63
868146.66,14.06,0.72,347670.34,5.63
867998.19,14.06,0.72,347654.61,5.63
867849.72,14.06,0.72,347542.2,5.63
867777.13,14.06,0.72,347356.61,5.63
871363.69,14.12,0.78,348715.3,5.65
870939.81,14.12,0.77,348178.42,5.64
869872.33,14.12,0.77,347960.64,5.65
869723.86,14.12,0.77,347944.91,5.65
869575.39,14.12,0.77,347918.37,5.65
870407.0,14.13,0.79,348223.82,5.65
870258.53,14.13,0.79,348122.21,5.65
869756.98,14.13,0.78,347575.72,5.65
869144.39,14.12,0.77,346986.51,5.64
868720.51,14.11,0.77,346586.01,5.63
868572.04,14.11,0.77,346559.47,5.63
868572.04,14.11,0.77,346559.47,5.63
868423.57,14.11,0.77,346457.86,5.63
867999.69,14.11,0.76,345920.98,5.62
867851.21,14.11,0.76,345894.44,5.62
