ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
881376.86,14.38,0.76,187396.46,3.06
880991.32,14.38,0.76,186899.53,3.05
880624.61,14.37,0.75,186373.97,3.04
880924.88,14.38,0.76,186062.98,3.04
880992.73,14.38,0.76,186130.83,3.04
881767.56,14.4,0.78,186453.25,3.04
882381.22,14.41,0.79,186567.04,3.05
882621.78,14.41,0.79,186584.68,3.05
883396.61,14.43,0.81,186907.1,3.05
883011.07,14.42,0.8,186410.17,3.04
883544.9,14.43,0.81,186438.53,3.05
885233.02,14.46,0.84,187515.39,3.06
886361.1,14.48,0.86,188335.25,3.08
886661.37,14.49,0.86,188024.27,3.07
886239.22,14.48,0.86,187602.11,3.07
885930.31,14.48,0.86,187188.72,3.06
885421.62,14.47,0.85,186680.02,3.05
885544.91,14.47,0.85,186644.46,3.05
886124.3,14.48,0.86,187020.79,3.06
886347.59,14.49,0.87,187085.23,3.06
886613.94,14.49,0.87,186841.73,3.05
886225.71,14.49,0.87,186352.09,3.05
887334.44,14.51,0.89,187052.63,3.06
887872.0,14.52,0.9,187201.85,3.06
888138.35,14.52,0.9,186958.36,3.06
887750.12,14.52,0.9,186468.71,3.05
887383.41,14.52,0.9,185943.15,3.04
888511.49,14.53,0.91,186763.01,3.06
888585.01,14.54,0.91,187641.42,3.07
890239.08,14.56,0.94,188644.81,3.09
890539.35,14.57,0.95,188333.82,3.08
891227.47,14.58,0.96,188410.68,3.08
890805.32,14.58,0.96,187988.53,3.08
891580.15,14.59,0.97,188310.95,3.08
892260.71,14.6,0.98,188768.59,3.09
892384.0,14.61,0.99,188733.03,3.09
892921.56,14.62,1.0,188882.25,3.09
893068.6,14.62,1.0,189726.55,3.11
892701.89,14.61,0.99,189200.99,3.1
893152.45,14.62,1.0,189428.63,3.1
893418.8,14.63,1.01,189185.13,3.1
892920.87,14.62,1.0,188687.2,3.09
892532.64,14.62,1.0,188197.55,3.08
892165.93,14.61,0.99,187671.99,3.07
892796.9,14.62,1.0,187766.07,3.08
893571.73,14.64,1.02,188088.49,3.08
893838.08,14.65,1.02,187845.0,3.08
893985.12,14.65,1.03,188689.3,3.09
894086.89,14.65,1.03,188689.65,3.09
894300.18,14.65,1.03,188744.09,3.09
894037.33,14.65,1.03,188406.88,3.09
893597.37,14.65,1.03,187663.87,3.08
893347.42,14.65,1.02,187110.87,3.07
893961.07,14.66,1.04,187224.67,3.07
894094.83,14.66,1.04,186723.3,3.06
893958.62,14.66,1.04,186586.84,3.06
893573.09,14.66,1.04,186089.91,3.05
893657.45,14.66,1.04,186198.14,3.05
893982.96,14.67,1.05,186076.46,3.05
893733.01,14.66,1.04,185523.46,3.04
893483.05,14.66,1.04,184970.46,3.04
893233.09,14.66,1.04,184417.46,3.03
893432.59,14.66,1.04,184227.57,3.02
893698.94,14.67,1.05,183984.07,3.02
893800.71,14.67,1.05,183984.43,3.02
893550.12,14.67,1.05,183980.55,3.02
894083.95,14.68,1.06,184008.91,3.02
893833.99,14.68,1.06,183455.91,3.01
