ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1800106.22,29.38,0.86,211578.48,3.45
1800183.17,29.38,0.87,211394.6,3.45
1799507.25,29.38,0.86,210676.18,3.44
1799290.21,29.38,0.86,210670.89,3.44
1798733.4,29.37,0.86,210118.98,3.43
1798834.89,29.38,0.86,210623.51,3.44
1800123.59,29.4,0.88,212439.35,3.47
1800200.54,29.4,0.89,212235.1,3.47
1801194.48,29.42,0.9,213116.2,3.48
1802188.41,29.44,0.92,213997.29,3.5
1803182.34,29.45,0.94,214878.39,3.51
1803291.45,29.46,0.94,214874.37,3.51
1802804.15,29.45,0.94,214344.31,3.5
1803798.09,29.47,0.95,215225.41,3.52
1803875.04,29.47,0.96,215041.53,3.51
1803589.95,29.47,0.96,215017.13,3.51
1803444.03,29.47,0.96,214828.72,3.51
1803226.99,29.48,0.96,215077.17,3.52
1802928.86,29.48,0.96,215052.09,3.52
1802372.06,29.47,0.95,214520.54,3.51
1802449.01,29.48,0.96,214336.66,3.51
1802233.51,29.48,0.96,214273.4,3.5
1803555.92,29.5,0.98,215492.57,3.52
1803978.16,29.51,0.99,215602.26,3.53
1804055.11,29.52,1.0,215398.02,3.52
1805049.04,29.53,1.01,216279.11,3.54
1804402.15,29.52,1.01,215634.38,3.53
1804256.23,29.52,1.01,215445.96,3.53
1803962.62,29.52,1.01,215446.75,3.53
1803933.54,29.53,1.01,215624.66,3.53
1803906.01,29.53,1.01,215720.79,3.53
1803833.96,29.54,1.02,216524.53,3.55
1803277.16,29.53,1.01,215972.62,3.54
1804106.6,29.55,1.03,216268.1,3.54
1804697.82,29.56,1.04,216566.66,3.55
1803951.01,29.55,1.04,215824.75,3.54
1803275.09,29.55,1.03,215106.33,3.52
1802718.29,29.54,1.02,214574.79,3.52
1802777.16,29.55,1.03,214325.43,3.51
1803140.83,29.55,1.04,214216.34,3.51
1802844.03,29.55,1.04,213924.43,3.51
1802920.98,29.56,1.04,213720.18,3.5
1802997.93,29.56,1.05,213515.93,3.5
1802808.02,29.56,1.05,213378.31,3.5
1802061.21,29.56,1.04,212636.4,3.49
1801509.12,29.55,1.04,212140.91,3.48
1801600.79,29.56,1.04,211928.23,3.48
1801659.67,29.56,1.05,211678.87,3.47
1802023.34,29.57,1.06,211569.78,3.47
1801725.21,29.57,1.06,211607.27,3.47
1802298.4,29.58,1.07,211691.92,3.47
1802000.27,29.58,1.07,211666.81,3.47
1801705.67,29.58,1.06,211383.59,3.47
1801737.17,29.58,1.06,211260.87,3.47
1800990.37,29.57,1.06,210539.33,3.46
1803755.51,29.62,1.1,213646.31,3.51
1803847.18,29.62,1.11,213433.62,3.51
1803924.13,29.63,1.11,213249.74,3.5
1803367.33,29.62,1.11,212718.2,3.49
1803444.28,29.63,1.12,212534.32,3.49
1805139.31,29.66,1.14,214515.28,3.52
1805216.26,29.66,1.15,214331.4,3.52
1805807.48,29.68,1.16,214629.96,3.53
1805250.68,29.67,1.16,214098.42,3.52
1805342.35,29.68,1.16,213885.73,3.52
1805764.59,29.69,1.17,213995.42,3.52
1808529.73,29.73,1.22,217102.4,3.57
1809859.88,29.76,1.24,218176.6,3.59
1810357.7,29.76,1.25,218858.81,3.6
1810306.63,29.77,1.25,218844.46,3.6
1810255.56,29.77,1.25,218830.11,3.6
1809684.04,29.76,1.25,218307.0,3.59
1809466.99,29.76,1.25,218325.52,3.59
1808926.89,29.76,1.24,217837.44,3.58
1809920.82,29.77,1.26,218718.54,3.6
1811250.97,29.8,1.28,219792.75,3.62
1811327.92,29.8,1.29,219608.87,3.61
1810842.0,29.8,1.28,219080.46,3.6
1810873.51,29.8,1.28,218957.75,3.6
1810990.23,29.8,1.29,218774.37,3.6
1810418.7,29.79,1.28,218251.27,3.59
1810367.63,29.8,1.28,218236.92,3.59
1810152.14,29.8,1.28,218173.85,3.59
1810482.29,29.81,1.29,218248.06,3.59
1809806.37,29.8,1.29,217529.65,3.58
1810228.61,29.81,1.3,217639.34,3.58
1810558.76,29.82,1.31,217713.55,3.59
1810001.95,29.82,1.3,217161.63,3.58
1811974.84,29.85,1.33,220399.65,3.63
1811757.79,29.85,1.33,220393.9,3.63
1811834.75,29.86,1.34,220210.02,3.63
1811619.25,29.86,1.34,220146.96,3.63
1811062.45,29.85,1.34,219595.05,3.62
1810961.3,29.85,1.34,219719.08,3.62
1810830.1,29.85,1.34,219651.79,3.62
1810890.01,29.86,1.34,219403.47,3.62
1811104.9,29.86,1.35,219818.74,3.62
1811181.86,29.87,1.35,219614.49,3.62
1811258.81,29.88,1.36,219430.61,3.62
1811112.89,29.88,1.36,219242.2,3.62
1811189.84,29.88,1.37,219037.95,3.61
1810547.95,29.88,1.36,218403.48,3.6
1809991.15,29.87,1.35,217851.56,3.6
1809229.62,29.86,1.35,217138.46,3.58
1809493.02,29.87,1.35,218019.04,3.6
1809277.52,29.87,1.35,218024.3,3.6
1809868.74,29.88,1.36,218322.86,3.6
1809192.82,29.87,1.36,217604.44,3.59
1808820.89,29.87,1.35,217243.43,3.59
1808704.08,29.87,1.35,217131.52,3.59
1808781.03,29.88,1.36,216927.27,3.58
1808228.94,29.87,1.35,216431.79,3.58
1807676.85,29.87,1.35,215936.31,3.57
1807487.09,29.87,1.35,215798.84,3.57
1806930.29,29.86,1.34,215246.92,3.56
1807352.53,29.87,1.35,215356.61,3.56
1807391.45,29.87,1.36,215432.26,3.56
1809877.7,29.91,1.4,217643.16,3.6
1812642.84,29.96,1.44,220750.14,3.65
1815407.98,30.01,1.49,223857.12,3.7
1815499.65,30.01,1.5,223644.43,3.7
1814942.85,30.01,1.49,223112.89,3.69
1813711.09,30.01,1.49,222899.48,3.69
1813494.04,30.01,1.49,222825.42,3.69
1814480.23,30.03,1.51,224167.15,3.71
1814408.18,30.03,1.52,224970.9,3.72
1814192.69,30.03,1.52,224907.6,3.72
1814120.64,30.04,1.52,225711.35,3.74
1815478.92,30.06,1.55,226534.78,3.75
1816465.1,30.08,1.57,227876.51,3.77
1816795.25,30.09,1.58,227950.72,3.78
1818153.52,30.12,1.6,228774.14,3.79
1817936.48,30.12,1.6,228768.63,3.79
1817720.99,30.12,1.6,228761.27,3.79
1817248.41,30.12,1.6,228352.33,3.78
1817574.69,30.13,1.61,228422.67,3.79
1817782.29,30.13,1.62,228323.16,3.79
1817035.48,30.13,1.61,227581.25,3.77
1817112.43,30.13,1.62,227377.0,3.77
1817189.39,30.14,1.62,227193.12,3.77
1816893.58,30.14,1.62,227171.6,3.77
1816217.66,30.13,1.62,226453.19,3.76
1816080.56,30.13,1.62,226273.59,3.75
1815333.75,30.13,1.61,225552.05,3.74
1818098.89,30.17,1.66,228659.03,3.79
1818175.85,30.18,1.66,228475.15,3.79
1818252.8,30.18,1.67,228291.27,3.79
1818329.75,30.19,1.67,228087.02,3.79
1818333.83,30.19,1.68,228048.61,3.79
1817777.03,30.19,1.67,227517.06,3.78
1817224.93,30.18,1.67,227021.58,3.77
1817422.86,30.19,1.67,227366.67,3.78
1817276.94,30.19,1.67,227178.25,3.77
1817276.94,30.19,1.67,227178.25,3.77
1817595.26,30.19,1.68,228021.93,3.79
1818186.48,30.21,1.69,228320.49,3.79
1817993.83,30.2,1.69,228129.8,3.79
1817694.92,30.2,1.69,228259.9,3.79
1817123.4,30.2,1.68,227736.79,3.78
1817200.35,30.21,1.69,227552.92,3.78
1816643.55,30.2,1.68,227021.37,3.77
1819408.69,30.25,1.73,230128.35,3.83
1819555.36,30.25,1.74,230174.2,3.83
1819255.69,30.25,1.74,230425.65,3.83
1819315.6,30.26,1.74,230177.33,3.83
1818758.79,30.25,1.74,229625.42,3.82
1818750.14,30.26,1.74,229296.91,3.81
1818020.38,30.25,1.73,228619.44,3.8
1817635.58,30.25,1.73,228238.14,3.8
1817712.53,30.25,1.74,228033.89,3.8
1817155.72,30.25,1.73,227481.98,3.79
1816887.55,30.25,1.73,227478.89,3.79
1817106.32,30.25,1.74,227467.57,3.79
1818100.25,30.27,1.75,228348.67,3.8
1818072.72,30.27,1.76,228444.8,3.8
1817515.92,30.27,1.75,227892.88,3.8
1818846.07,30.29,1.77,228967.09,3.81
1818923.02,30.3,1.78,228783.21,3.81
1818999.97,30.3,1.79,228578.97,3.81
