ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
902183.61,14.87,2.61,828778.92,13.66
901959.34,14.87,2.61,828592.51,13.66
901841.84,14.87,2.61,828370.85,13.66
901650.78,14.87,2.6,828195.96,13.66
901426.51,14.87,2.6,828009.56,13.66
900682.26,14.86,2.59,827265.31,13.65
899947.3,14.86,2.59,826617.31,13.65
899756.24,14.86,2.59,826357.64,13.64
899531.97,14.85,2.59,826256.02,13.64
899073.27,14.85,2.58,825818.81,13.64
898614.58,14.84,2.58,825255.95,13.63
898155.88,14.84,2.57,824693.1,13.62
898155.88,14.84,2.57,824693.1,13.62
897964.82,14.84,2.57,824518.21,13.62
896947.4,14.84,2.57,823706.8,13.63
896723.13,14.84,2.57,823520.4,13.63
896532.07,14.84,2.57,823264.5,13.62
896307.8,14.84,2.57,823159.11,13.63
896116.74,14.84,2.57,822899.44,13.62
896081.28,14.84,2.57,822983.62,13.63
895890.22,14.84,2.57,822798.93,13.63
896107.55,14.84,2.58,822998.93,13.63
895725.94,14.84,2.57,822682.33,13.63
894744.76,14.84,2.57,821943.04,13.63
894553.7,14.84,2.57,821801.82,13.63
894658.17,14.84,2.58,821867.56,13.63
894908.72,14.85,2.58,821854.03,13.63
894873.25,14.85,2.58,822017.88,13.64
894660.36,14.85,2.58,821332.19,13.63
895133.07,14.86,2.59,821255.27,13.63
894818.66,14.85,2.59,820864.03,13.63
894627.61,14.85,2.59,820604.37,13.62
894403.33,14.85,2.59,820502.74,13.63
893988.0,14.85,2.59,820141.45,13.62
894108.21,14.86,2.59,819690.54,13.62
893910.71,14.85,2.59,819514.53,13.62
893910.71,14.85,2.59,819535.04,13.62
893495.38,14.85,2.59,819173.75,13.62
893196.64,14.85,2.58,818917.94,13.61
893005.58,14.85,2.58,818658.27,13.61
892781.31,14.85,2.58,818556.65,13.61
892781.31,14.85,2.58,818536.13,13.61
892590.25,14.84,2.58,818351.44,13.61
892208.64,14.84,2.57,818084.31,13.61
891984.37,14.84,2.57,817907.71,13.61
892329.57,14.84,2.58,817717.15,13.6
892329.57,14.84,2.58,817738.8,13.6
892105.3,14.84,2.58,818118.02,13.61
892322.26,14.85,2.58,817785.35,13.61
891906.92,14.85,2.58,817424.05,13.61
891906.92,14.85,2.58,817408.8,13.61
891400.66,14.84,2.58,816888.85,13.6
891336.41,14.84,2.58,816824.6,13.6
891586.96,14.85,2.58,816811.07,13.6
891205.36,14.84,2.58,816571.03,13.6
890981.08,14.84,2.57,816523.31,13.6
890978.83,14.84,2.58,816463.87,13.6
890754.56,14.84,2.58,816347.82,13.6
890754.56,14.84,2.58,816347.82,13.6
890563.5,14.84,2.57,816172.93,13.6
890563.5,14.84,2.57,816189.81,13.6
890976.98,14.85,2.58,816342.33,13.6
890752.7,14.84,2.58,816155.93,13.6
890728.62,14.85,2.58,815650.0,13.6
890415.41,14.84,2.58,815269.0,13.59
890618.78,14.85,2.58,814975.08,13.59
890427.72,14.85,2.58,814723.16,13.59
889697.06,14.84,2.57,813940.16,13.58
889661.59,14.84,2.58,814016.64,13.58
889659.34,14.84,2.58,813957.21,13.58
889876.67,14.85,2.58,814166.96,13.58
889685.62,14.85,2.58,813992.07,13.58
889536.38,14.84,2.58,813955.25,13.58
889536.38,14.84,2.58,813955.25,13.58
889640.85,14.85,2.58,814092.45,13.59
889449.79,14.85,2.58,813914.86,13.59
889667.12,14.85,2.59,814103.6,13.59
889664.87,14.85,2.59,814044.16,13.59
889440.6,14.85,2.59,813907.81,13.59
889141.86,14.85,2.58,813614.2,13.59
889335.12,14.85,2.59,813293.26,13.58
889122.23,14.85,2.59,812525.24,13.57
888825.85,14.85,2.58,812228.86,13.57
888700.26,14.85,2.58,812108.76,13.57
888700.26,14.85,2.58,812108.76,13.57
895076.1,14.95,2.69,819465.79,13.69
894885.04,14.95,2.69,819206.12,13.69
894885.04,14.95,2.69,819206.12,13.69
893867.62,14.96,2.69,818394.72,13.69
893643.34,14.95,2.69,818293.09,13.69
893452.29,14.95,2.69,818034.55,13.69
893556.75,14.96,2.69,818256.18,13.7
893365.7,14.96,2.69,817997.63,13.69
892984.09,14.95,2.69,817681.03,13.69
892984.09,14.95,2.69,817681.03,13.69
893201.42,14.96,2.69,818019.58,13.7
893674.13,14.97,2.7,817942.65,13.7
893292.52,14.96,2.7,817561.36,13.69
893101.47,14.96,2.7,817386.47,13.69
893101.47,14.96,2.7,817386.47,13.69
892877.19,14.96,2.69,817200.07,13.69
892578.45,14.95,2.69,816905.69,13.69
892365.56,14.95,2.69,816220.0,13.68
892434.11,14.96,2.69,816218.21,13.68
892571.79,14.96,2.7,816112.51,13.68
892347.52,14.96,2.69,816180.52,13.68
892896.14,14.97,2.71,816174.0,13.68
892705.09,14.97,2.7,815918.66,13.68
891979.17,14.96,2.69,815198.25,13.67
891943.7,14.96,2.7,815278.11,13.67
891752.65,14.96,2.7,815103.22,13.67
891528.37,14.96,2.69,814916.82,13.67
890716.29,14.96,2.69,813424.28,13.66
890525.24,14.95,2.69,813239.59,13.66
890300.96,14.95,2.69,813062.99,13.66
890438.65,14.96,2.69,812957.29,13.66
890139.91,14.95,2.69,812663.69,13.65
889915.63,14.95,2.69,812731.7,13.66
890501.33,14.96,2.7,812823.81,13.66
889887.81,14.96,2.69,812154.24,13.65
889696.75,14.95,2.69,811979.35,13.65
889914.08,14.96,2.69,812169.55,13.65
889179.12,14.96,2.69,811521.56,13.65
888988.06,14.96,2.69,811261.89,13.65
888988.06,14.96,2.69,811261.89,13.65
888616.46,14.95,2.69,810955.29,13.64
888616.46,14.95,2.69,810955.29,13.64
888392.18,14.95,2.69,810853.66,13.65
888392.18,14.95,2.69,810853.69,13.65
888201.13,14.95,2.68,810678.8,13.64
888418.46,14.95,2.69,810869.0,13.65
888619.16,14.96,2.69,810765.45,13.65
888237.55,14.95,2.69,810448.85,13.64
888046.49,14.95,2.69,810273.96,13.64
887824.12,14.95,2.68,810025.66,13.64
888041.46,14.95,2.69,810215.86,13.64
888041.46,14.95,2.69,810215.86,13.64
887850.4,14.95,2.69,809963.94,13.64
887814.93,14.95,2.69,810040.42,13.64
887623.88,14.95,2.69,809865.53,13.64
887623.88,14.95,2.69,809495.89,13.64
887325.14,14.95,2.68,809202.28,13.63
887100.86,14.95,2.68,809015.88,13.63
886909.8,14.95,2.68,808831.19,13.63
886685.53,14.95,2.68,808654.59,13.63
886494.47,14.95,2.68,808479.7,13.63
886270.2,14.94,2.68,808293.3,13.63
885898.59,14.94,2.67,807986.69,13.62
885707.54,14.94,2.67,807727.03,13.62
885483.26,14.94,2.67,807625.4,13.62
885459.18,14.94,2.67,807119.48,13.62
885333.59,14.94,2.67,806917.93,13.62
884918.26,14.94,2.67,806556.64,13.61
884714.17,14.93,2.67,806346.07,13.61
884523.12,14.93,2.67,806086.4,13.61
884825.09,14.94,2.67,807460.96,13.63
884485.62,14.93,2.67,807121.49,13.63
884261.35,14.93,2.67,807019.86,13.63
884511.9,14.94,2.67,807006.33,13.63
884287.62,14.94,2.67,807100.77,13.63
884074.73,14.93,2.67,806332.75,13.62
883760.33,14.93,2.67,806023.84,13.62
883569.27,14.93,2.67,805771.92,13.62
883533.81,14.93,2.67,805848.4,13.62
883342.75,14.93,2.67,805588.74,13.62
883342.75,14.93,2.67,805401.46,13.61
882961.15,14.93,2.66,805019.26,13.61
882925.68,14.93,2.66,805103.44,13.61
886366.33,14.99,2.72,808993.46,13.68
886364.08,14.99,2.72,808934.02,13.68
886581.41,14.99,2.73,809143.77,13.68
886432.18,14.99,2.73,809106.95,13.68
886241.12,14.99,2.73,808847.28,13.68
886016.85,14.99,2.72,808745.66,13.68
886014.6,14.99,2.73,808686.22,13.68
885979.13,14.99,2.73,808715.38,13.69
885979.13,14.99,2.73,808715.38,13.69
885788.07,14.99,2.73,808540.49,13.68
886005.41,15.0,2.73,808730.69,13.69
884987.98,15.0,2.74,807919.28,13.69
884985.74,15.0,2.74,807859.84,13.69
884604.13,15.0,2.73,807543.24,13.69
884604.13,15.0,2.73,807543.24,13.69
884379.86,15.0,2.73,807406.89,13.69
884188.8,14.99,2.73,807222.2,13.69
883964.52,14.99,2.73,807045.6,13.69
884215.07,15.0,2.73,807032.07,13.69
883990.8,15.0,2.73,807060.91,13.69
883990.8,15.0,2.73,807060.91,13.69
883230.75,15.0,2.73,806226.28,13.69
883422.65,15.0,2.74,806008.28,13.69
883198.37,15.0,2.73,806245.47,13.69
883198.37,15.0,2.73,806245.47,13.69
883007.32,15.0,2.73,805985.8,13.69
882971.85,15.0,2.73,806070.17,13.69
882780.79,15.0,2.73,805806.35,13.69
882556.52,15.0,2.73,805704.72,13.69
882554.27,15.0,2.73,805645.28,13.69
882330.0,15.0,2.73,805529.23,13.69
882171.19,15.0,2.73,805370.42,13.69
881980.13,15.0,2.73,805195.53,13.69
882069.33,15.0,2.73,804766.67,13.68
882033.87,15.0,2.73,804745.77,13.68
882263.12,15.0,2.74,804531.84,13.68
882038.85,15.0,2.74,804804.21,13.69
881667.24,15.0,2.73,804497.6,13.68
881476.19,15.0,2.73,804322.72,13.68
881251.91,15.0,2.73,804136.31,13.68
881468.87,15.0,2.74,803803.64,13.68
881468.87,15.0,2.74,803331.89,13.67
881277.81,15.0,2.74,803073.35,13.67
881053.54,15.0,2.73,802970.6,13.67
880499.29,14.99,2.73,802416.35,13.66
879481.87,15.0,2.73,801604.95,13.67
879290.81,14.99,2.73,801345.28,13.67
879066.53,14.99,2.73,801243.66,13.67
878854.16,14.99,2.73,801032.91,13.66
878830.08,14.99,2.73,800526.99,13.66
881869.34,15.04,2.78,803111.49,13.7
881554.94,15.04,2.78,802725.21,13.7
881552.69,15.04,2.78,802665.77,13.7
881517.22,15.04,2.78,802694.93,13.7
881326.16,15.04,2.78,802439.59,13.7
881101.89,15.04,2.78,802333.64,13.7
880910.83,15.04,2.78,802073.97,13.7
880098.75,15.04,2.77,800581.44,13.68
879874.48,15.04,2.77,800479.81,13.68
880133.36,15.04,2.78,800338.1,13.68
879115.94,15.05,2.78,799526.7,13.68
879080.47,15.05,2.78,799939.66,13.69
878889.42,15.05,2.78,799754.97,13.69
