ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
91,190,132920,6212,132920
91,190,133150,6212,133150
91,190,133150,6212,133150
91,190,133380,6212,133380
91,190,133610,6212,133610
92,192,134420,6212,134420
92,192,135230,6212,135230
92,192,135700,6212,135700
93,194,136160,6212,136160
94,196,137160,6212,137160
94,196,137970,6212,137970
94,196,138440,6212,138440
95,198,139250,6212,139250
95,198,139410,6212,139410
95,198,140220,6212,140220
96,200,141030,6212,141030
96,200,141680,6212,141680
97,202,142150,6212,142150
97,202,142610,6212,142610
97,202,143080,6212,143080
97,202,143080,6212,143080
98,204,143890,6212,143890
98,204,144890,6212,144890
98,204,145360,6212,145360
98,204,146170,6212,146170
98,204,146760,6212,146760
99,206,147220,6212,147220
99,206,148030,6212,148030
99,206,148500,6212,148500
100,208,148970,6212,148970
100,208,149620,6212,149620
101,210,150430,6212,150430
102,212,151430,6212,151430
102,212,152240,6212,152240
102,212,152240,6212,152240
102,212,153240,6212,153240
102,212,153240,6212,153240
102,212,153240,6212,153240
103,214,154240,6212,154240
104,216,155050,6212,155050
104,216,155860,6212,155860
104,216,156860,6212,156860
105,218,157670,6212,157670
106,220,158670,6212,158670
106,220,159480,6212,159480
107,222,160290,6212,160290
108,224,161290,6212,161290
108,224,162100,6212,162100
108,224,162420,6212,162420
109,226,163230,6212,163230
109,226,163230,6212,163230
109,226,164040,6212,164040
109,226,164360,6212,164360
109,226,165360,6212,165360
110,228,166170,6212,166170
110,228,166640,6212,166640
110,228,167290,6212,167290
110,228,167510,6212,167510
111,230,168320,6212,168320
112,238,168320,6212,168320
112,238,168320,6212,168320
112,238,169320,6212,169320
112,238,169590,6212,169590
113,240,170400,6212,170400
113,240,170400,6212,170400
113,240,171050,6212,171050
113,240,171370,6212,171370
113,240,171840,6212,171840
114,242,172650,6212,172650
114,242,173460,6212,173460
115,244,173780,6212,173780
115,244,173780,6212,173780
116,246,174780,6212,174780
116,246,175430,6212,175430
116,246,175900,6212,175900
117,248,176710,6212,176710
117,248,177520,6212,177520
117,248,177840,6212,177840
118,250,178160,6212,178160
118,250,179160,6212,179160
118,250,179620,6212,179620
118,250,179940,6212,179940
118,250,180410,6212,180410
119,252,181220,6212,181220
119,252,182220,6212,182220
120,254,183220,6212,183220
120,254,184030,6212,184030
120,254,185030,6212,185030
121,256,185840,6212,185840
121,256,186650,6212,186650
122,258,187650,6212,187650
122,258,187650,6212,187650
122,258,187650,6212,187650
123,260,188120,6212,188120
123,260,188590,6212,188590
123,260,189240,6212,189240
124,262,190050,6212,190050
124,262,190860,6212,190860
125,264,191670,6212,191670
125,264,191670,6212,191670
125,264,191830,6212,191830
125,264,191830,6212,191830
125,264,192300,6212,192300
125,264,193300,6212,193300
126,266,194300,6212,194300
126,266,194530,6212,194530
127,268,195340,6212,195340
127,268,195710,6212,195710
127,268,195710,6212,195710
128,276,195710,6212,195710
128,276,196520,6212,196520
128,276,197520,6212,197520
129,278,198330,6212,198330
129,278,199140,6212,199140
130,280,199950,6212,199950
131,282,200950,6212,200950
131,282,201420,6212,201420
131,282,202420,6212,202420
131,282,202420,6212,202420
131,282,202740,6212,202740
131,282,202740,6212,202740
132,284,202970,6212,202970
132,284,203190,6212,203190
132,284,203350,6212,203350
133,286,204350,6212,204350
133,286,204670,6212,204670
133,286,204670,6212,204670
133,286,204670,6212,204670
133,286,205480,6212,205480
134,288,206030,6212,206030
134,288,206500,6212,206500
135,290,207050,6212,207050
135,290,207600,6212,207600
136,292,208410,6212,208410
136,292,209220,6212,209220
137,294,210030,6212,210030
137,294,211030,6212,211030
137,294,211840,6212,211840
138,296,212490,6212,212490
138,296,213080,6212,213080
138,296,213080,6212,213080
139,298,213890,6212,213890
139,298,214350,6212,214350
139,298,215160,6212,215160
139,298,215160,6212,215160
140,300,215970,6212,215970
140,300,216620,6212,216620
140,300,216940,6212,216940
140,300,217170,6212,217170
141,302,217720,6212,217720
141,302,217880,6212,217880
141,302,218340,6212,218340
141,302,218820,6212,218820
142,304,219820,6212,219820
142,304,219820,6212,219820
142,304,220050,6212,220050
142,304,220050,6212,220050
143,306,220520,6212,220520
143,306,221330,6212,221330
144,308,222140,6212,222140
144,308,222610,6212,222610
145,316,222610,6212,222610
145,316,223070,6212,223070
145,316,223540,6212,223540
145,316,223860,6212,223860
146,318,224330,6212,224330
146,318,224980,6212,224980
146,318,225980,6212,225980
147,320,226980,6212,226980
148,322,227630,6212,227630
148,322,228100,6212,228100
148,322,228560,6212,228560
149,324,229210,6212,229210
149,324,229680,6212,229680
149,324,230490,6212,230490
149,324,231490,6212,231490
150,326,232140,6212,232140
150,326,232610,6212,232610
150,326,232610,6212,232610
151,328,233610,6212,233610
151,328,233930,6212,233930
151,328,234410,6212,234410
152,330,235220,6212,235220
152,330,236030,6212,236030
153,332,236500,6212,236500
153,332,236500,6212,236500
153,332,236500,6212,236500
153,332,237310,6212,237310
153,332,237780,6212,237780
153,332,237780,6212,237780
153,332,237940,6212,237940
154,334,238750,6212,238750
154,334,239400,6212,239400
154,334,240400,6212,240400
155,336,241400,6212,241400
156,338,241870,6212,241870
157,340,242340,6212,242340
157,340,242340,6212,242340
157,340,243150,6212,243150
157,340,243960,6212,243960
157,340,243960,6212,243960
157,340,244960,6212,244960
158,342,245770,6212,245770
158,342,245990,6212,245990
158,342,246460,6212,246460
158,342,247270,6212,247270
158,342,247500,6212,247500
159,344,247970,6212,247970
160,346,248970,6212,248970
160,346,249130,6212,249130
160,346,250130,6212,250130
160,346,250780,6212,250780
161,348,251590,6212,251590
161,348,252140,6212,252140
162,350,252950,6212,252950
162,350,253420,6212,253420
162,350,253420,6212,253420
162,350,254230,6212,254230
163,352,255230,6212,255230
164,354,255690,6212,255690
164,354,256150,6212,256150
164,354,256150,6212,256150
164,354,256620,6212,256620
164,354,257620,6212,257620
165,362,257620,6212,257620
166,364,258430,6212,258430
166,364,259240,6212,259240
167,366,259890,6212,259890
168,368,260890,6212,260890
168,368,261890,6212,261890
168,368,262360,6212,262360
168,368,263170,6212,263170
169,370,263980,6212,263980
169,370,264450,6212,264450
169,370,264920,6212,264920
170,372,265920,6212,265920
170,372,266250,6212,266250
170,372,267250,6212,267250
171,374,268250,6212,268250
171,374,269250,6212,269250
172,376,270250,6212,270250
173,378,271060,6212,271060
173,378,271060,6212,271060
173,378,271710,6212,271710
174,380,272360,6212,272360
174,380,272360,6212,272360
174,380,272950,6212,272950
174,380,273110,6212,273110
174,380,273430,6212,273430
174,380,274430,6212,274430
175,382,275430,6212,275430
176,384,276240,6212,276240
176,384,276710,6212,276710
177,386,277520,6212,277520
177,386,278520,6212,278520
177,386,279330,6212,279330
177,386,279800,6212,279800
177,386,279800,6212,279800
178,388,280610,6212,280610
178,388,280610,6212,280610
178,388,281080,6212,281080
179,390,281730,6212,281730
179,390,281780,6212,281780
180,398,281780,6212,281780
180,398,282250,6212,282250
180,398,282360,6212,282360
180,398,282360,6212,282360
181,400,283360,6212,283360
181,400,283680,6212,283680
181,400,284490,6212,284490
182,402,284950,6212,284950
182,402,285760,6212,285760
182,402,285760,6212,285760
182,402,285990,6212,285990
