ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
64,149,87820,6212,87820
64,149,88820,6212,88820
64,149,88820,6212,88820
65,151,89820,6212,89820
65,151,90820,6212,90820
66,153,91820,6212,91820
66,153,92820,6212,92820
67,155,93820,6212,93820
67,155,94820,6212,94820
67,155,94820,6212,94820
68,156,95630,6212,95630
69,158,96630,6212,96630
70,159,97100,6212,97100
71,160,97910,6212,97910
71,160,98910,6212,98910
71,160,98910,6212,98910
71,160,98910,6212,98910
72,161,99380,6212,99380
72,161,99380,6212,99380
72,161,100380,6212,100380
72,161,100700,6212,100700
73,169,100700,6212,100700
74,171,101700,6212,101700
74,171,102700,6212,102700
74,171,102860,6212,102860
74,171,103020,6212,103020
75,173,104020,6212,104020
75,173,104020,6212,104020
75,173,105020,6212,105020
75,173,105020,6212,105020
75,173,105020,6212,105020
76,175,105490,6212,105490
76,175,105950,6212,105950
77,177,106950,6212,106950
77,177,106950,6212,106950
78,185,106950,6212,106950
78,185,106950,6212,106950
78,185,107950,6212,107950
79,187,108950,6212,108950
79,187,109950,6212,109950
80,188,110950,6212,110950
81,190,111950,6212,111950
81,190,112950,6212,112950
82,192,113950,6212,113950
82,192,113950,6212,113950
83,193,114950,6212,114950
83,193,115420,6212,115420
84,195,116420,6212,116420
85,197,117070,6212,117070
85,197,117880,6212,117880
86,198,118690,6212,118690
86,198,118690,6212,118690
86,198,118690,6212,118690
87,200,119500,6212,119500
87,200,120150,6212,120150
87,200,121150,6212,121150
87,200,121620,6212,121620
87,200,122620,6212,122620
88,202,123620,6212,123620
88,202,123620,6212,123620
88,202,123620,6212,123620
89,204,124430,6212,124430
89,204,125240,6212,125240
