ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
144,316,201700,6212,201700
144,316,202020,6212,202020
145,318,203020,6212,203020
146,320,204020,6212,204020
147,322,205020,6212,205020
148,324,206020,6212,206020
148,324,206180,6212,206180
148,324,207180,6212,207180
148,324,207770,6212,207770
149,326,208770,6212,208770
150,334,216770,6212,216770
151,336,217770,6212,217770
152,338,217770,6212,217770
153,340,218770,6212,218770
153,340,219580,6212,219580
153,340,220390,6212,220390
153,340,220390,6212,220390
153,340,221390,6212,221390
153,340,222390,6212,222390
153,340,222390,6212,222390
153,340,222940,6212,222940
154,342,223940,6212,223940
154,342,224940,6212,224940
154,342,225940,6212,225940
154,342,225940,6212,225940
155,346,226940,6212,226940
155,346,227940,6212,227940
155,346,228940,6212,228940
155,346,229940,6212,229940
156,348,230940,6212,230940
156,348,231940,6212,231940
156,348,232400,6212,232400
157,352,233400,6212,233400
157,352,233400,6212,233400
157,352,233870,6212,233870
157,352,233870,6212,233870
157,352,234680,6212,234680
157,352,234680,6212,234680
157,352,235000,6212,235000
157,352,235470,6212,235470
157,352,236470,6212,236470
157,352,236470,6212,236470
157,352,236790,6212,236790
157,352,237600,6212,237600
157,352,238600,6212,238600
157,352,239250,6212,239250
158,356,240250,6212,240250
158,356,241250,6212,241250
159,358,241900,6212,241900
159,358,241900,6212,241900
159,358,242900,6212,242900
160,362,243370,6212,243370
160,362,243370,6212,243370
160,362,243530,6212,243530
160,362,244530,6212,244530
161,364,245000,6212,245000
161,364,246000,6212,246000
161,364,246810,6212,246810
162,366,247810,6212,247810
162,366,247810,6212,247810
162,366,247810,6212,247810
162,366,248810,6212,248810
162,366,249810,6212,249810
163,370,250810,6212,250810
163,370,250810,6212,250810
163,370,251280,6212,251280
164,374,251280,6212,251280
164,374,251830,6212,251830
165,382,259830,6212,259830
165,382,260150,6212,260150
165,382,261150,6212,261150
165,382,261310,6212,261310
165,382,262310,6212,262310
165,382,262780,6212,262780
165,382,263590,6212,263590
166,384,264590,6212,264590
166,384,264910,6212,264910
166,384,265500,6212,265500
166,384,266310,6212,266310
166,384,266960,6212,266960
166,384,267960,6212,267960
166,384,268420,6212,268420
167,388,269420,6212,269420
167,388,269880,6212,269880
167,388,270530,6212,270530
168,390,271530,6212,271530
168,390,272000,6212,272000
168,390,272590,6212,272590
169,392,273240,6212,273240
169,392,273560,6212,273560
169,392,273560,6212,273560
169,392,274030,6212,274030
169,392,275030,6212,275030
170,394,276030,6212,276030
170,394,276840,6212,276840
170,394,277490,6212,277490
171,398,278490,6212,278490
171,398,279490,6212,279490
171,398,280490,6212,280490
171,398,280650,6212,280650
172,400,281650,6212,281650
172,400,282650,6212,282650
173,404,283650,6212,283650
173,404,283650,6212,283650
173,404,284650,6212,284650
174,408,285650,6212,285650
174,408,285980,6212,285980
174,408,286980,6212,286980
174,408,287790,6212,287790
