ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
884551.35,14.49,1.15,331170.85,5.43
884864.46,14.5,1.16,330969.81,5.42
885474.52,14.51,1.17,331008.77,5.43
885787.64,14.52,1.18,330807.73,5.42
886085.59,14.53,1.19,330534.59,5.42
885937.12,14.53,1.19,330494.35,5.42
885424.06,14.52,1.18,329924.35,5.41
885722.02,14.53,1.19,329651.2,5.41
885798.96,14.53,1.19,329671.2,5.41
886460.83,14.54,1.2,329755.98,5.41
886773.94,14.55,1.21,329543.07,5.41
887087.06,14.56,1.22,329342.03,5.41
887087.06,14.56,1.22,329342.03,5.41
887697.12,14.57,1.23,329380.99,5.41
888010.24,14.58,1.24,329168.08,5.4
889620.29,14.6,1.26,330207.04,5.42
893026.41,14.66,1.32,333136.72,5.47
893003.35,14.66,1.32,333068.6,5.47
892490.29,14.65,1.31,332498.6,5.46
893321.91,14.67,1.33,332804.05,5.47
893635.02,14.68,1.33,332591.14,5.46
894245.08,14.69,1.35,332630.1,5.46
894558.2,14.7,1.35,332429.06,5.46
894261.25,14.7,1.35,332294.3,5.46
894574.37,14.7,1.36,332081.39,5.46
895184.43,14.72,1.37,332120.36,5.46
894590.54,14.72,1.37,331780.76,5.46
894895.37,14.72,1.38,331812.5,5.46
895200.2,14.73,1.39,331844.23,5.46
895051.73,14.73,1.39,331749.72,5.46
895051.73,14.73,1.39,331749.72,5.46
893984.26,14.73,1.39,331541.98,5.46
893281.2,14.72,1.38,330793.85,5.45
893594.32,14.73,1.39,330592.81,5.45
894204.37,14.74,1.4,330631.78,5.45
893501.32,14.73,1.39,329883.65,5.44
893814.43,14.74,1.4,329682.61,5.44
893301.37,14.73,1.39,329112.61,5.43
893614.49,14.74,1.4,328899.7,5.43
893946.31,14.75,1.41,328660.42,5.42
893787.6,14.75,1.4,328501.72,5.42
893534.55,14.74,1.4,328203.59,5.42
892831.49,14.74,1.39,327443.59,5.4
893129.44,14.74,1.4,327170.45,5.4
893461.26,14.75,1.41,326931.17,5.4
894071.32,14.76,1.42,326970.13,5.4
894403.13,14.77,1.43,326730.85,5.4
894716.25,14.78,1.44,326529.81,5.39
895029.36,14.79,1.44,326328.77,5.39
895568.79,14.8,1.45,326976.42,5.4
895881.9,14.8,1.46,326775.38,5.4
895178.85,14.79,1.45,326015.38,5.39
894680.95,14.79,1.44,325517.49,5.38
894978.9,14.79,1.45,325244.34,5.38
895292.02,14.8,1.46,325043.3,5.37
895974.48,14.81,1.47,325212.13,5.38
896806.09,14.83,1.49,325517.58,5.38
897119.21,14.84,1.49,325316.54,5.38
896051.73,14.84,1.5,325098.76,5.38
896661.79,14.85,1.51,325137.73,5.39
895958.73,14.84,1.5,324389.6,5.37
896271.85,14.85,1.51,324176.69,5.37
896320.09,14.85,1.51,324224.93,5.37
895788.33,14.84,1.5,323693.17,5.36
896101.45,14.85,1.51,323480.26,5.36
896101.45,14.85,1.51,323480.26,5.36
896414.56,14.86,1.52,323267.35,5.36
896414.56,14.86,1.52,323267.35,5.36
896727.68,14.87,1.52,323054.44,5.36
897040.8,14.88,1.53,322853.4,5.35
896319.04,14.87,1.52,322131.64,5.34
896632.15,14.87,1.53,321930.6,5.34
896632.15,14.87,1.53,321930.6,5.34
896945.27,14.88,1.54,321729.56,5.34
897258.39,14.89,1.55,321516.65,5.34
896745.33,14.88,1.54,320946.65,5.33
896745.33,14.88,1.54,320946.65,5.33
897077.14,14.89,1.55,320707.38,5.32
897687.2,14.9,1.56,320746.34,5.32
898000.32,14.91,1.57,320533.43,5.32
897987.92,14.91,1.57,320463.56,5.32
897987.92,14.91,1.57,320463.56,5.32
898597.98,14.92,1.58,320502.53,5.32
897530.5,14.93,1.58,320284.75,5.33
899000.3,14.95,1.61,321565.32,5.35
899332.12,14.96,1.62,321351.17,5.35
898819.06,14.95,1.61,320781.17,5.34
902225.18,15.01,1.67,323710.85,5.39
901905.18,15.01,1.66,323390.85,5.38
902515.23,15.02,1.68,323429.82,5.38
902828.35,15.03,1.68,323228.78,5.38
903141.47,15.03,1.69,323015.87,5.38
903454.58,15.04,1.7,322814.83,5.37
903295.88,15.04,1.7,322656.12,5.37
902574.12,15.03,1.69,321909.23,5.36
902262.36,15.03,1.68,321597.47,5.36
902872.42,15.04,1.7,321636.43,5.36
901804.94,15.04,1.7,321418.65,5.36
902118.06,15.05,1.71,321217.61,5.36
902118.06,15.05,1.71,321253.28,5.36
902431.18,15.06,1.71,321052.24,5.36
901918.12,15.05,1.71,320482.24,5.35
901405.06,15.04,1.7,319912.24,5.34
903108.12,15.07,1.73,321741.82,5.37
904357.55,15.1,1.75,321823.76,5.37
903654.49,15.09,1.74,321063.76,5.36
903654.49,15.09,1.74,321063.76,5.36
903401.43,15.08,1.74,320765.63,5.36
903252.96,15.08,1.74,320734.22,5.36
903104.49,15.08,1.74,320630.88,5.36
902401.43,15.08,1.73,319882.75,5.34
902401.43,15.08,1.73,319882.75,5.34
902284.8,15.08,1.73,319874.74,5.34
901596.91,15.07,1.72,319186.85,5.33
902334.46,15.08,1.74,319400.89,5.34
901631.41,15.07,1.73,318652.76,5.33
901482.93,15.07,1.73,318621.34,5.33
901334.46,15.07,1.73,318518.0,5.33
901186.57,15.07,1.73,318370.1,5.32
901069.94,15.07,1.73,318415.85,5.33
901069.94,15.07,1.73,318415.85,5.33
901385.13,15.08,1.73,318669.5,5.33
901385.13,15.08,1.73,318669.5,5.33
900872.07,15.07,1.73,318111.37,5.32
900872.07,15.07,1.73,318111.37,5.32
900849.01,15.07,1.73,318031.37,5.32
901305.97,15.08,1.74,317505.03,5.31
900602.91,15.07,1.73,316745.03,5.3
900602.91,15.07,1.73,316745.03,5.3
900579.85,15.07,1.73,316665.03,5.3
900066.8,15.07,1.72,316106.9,5.29
899363.74,15.06,1.71,315358.77,5.28
900309.53,15.07,1.73,316649.05,5.3
900289.56,15.08,1.73,316440.82,5.3
900930.45,15.09,1.75,317210.79,5.31
901108.85,15.09,1.75,317245.46,5.31
901108.85,15.09,1.75,317245.46,5.31
900960.38,15.09,1.75,317398.9,5.32
901277.58,15.1,1.76,317642.6,5.32
901277.58,15.1,1.76,317638.42,5.32
901140.71,15.1,1.75,317509.74,5.32
901914.61,15.11,1.77,317686.41,5.32
902199.97,15.12,1.78,317769.73,5.33
902051.5,15.12,1.78,317991.99,5.33
901538.44,15.11,1.77,317421.99,5.32
901389.97,15.11,1.77,317374.78,5.32
901389.97,15.11,1.77,317316.97,5.32
901400.59,15.11,1.77,317300.38,5.32
901241.5,15.11,1.77,317229.43,5.32
900538.44,15.1,1.76,316481.3,5.31
900695.13,15.11,1.77,317329.03,5.32
900721.11,15.11,1.77,317426.64,5.32
902500.54,15.14,1.8,318038.59,5.34
902543.0,15.14,1.8,318672.74,5.35
902305.1,15.14,1.8,318434.85,5.34
901237.63,15.14,1.8,318217.07,5.35
900987.81,15.14,1.79,317946.93,5.34
902173.69,15.16,1.82,318198.23,5.35
902014.98,15.16,1.81,318039.53,5.34
901800.17,15.16,1.81,317407.47,5.33
902175.19,15.16,1.82,317976.77,5.34
901662.13,15.16,1.81,317406.77,5.34
901513.66,15.16,1.81,317375.35,5.34
901490.6,15.16,1.82,317295.35,5.34
901197.54,15.16,1.81,316945.35,5.33
900698.35,15.15,1.81,316446.16,5.32
900876.75,15.15,1.81,316622.99,5.33
900174.94,15.14,1.8,315927.17,5.32
900651.25,15.15,1.81,316116.28,5.32
900534.62,15.15,1.81,316162.03,5.32
901010.94,15.16,1.82,316351.14,5.32
902075.36,15.18,1.84,316607.54,5.33
901926.89,15.18,1.84,316487.82,5.33
