ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1794185.93,28.88,0.37,204912.38,3.3
1793698.63,28.88,0.37,204382.33,3.29
1793370.16,28.88,0.37,204264.98,3.29
1793041.69,28.88,0.37,204147.63,3.29
1792826.2,28.88,0.37,204140.27,3.29
1792797.12,28.88,0.37,204240.27,3.29
1792665.92,28.88,0.37,204196.87,3.29
1793088.16,28.89,0.38,204318.56,3.29
1792536.07,28.89,0.38,203823.07,3.28
1792583.02,28.89,0.38,203818.29,3.28
1792095.73,28.88,0.37,203288.23,3.28
1791827.56,28.88,0.37,203289.35,3.28
1791974.23,28.89,0.38,203263.82,3.28
1791599.43,28.89,0.37,203387.13,3.28
1791599.43,28.89,0.37,203309.32,3.28
1791301.3,28.89,0.37,203770.15,3.29
1791456.37,28.89,0.38,203459.18,3.28
1791086.27,28.89,0.38,204394.74,3.3
1790787.37,28.89,0.38,203635.92,3.28
1790595.37,28.89,0.38,203493.26,3.28
1790625.33,28.89,0.38,203506.42,3.28
1790841.77,28.89,0.38,203577.39,3.28
1790847.97,28.89,0.38,203600.88,3.28
1790375.4,28.89,0.38,203215.83,3.28
1790217.43,28.89,0.38,203084.39,3.28
1791188.12,28.9,0.39,204802.58,3.3
1790971.08,28.9,0.39,205083.83,3.31
1790734.54,28.91,0.39,209741.69,3.39
1790249.14,28.9,0.39,209106.72,3.38
1790033.64,28.9,0.39,209043.65,3.38
1789925.02,28.9,0.39,208935.3,3.37
1791778.6,28.94,0.42,209433.68,3.38
1791793.06,28.94,0.42,209426.69,3.38
1791421.12,28.93,0.42,209065.68,3.38
1791204.08,28.93,0.42,209059.94,3.38
1790988.58,28.93,0.42,209065.2,3.38
1790771.54,28.94,0.42,208991.13,3.38
1790486.45,28.94,0.42,209043.17,3.38
1790881.03,28.95,0.43,209237.42,3.38
1791472.25,28.96,0.44,209547.98,3.39
1791487.75,28.96,0.44,209536.89,3.39
1791189.36,28.96,0.44,209466.96,3.39
1791189.36,28.96,0.44,210872.93,3.41
1790889.42,28.96,0.44,210867.39,3.41
1790838.35,28.96,0.44,210853.04,3.41
1790553.27,28.96,0.44,210235.99,3.4
1790559.46,28.96,0.44,210656.98,3.41
1792210.34,28.99,0.47,211069.52,3.41
1791607.37,28.98,0.47,210700.05,3.41
1791055.99,28.98,0.46,210120.21,3.4
1793857.28,29.02,0.51,212647.25,3.44
1794144.16,29.03,0.51,212587.07,3.44
1793927.12,29.03,0.51,213080.66,3.45
1794283.73,29.04,0.52,214386.58,3.47
1793717.69,29.04,0.52,213481.13,3.46
1793514.95,29.03,0.52,213234.91,3.45
1793299.46,29.04,0.52,213171.85,3.45
1793082.41,29.04,0.52,213166.11,3.45
1792406.49,29.03,0.51,212447.69,3.44
1791856.14,29.03,0.51,211961.26,3.43
1793636.52,29.06,0.54,214570.31,3.48
1792960.6,29.05,0.54,213851.9,3.47
1792923.06,29.05,0.54,213763.71,3.46
1792654.89,29.05,0.54,213759.76,3.46
1792439.4,29.06,0.54,213696.7,3.46
1792141.27,29.06,0.54,213671.09,3.46
1791924.22,29.06,0.54,213665.35,3.46
1791924.22,29.06,0.54,214407.92,3.48
1791629.97,29.06,0.54,214203.37,3.47
1791475.16,29.06,0.54,213976.5,3.47
1792605.33,29.08,0.56,216760.54,3.52
1792292.82,29.08,0.56,216085.68,3.51
1792077.32,29.08,0.56,216078.31,3.51
1791860.28,29.08,0.56,216016.87,3.51
1791607.88,29.08,0.56,215476.14,3.5
1791607.88,29.08,0.56,215476.14,3.5
1791684.84,29.09,0.56,215304.26,3.5
1791386.45,29.09,0.56,215292.39,3.5
1790829.65,29.08,0.56,214740.47,3.49
1789967.67,29.09,0.56,214701.8,3.49
1789967.67,29.09,0.56,214701.8,3.49
1789855.97,29.09,0.56,214799.65,3.49
1789855.97,29.09,0.56,214799.65,3.49
1789368.68,29.08,0.56,214269.59,3.48
1789460.35,29.09,0.56,214068.9,3.48
1788481.21,29.08,0.55,213090.9,3.46
1788481.21,29.08,0.55,213090.9,3.46
1788453.68,29.08,0.56,213187.03,3.47
1788236.63,29.08,0.56,213205.55,3.47
1787475.11,29.08,0.55,212492.45,3.46
1787176.72,29.08,0.55,212422.27,3.46
1786876.79,29.08,0.55,212416.97,3.46
1786904.14,29.08,0.55,212408.76,3.46
1786792.43,29.08,0.55,212764.57,3.46
1786524.26,29.08,0.55,212761.18,3.46
1786218.64,29.08,0.55,212680.85,3.46
1786809.86,29.09,0.57,212991.4,3.47
1786514.13,29.09,0.56,212781.53,3.46
1786514.13,29.09,0.56,212781.53,3.46
1786486.6,29.09,0.57,212877.66,3.47
1786376.71,29.1,0.57,212852.32,3.47
1786574.63,29.1,0.57,213279.41,3.47
1786033.56,29.1,0.57,212775.06,3.47
1786033.56,29.1,0.57,212827.1,3.47
1786033.56,29.1,0.57,212807.93,3.47
1785735.43,29.1,0.57,212770.67,3.47
1785440.4,29.1,0.57,214052.51,3.49
1785249.57,29.1,0.57,214176.88,3.49
1785196.36,29.1,0.57,213266.94,3.48
1784980.86,29.1,0.57,213203.43,3.48
1785746.03,29.12,0.59,214595.33,3.5
1785528.98,29.12,0.59,214590.04,3.5
1785220.27,29.12,0.59,214540.89,3.5
1785108.44,29.12,0.59,214845.5,3.5
1784791.07,29.12,0.59,214640.12,3.5
1784485.45,29.12,0.59,214893.5,3.51
1784176.74,29.12,0.59,214570.01,3.5
1784176.74,29.12,0.59,214570.01,3.5
1784176.74,29.12,0.59,214570.01,3.5
1784176.74,29.12,0.59,214570.01,3.5
