ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
939741.05,15.39,1.71,489949.44,8.03
939572.63,15.39,1.71,489498.68,8.02
939572.63,15.39,1.71,489498.68,8.02
939404.21,15.39,1.71,489047.91,8.01
939246.32,15.39,1.71,488974.32,8.01
939067.37,15.39,1.71,488859.42,8.01
938909.47,15.39,1.71,488785.83,8.01
938730.53,15.39,1.71,488670.93,8.01
938572.63,15.39,1.71,488524.54,8.01
938583.68,15.39,1.71,488672.43,8.01
938425.79,15.39,1.71,488550.91,8.01
938247.89,15.39,1.71,489478.88,8.03
938418.95,15.4,1.71,489758.51,8.04
938261.05,15.4,1.71,489683.07,8.04
938082.11,15.4,1.71,489570.02,8.03
938082.11,15.4,1.71,489446.66,8.03
937924.21,15.4,1.71,489303.82,8.03
937745.26,15.39,1.71,489258.17,8.03
937745.26,15.39,1.71,489051.54,8.03
937745.26,15.39,1.71,489051.54,8.03
937425.26,15.39,1.71,488731.54,8.02
937457.37,15.39,1.71,488278.0,8.02
937766.32,15.4,1.72,488598.83,8.02
937608.42,15.4,1.72,488523.38,8.02
937429.47,15.4,1.71,488410.33,8.02
937271.58,15.4,1.71,488336.74,8.02
936934.74,15.4,1.71,488300.41,8.03
936755.79,15.4,1.71,488185.51,8.02
936597.89,15.4,1.71,488042.67,8.02
935966.32,15.4,1.71,487576.49,8.02
936272.74,15.4,1.72,488005.23,8.03
935847.37,15.4,1.71,487590.84,8.02
935689.47,15.4,1.71,487444.45,8.02
935689.47,15.4,1.71,487444.45,8.02
934594.74,15.4,1.72,487124.22,8.03
934415.79,15.4,1.72,487082.11,8.03
934257.89,15.4,1.72,487008.52,8.03
934078.95,15.4,1.72,486893.62,8.03
933910.53,15.4,1.71,486091.66,8.02
933752.63,15.4,1.71,486018.07,8.02
933763.68,15.4,1.72,486093.16,8.02
933605.79,15.4,1.72,486017.72,8.02
933426.84,15.4,1.72,485904.67,8.02
933266.84,15.4,1.71,485744.67,8.01
933548.42,15.4,1.72,485275.72,8.01
933380.0,15.4,1.72,484473.76,8.0
933222.11,15.4,1.72,484353.97,8.0
933043.16,15.4,1.72,484285.26,8.0
932885.26,15.4,1.72,484138.87,7.99
932706.32,15.4,1.72,484096.77,7.99
932548.42,15.4,1.72,484023.18,7.99
932369.47,15.4,1.72,483908.27,7.99
932369.47,15.4,1.72,483908.27,7.99
932211.58,15.4,1.72,483834.68,7.99
932032.63,15.4,1.72,483719.78,7.99
932064.74,15.41,1.72,483611.39,7.99
931885.79,15.4,1.72,483721.29,8.0
931727.89,15.4,1.72,483647.7,8.0
932034.32,15.41,1.73,483945.64,8.0
931608.95,15.41,1.72,483592.79,8.0
931451.05,15.4,1.72,483519.2,8.0
930272.11,15.41,1.72,483001.9,8.0
930093.16,15.41,1.72,482887.0,8.0
929924.74,15.41,1.72,482463.83,7.99
929766.84,15.41,1.72,482388.39,7.99
929536.84,15.4,1.72,482158.39,7.99
929547.89,15.4,1.72,482235.33,7.99
929390.0,15.4,1.72,482159.89,7.99
929390.0,15.4,1.72,482633.24,8.0
929211.05,15.4,1.72,482520.19,8.0
929211.05,15.4,1.72,482520.19,8.0
929053.16,15.4,1.72,482444.75,8.0
928874.21,15.4,1.72,482331.7,8.0
928705.79,15.4,1.72,481529.74,7.99
928547.89,15.4,1.72,481456.15,7.99
928547.89,15.4,1.72,481323.09,7.98
928368.95,15.4,1.72,481208.19,7.98
1065751.47,17.68,0.84,565122.63,9.38
1065748.0,17.69,0.84,564369.16,9.37
1065748.0,17.69,0.84,564244.51,9.36
1065548.0,17.69,0.84,564077.51,9.36
1065348.0,17.69,0.84,563901.38,9.36
1065148.0,17.69,0.84,563864.4,9.36
1065388.74,17.69,0.85,563901.81,9.36
1065388.74,17.69,0.85,563901.81,9.36
1065188.74,17.69,0.85,564090.43,9.37
1063841.37,17.69,0.85,563578.26,9.37
1063641.37,17.69,0.85,563396.73,9.37
1063441.37,17.69,0.85,563365.15,9.37
1063437.89,17.69,0.85,563061.96,9.37
1063437.89,17.69,0.85,563061.96,9.37
1063117.89,17.69,0.85,562741.96,9.36
1062907.37,17.69,0.85,562580.94,9.36
1062707.37,17.69,0.85,562515.15,9.36
1062507.37,17.69,0.85,562367.83,9.36
1062307.37,17.69,0.85,562302.04,9.36
1062151.37,17.69,0.84,562151.27,9.36
1061951.37,17.68,0.84,562003.95,9.36
1062139.79,17.69,0.85,562026.17,9.36
1061939.79,17.69,0.85,562177.2,9.36
1060424.0,17.69,0.85,561391.89,9.36
1060224.0,17.69,0.85,561326.1,9.36
1060224.0,17.69,0.85,561326.1,9.36
1060024.0,17.69,0.84,561178.79,9.36
1060010.0,17.69,0.85,561210.81,9.37
1059996.0,17.69,0.85,561273.68,9.37
1059996.0,17.69,0.85,561273.68,9.37
1059796.0,17.69,0.85,561097.47,9.37
1059596.0,17.69,0.85,561060.57,9.37
1059596.0,17.69,0.85,561060.57,9.37
1059822.32,17.7,0.85,561013.16,9.37
1059622.32,17.7,0.85,561197.99,9.37
1059422.32,17.7,0.85,561021.78,9.37
1059222.32,17.69,0.85,560984.88,9.37
1059222.32,17.69,0.85,560984.88,9.37
1059022.32,17.69,0.85,560938.78,9.37
1058822.32,17.69,0.85,560771.78,9.37
1058622.32,17.69,0.85,560705.98,9.37
1058422.32,17.69,0.85,560558.67,9.37
1058222.32,17.69,0.85,560492.88,9.37
1058022.32,17.69,0.85,560345.56,9.37
1057651.58,17.69,0.85,559976.44,9.36
1057451.58,17.69,0.85,559910.64,9.37
1057451.58,17.69,0.85,559910.64,9.37
1057692.32,17.69,0.85,560117.33,9.37
