ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
95,220,198890,6212,198890
95,220,199890,6212,199890
96,222,200890,6212,200890
96,222,201700,6212,201700
96,222,201700,6212,201700
96,222,202020,6212,202020
96,222,203020,6212,203020
97,224,204020,6212,204020
97,224,205020,6212,205020
98,226,206020,6212,206020
98,226,206180,6212,206180
98,226,207180,6212,207180
98,226,207770,6212,207770
98,226,208770,6212,208770
99,234,216770,6212,216770
100,236,217770,6212,217770
100,236,217770,6212,217770
100,236,218770,6212,218770
101,238,219580,6212,219580
101,238,220390,6212,220390
101,238,220390,6212,220390
102,240,221390,6212,221390
102,240,222390,6212,222390
102,240,222390,6212,222390
103,242,222940,6212,222940
103,242,223940,6212,223940
104,244,224940,6212,224940
104,244,225940,6212,225940
104,244,225940,6212,225940
105,246,226940,6212,226940
105,246,227940,6212,227940
106,248,228940,6212,228940
106,248,229940,6212,229940
107,250,230940,6212,230940
107,250,231940,6212,231940
108,252,232400,6212,232400
108,252,233400,6212,233400
108,252,233400,6212,233400
108,252,233870,6212,233870
108,252,233870,6212,233870
109,256,234680,6212,234680
109,256,234680,6212,234680
109,256,235000,6212,235000
109,256,235470,6212,235470
109,256,236470,6212,236470
109,256,236470,6212,236470
109,256,236790,6212,236790
109,256,237600,6212,237600
110,258,238600,6212,238600
110,258,239250,6212,239250
111,260,240250,6212,240250
111,260,241250,6212,241250
112,262,241900,6212,241900
112,262,241900,6212,241900
112,262,242900,6212,242900
112,262,243370,6212,243370
112,262,243370,6212,243370
112,262,243530,6212,243530
113,264,244530,6212,244530
113,264,245000,6212,245000
114,266,246000,6212,246000
114,266,246810,6212,246810
115,270,247810,6212,247810
115,270,247810,6212,247810
115,270,247810,6212,247810
115,270,248810,6212,248810
116,272,249810,6212,249810
116,272,250810,6212,250810
116,272,250810,6212,250810
116,272,251280,6212,251280
116,272,251280,6212,251280
116,272,251830,6212,251830
117,280,259830,6212,259830
117,280,260150,6212,260150
117,280,261150,6212,261150
117,280,261310,6212,261310
118,282,262310,6212,262310
118,282,262780,6212,262780
119,284,263590,6212,263590
119,284,264590,6212,264590
119,284,264910,6212,264910
120,286,265500,6212,265500
120,286,266310,6212,266310
121,288,266960,6212,266960
121,288,267960,6212,267960
121,288,268420,6212,268420
122,290,269420,6212,269420
122,290,269880,6212,269880
123,292,270530,6212,270530
123,292,271530,6212,271530
123,292,272000,6212,272000
124,300,272590,6212,272590
124,300,273240,6212,273240
124,300,273560,6212,273560
124,300,273560,6212,273560
124,300,274030,6212,274030
124,300,275030,6212,275030
124,300,276030,6212,276030
124,300,276840,6212,276840
125,308,277490,6212,277490
125,308,278490,6212,278490
125,308,279490,6212,279490
125,308,280490,6212,280490
125,308,280650,6212,280650
125,308,281650,6212,281650
125,308,282650,6212,282650
125,308,283650,6212,283650
125,308,283650,6212,283650
126,316,284650,6212,284650
126,316,285650,6212,285650
126,316,285980,6212,285980
126,316,286980,6212,286980
126,316,287790,6212,287790
126,316,288790,6212,288790
126,316,289790,6212,289790
126,316,289900,6212,289900
127,324,290370,6212,290370
127,324,291370,6212,291370
128,332,299370,6212,299370
128,332,300020,6212,300020
128,332,300670,6212,300670
128,332,301670,6212,301670
128,332,302670,6212,302670
129,340,303320,6212,303320
129,340,304320,6212,304320
129,340,305130,6212,305130
129,340,305450,6212,305450
129,340,306450,6212,306450
129,340,306450,6212,306450
129,340,307450,6212,307450
129,340,308260,6212,308260
129,340,309260,6212,309260
129,340,310070,6212,310070
129,340,311070,6212,311070
129,340,311880,6212,311880
129,340,312350,6212,312350
130,348,313160,6212,313160
130,348,314160,6212,314160
130,348,315160,6212,315160
130,348,316160,6212,316160
130,348,317160,6212,317160
130,348,318160,6212,318160
130,348,319160,6212,319160
130,348,320160,6212,320160
131,356,321160,6212,321160
131,356,321390,6212,321390
131,356,322390,6212,322390
131,356,322390,6212,322390
131,356,322390,6212,322390
131,356,322390,6212,322390
131,356,323390,6212,323390
131,356,324200,6212,324200
131,356,325200,6212,325200
131,356,326010,6212,326010
131,356,327010,6212,327010
131,356,328010,6212,328010
132,364,329010,6212,329010
132,364,329470,6212,329470
132,364,329470,6212,329470
132,364,329790,6212,329790
132,364,330790,6212,330790
132,364,331380,6212,331380
132,364,332190,6212,332190
132,364,333190,6212,333190
132,364,333660,6212,333660
132,364,334660,6212,334660
