ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
136,344,235090,6212,235090
137,346,236090,6212,236090
138,347,237090,6212,237090
139,349,237740,6212,237740
140,350,238740,6212,238740
141,352,239210,6212,239210
141,352,239210,6212,239210
142,353,239680,6212,239680
143,355,240680,6212,240680
144,357,241150,6212,241150
145,359,242150,6212,242150
145,359,242150,6212,242150
146,361,243150,6212,243150
146,361,243470,6212,243470
146,361,244470,6212,244470
146,361,245060,6212,245060
147,363,245710,6212,245710
148,365,246710,6212,246710
149,367,247360,6212,247360
150,371,248360,6212,248360
150,371,249360,6212,249360
150,371,250170,6212,250170
150,371,251170,6212,251170
151,373,252170,6212,252170
152,377,256170,6212,256170
153,379,257170,6212,257170
154,381,258170,6212,258170
155,383,258820,6212,258820
155,383,259140,6212,259140
156,385,260140,6212,260140
157,386,260610,6212,260610
157,386,261610,6212,261610
158,388,262610,6212,262610
159,389,263080,6212,263080
160,393,267080,6212,267080
161,395,268080,6212,268080
161,395,268080,6212,268080
161,395,268540,6212,268540
161,395,268540,6212,268540
162,397,269540,6212,269540
162,397,269540,6212,269540
162,397,270540,6212,270540
163,401,271010,6212,271010
163,401,271010,6212,271010
163,401,271480,6212,271480
164,403,272480,6212,272480
