ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1786538.27,29.16,0.62,203896.37,3.33
1786270.1,29.16,0.63,203900.89,3.33
1786054.6,29.16,0.63,203837.59,3.33
1785839.11,29.16,0.63,203842.85,3.33
1785811.58,29.16,0.63,203938.98,3.33
1785811.58,29.16,0.63,203880.6,3.33
1785826.04,29.16,0.63,203873.72,3.33
1785610.55,29.16,0.63,203866.35,3.33
1786604.48,29.18,0.64,204759.44,3.34
1786604.48,29.18,0.64,204749.54,3.34
1786618.94,29.18,0.64,204742.65,3.34
1786728.05,29.19,0.65,204738.63,3.34
1786648.11,29.19,0.65,204747.58,3.34
1787642.04,29.2,0.67,205640.67,3.36
1787426.55,29.21,0.67,205645.93,3.36
1787118.61,29.21,0.67,205563.01,3.36
1787333.5,29.21,0.67,205876.84,3.36
1787118.01,29.21,0.67,205882.1,3.37
1786849.83,29.21,0.67,205879.68,3.37
1786822.3,29.22,0.68,205817.17,3.37
1786554.13,29.22,0.68,205821.69,3.37
1786338.64,29.22,0.68,205758.43,3.37
1786353.1,29.22,0.68,205745.9,3.37
1786775.34,29.23,0.69,205867.59,3.37
1786559.85,29.23,0.69,205860.22,3.37
1787553.78,29.25,0.7,206753.32,3.38
1787581.12,29.25,0.71,206999.7,3.39
1787757.75,29.25,0.71,207004.0,3.39
1787464.14,29.25,0.71,207004.78,3.39
1787436.61,29.26,0.71,207100.91,3.39
1787409.08,29.26,0.72,207197.03,3.39
1787193.59,29.26,0.72,207133.77,3.39
1787087.7,29.26,0.72,206697.38,3.38
1786872.21,29.27,0.72,206702.64,3.39
1787009.07,29.27,0.72,206671.44,3.39
1786714.94,29.27,0.72,205972.88,3.37
1786446.77,29.27,0.73,205970.46,3.37
1786419.24,29.27,0.73,206066.59,3.38
1786151.07,29.27,0.73,206051.36,3.38
1786391.46,29.28,0.73,205770.08,3.37
1786590.93,29.29,0.74,205708.95,3.37
1786375.44,29.29,0.74,205701.58,3.37
1786107.26,29.29,0.74,205703.91,3.37
1786292.29,29.29,0.74,205704.4,3.37
1786024.11,29.29,0.75,205704.84,3.37
1785944.17,29.3,0.75,205713.79,3.37
1785728.68,29.3,0.75,205650.72,3.37
1785511.64,29.3,0.75,205669.25,3.37
1785787.2,29.3,0.75,205673.1,3.38
1785519.03,29.31,0.75,205657.88,3.38
1785826.37,29.31,0.76,205597.96,3.37
1785558.2,29.31,0.76,205602.48,3.38
1785865.55,29.32,0.77,205542.57,3.37
1785865.55,29.32,0.77,205486.51,3.37
1785556.83,29.32,0.77,204893.27,3.36
1785556.83,29.32,0.77,204882.7,3.36
1785258.45,29.32,0.77,204812.52,3.36
1784990.27,29.32,0.77,204817.04,3.36
1784962.74,29.32,0.77,204913.17,3.37
1784747.25,29.32,0.77,204918.43,3.37
1784761.71,29.32,0.77,204905.68,3.37
1784546.22,29.33,0.77,204910.94,3.37
1784722.85,29.33,0.78,204915.79,3.37
1784612.95,29.33,0.78,204890.85,3.37
1784344.78,29.33,0.78,204881.15,3.37
1784403.87,29.34,0.78,204882.49,3.37
1784433.83,29.34,0.78,204894.74,3.37
1784448.29,29.34,0.78,204882.21,3.37
1784795.82,29.34,0.79,204884.33,3.37
1785071.38,29.35,0.8,204888.18,3.37
1785378.73,29.36,0.8,204948.45,3.37
1785272.84,29.36,0.81,204512.06,3.36
1785057.34,29.36,0.81,204448.79,3.36
1785028.26,29.36,0.81,204855.42,3.37
1785042.73,29.36,0.81,204848.54,3.37
1785057.19,29.36,0.81,204818.88,3.37
1784841.69,29.37,0.81,204824.14,3.37
1784736.32,29.37,0.81,204812.34,3.37
1784736.32,29.37,0.81,204788.59,3.37
1785075.12,29.37,0.82,205215.18,3.38
1784995.18,29.38,0.82,205224.13,3.38
1785235.57,29.38,0.83,204942.85,3.37
1785020.08,29.38,0.83,204879.78,3.37
1784803.03,29.38,0.83,204898.4,3.37
1784587.54,29.39,0.83,204834.96,3.37
