workload,sc_policy,tune,seed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
openb_pod_list_default,01-Random,1.3,42,13.97,14.01,14.06,14.13,14.23,14.24,14.23,14.29,14.37,14.42,14.46,14.43,14.44,14.41,14.39,14.38,14.41,14.38,14.38,14.44,14.45,14.43,14.47,14.44,14.47,14.48,14.49,14.51,14.57,14.6,14.58,14.59,14.57,14.53,14.57,14.58,14.59,14.66,14.68,14.7,14.83,14.86,14.86,14.84,14.77,14.81,14.82,14.82,14.82,14.79,14.79,14.8,14.86,14.81,14.77,14.73,14.7,14.73,14.78,14.85,14.93,15.04,15.1,15.13,15.26,15.31,15.33,15.38,15.43,15.49,15.45,15.43,15.45,15.51,15.52,15.52,15.57,15.59,15.55,15.54,15.52,15.5,15.39,15.3,15.17,15.08,14.9,14.67,14.5,14.37,14.27,14.17,14.1,13.98,13.88,13.76,13.67,13.53,13.41,13.3,13.24,13.2,13.16,13.11,13.05,12.98,12.88,12.84,12.8,12.76,12.72,12.68,12.65,12.63,12.58,12.56,12.53,12.48,12.45,12.41,12.37,12.37,12.33,12.28,12.26,12.25,12.24,12.23,12.22,12.22,12.21
openb_pod_list_default,02-DotProd,1.3,42,14.07,14.38,14.82,15.16,15.11,15.08,14.99,14.91,14.85,14.75,14.65,14.55,14.45,14.38,14.26,14.23,14.13,14.07,13.98,13.95,13.93,13.84,13.77,13.67,13.61,13.63,13.6,13.55,13.48,13.42,13.35,13.28,13.19,13.14,13.08,12.98,12.93,12.91,12.85,12.78,12.71,12.69,12.65,12.54,12.44,12.36,12.3,12.21,12.13,12.03,11.97,11.88,11.81,11.73,11.69,11.6,11.59,11.59,11.53,11.47,11.38,11.32,11.27,11.21,11.16,11.12,11.06,10.98,11.01,10.96,10.87,10.85,10.77,10.69,10.64,10.6,10.55,10.49,10.42,10.35,10.29,10.25,10.18,10.12,10.05,9.97,9.95,9.89,9.8,9.77,9.73,9.69,9.69,9.68,9.68,9.68,9.66,9.63,9.62,9.62,9.62,9.61,9.6,9.6,9.6,9.6,9.59,9.59,9.58,9.56,9.56,9.56,9.56,9.56,9.55,9.55,9.55,9.53,9.53,9.51,9.5,9.49,9.47,9.44,9.44,9.43,9.42,9.42,9.42,9.42,9.41
openb_pod_list_default,03-GpuClustering,1.3,42,13.95,13.97,14.13,14.14,14.12,14.07,14.14,14.23,14.27,14.31,14.24,14.14,14.2,14.23,14.2,14.14,14.15,14.2,14.41,14.49,14.64,14.56,14.49,14.45,14.42,14.4,14.36,14.26,14.16,14.08,13.97,13.88,13.81,13.78,13.69,13.6,13.53,13.48,13.4,13.31,13.26,13.21,13.11,12.99,12.9,12.83,12.77,12.7,12.61,12.5,12.44,12.34,12.25,12.16,12.08,11.97,11.91,11.84,11.77,11.68,11.57,11.46,11.35,11.27,11.2,11.11,11.02,10.93,10.84,10.75,10.64,10.57,10.48,10.37,10.28,10.19,10.09,9.99,9.9,9.83,9.73,9.66,9.55,9.43,9.33,9.25,9.16,9.06,8.96,8.87,8.78,8.68,8.64,8.63,8.63,8.63,8.61,8.58,8.57,8.57,8.57,8.56,8.55,8.55,8.55,8.55,8.54,8.54,8.53,8.52,8.51,8.51,8.51,8.51,8.51,8.5,8.5,8.48,8.48,8.46,8.45,8.45,8.42,8.4,8.39,8.38,8.37,8.37,8.37,8.37,8.36
openb_pod_list_default,04-GpuPacking,1.3,42,13.96,13.97,14.09,14.09,14.05,14.01,14.08,14.16,14.18,14.2,14.13,14.04,14.12,14.17,14.11,14.08,14.08,14.16,14.37,14.49,14.75,14.75,14.72,14.61,14.54,14.46,14.39,14.27,14.19,14.1,14.0,13.9,13.8,13.72,13.66,13.56,13.46,13.42,13.34,13.25,13.16,13.08,12.98,12.87,12.78,12.71,12.66,12.6,12.53,12.4,12.35,12.27,12.2,12.11,12.02,11.92,11.86,11.81,11.75,11.66,11.55,11.45,11.35,11.24,11.18,11.09,11.0,10.9,10.82,10.73,10.6,10.51,10.41,10.31,10.22,10.12,10.02,9.92,9.82,9.73,9.63,9.57,9.47,9.37,9.29,9.21,9.13,9.03,8.94,8.84,8.76,8.67,8.62,8.62,8.61,8.61,8.59,8.57,8.55,8.55,8.55,8.54,8.53,8.53,8.53,8.53,8.52,8.52,8.51,8.5,8.49,8.49,8.49,8.49,8.49,8.48,8.48,8.46,8.46,8.44,8.43,8.43,8.4,8.38,8.37,8.36,8.35,8.35,8.35,8.35,8.35
openb_pod_list_default,05-BestFit,1.3,42,13.99,14.14,14.45,14.75,14.76,14.72,14.62,14.51,14.41,14.3,14.2,14.1,14.0,13.93,13.8,13.69,13.58,13.45,13.34,13.29,13.33,13.23,13.15,13.05,12.96,12.86,12.82,12.72,12.64,12.55,12.45,12.36,12.26,12.19,12.14,12.05,11.97,11.92,11.84,11.77,11.69,11.61,11.53,11.43,11.34,11.26,11.19,11.1,11.02,10.9,10.85,10.75,10.66,10.57,10.49,10.4,10.32,10.25,10.17,10.09,9.98,9.89,9.79,9.69,9.62,9.53,9.43,9.32,9.25,9.19,9.08,8.99,8.89,8.81,8.74,8.65,8.55,8.46,8.38,8.3,8.22,8.15,8.04,7.93,7.85,7.78,7.71,7.63,7.52,7.43,7.34,7.25,7.14,7.07,7.06,7.05,7.04,7.01,7.0,6.99,6.99,6.98,6.97,6.97,6.97,6.97,6.96,6.96,6.95,6.93,6.93,6.93,6.93,6.93,6.93,6.92,6.92,6.9,6.9,6.88,6.87,6.86,6.85,6.83,6.82,6.82,6.81,6.81,6.81,6.8,6.8
openb_pod_list_default,06-FGD,1.3,42,13.88,13.72,13.62,13.53,13.44,13.34,13.24,13.14,13.05,12.96,12.86,12.76,12.66,12.59,12.47,12.37,12.26,12.15,12.06,11.97,11.89,11.77,11.68,11.57,11.47,11.37,11.28,11.17,11.07,11.0,10.88,10.77,10.67,10.58,10.5,10.4,10.3,10.18,10.09,9.98,9.89,9.8,9.71,9.59,9.49,9.41,9.33,9.24,9.15,9.05,8.99,8.88,8.78,8.69,8.59,8.5,8.41,8.31,8.22,8.13,8.03,7.93,7.83,7.7,7.61,7.51,7.4,7.28,7.19,7.09,6.97,6.88,6.79,6.7,6.6,6.49,6.38,6.27,6.16,6.07,5.96,5.89,5.78,5.66,5.57,5.47,5.38,5.28,5.16,5.06,4.97,4.87,4.76,4.69,4.58,4.72,4.88,4.85,4.84,4.84,4.83,4.83,4.83,4.82,4.82,4.82,4.81,4.81,4.8,4.79,4.78,4.78,4.78,4.78,4.78,4.78,4.77,4.75,4.75,4.75,4.74,4.74,4.73,4.72,4.72,4.71,4.7,4.7,4.7,4.7,4.69
