ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
844744.46,13.75,0.16,193362.81,3.15
844623.1,13.75,0.16,192339.92,3.13
844683.59,13.75,0.16,195450.87,3.18
844869.25,13.75,0.16,195784.55,3.19
845107.94,13.76,0.17,195784.13,3.19
845346.63,13.76,0.17,195784.13,3.19
845393.99,13.77,0.18,195442.43,3.18
845553.67,13.77,0.18,195465.02,3.18
845302.1,13.77,0.18,195201.33,3.18
845093.26,13.76,0.17,194957.44,3.18
845131.86,13.77,0.18,194748.33,3.17
844969.74,13.76,0.17,194754.1,3.17
844969.74,13.76,0.17,194754.1,3.17
844969.74,13.76,0.17,194912.23,3.18
845020.19,13.77,0.18,194917.62,3.18
844775.59,13.76,0.17,194948.07,3.18
844955.3,13.77,0.18,194951.0,3.18
845005.75,13.77,0.18,194992.08,3.18
844849.39,13.77,0.18,194862.11,3.18
844849.39,13.77,0.18,194795.03,3.17
844593.78,13.76,0.17,194686.81,3.17
844491.07,13.76,0.17,194579.88,3.17
844650.74,13.77,0.18,196036.89,3.2
844650.74,13.77,0.18,196110.82,3.2
844701.19,13.77,0.18,196218.34,3.2
844565.29,13.77,0.18,196217.92,3.2
844615.73,13.77,0.18,196217.92,3.2
844459.38,13.77,0.18,196044.16,3.2
844459.38,13.77,0.18,196044.16,3.2
844459.38,13.77,0.18,196044.16,3.2
844459.38,13.77,0.18,196044.16,3.2
844323.47,13.77,0.18,196058.46,3.2
844373.92,13.77,0.18,196055.8,3.2
844108.33,13.77,0.18,195618.29,3.19
844158.78,13.77,0.18,195625.16,3.19
844158.78,13.77,0.18,195625.16,3.19
844318.46,13.78,0.19,195606.65,3.19
844173.04,13.77,0.18,195464.49,3.19
844173.04,13.77,0.18,195464.49,3.19
844223.49,13.78,0.19,195464.49,3.19
844403.19,13.78,0.19,196777.7,3.21
844562.87,13.79,0.19,196777.28,3.21
844307.26,13.78,0.19,196521.0,3.21
