ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
25,46,25960,6212,25960
25,46,26430,6212,26430
25,46,27080,6212,27080
25,46,27310,6212,27310
25,46,27770,6212,27770
26,47,28580,6212,28580
26,47,28580,6212,28580
26,47,28580,6212,28580
26,47,28580,6212,28580
26,47,29050,6212,29050
26,47,29370,6212,29370
26,47,29590,6212,29590
26,47,30060,6212,30060
26,47,30060,6212,30060
26,47,30060,6212,30060
27,48,30870,6212,30870
28,50,30870,6212,30870
29,51,31350,6212,31350
29,51,31820,6212,31820
29,51,32290,6212,32290
30,52,32880,6212,32880
30,52,33100,6212,33100
30,52,33910,6212,33910
31,54,34720,6212,34720
31,54,35530,6212,35530
32,56,36340,6212,36340
32,56,36810,6212,36810
32,56,37270,6212,37270
32,56,37430,6212,37430
33,64,38240,6212,38240
33,64,39050,6212,39050
33,64,39520,6212,39520
33,64,40330,6212,40330
33,64,40980,6212,40980
33,64,41450,6212,41450
33,64,41450,6212,41450
33,64,42100,6212,42100
33,64,42100,6212,42100
33,64,42910,6212,42910
33,64,43140,6212,43140
33,64,43460,6212,43460
33,64,43780,6212,43780
33,64,44370,6212,44370
34,72,45180,6212,45180
34,72,45650,6212,45650
34,72,46120,6212,46120
34,72,46590,6212,46590
34,72,46590,6212,46590
34,72,47180,6212,47180
34,72,47990,6212,47990
34,72,47990,6212,47990
34,72,48580,6212,48580
34,72,49050,6212,49050
34,72,49520,6212,49520
34,72,49520,6212,49520
34,72,49840,6212,49840
34,72,49840,6212,49840
34,72,50310,6212,50310
34,72,50960,6212,50960
35,74,51550,6212,51550
35,74,52360,6212,52360
36,82,52830,6212,52830
36,82,53300,6212,53300
36,82,54110,6212,54110
36,82,54760,6212,54760
36,82,55570,6212,55570
36,82,55940,6212,55940
36,82,56100,6212,56100
36,82,56570,6212,56570
36,82,57380,6212,57380
36,82,58190,6212,58190
36,82,59000,6212,59000
36,82,59220,6212,59220
36,82,59690,6212,59690
37,90,60500,6212,60500
37,90,60820,6212,60820
37,90,61630,6212,61630
37,90,62090,6212,62090
37,90,62090,6212,62090
37,90,62560,6212,62560
37,90,63370,6212,63370
37,90,63590,6212,63590
37,90,64070,6212,64070
37,90,64540,6212,64540
37,90,65350,6212,65350
37,90,66160,6212,66160
37,90,66620,6212,66620
37,90,67090,6212,67090
38,98,67550,6212,67550
38,98,67920,6212,67920
38,98,68570,6212,68570
38,98,68570,6212,68570
38,98,68570,6212,68570
38,98,69040,6212,69040
38,98,69850,6212,69850
38,98,70500,6212,70500
38,98,71310,6212,71310
38,98,71780,6212,71780
38,98,71780,6212,71780
38,98,72330,6212,72330
38,98,72800,6212,72800
39,100,73610,6212,73610
39,100,73610,6212,73610
39,100,74080,6212,74080
39,100,74400,6212,74400
39,100,75210,6212,75210
40,108,75680,6212,75680
40,108,75680,6212,75680
40,108,75680,6212,75680
40,108,75680,6212,75680
40,108,76490,6212,76490
40,108,77300,6212,77300
40,108,77770,6212,77770
40,108,78090,6212,78090
40,108,78090,6212,78090
40,108,78900,6212,78900
40,108,79370,6212,79370
40,108,79370,6212,79370
40,108,80020,6212,80020
40,108,80830,6212,80830
40,108,81640,6212,81640
40,108,82110,6212,82110
41,116,82920,6212,82920
41,116,83390,6212,83390
41,116,83860,6212,83860
41,116,84180,6212,84180
41,116,84340,6212,84340
41,116,84340,6212,84340
41,116,85150,6212,85150
41,116,85960,6212,85960
41,116,86430,6212,86430
41,116,86910,6212,86910
41,116,87140,6212,87140
41,116,87510,6212,87510
41,116,87830,6212,87830
41,116,88300,6212,88300
41,116,89110,6212,89110
42,124,89920,6212,89920
42,124,90390,6212,90390
42,124,91200,6212,91200
42,124,92010,6212,92010
42,124,92820,6212,92820
42,124,93290,6212,93290
42,124,94100,6212,94100
42,124,94570,6212,94570
42,124,95380,6212,95380
42,124,95850,6212,95850
42,124,96320,6212,96320
43,132,96640,6212,96640
43,132,96750,6212,96750
43,132,96750,6212,96750
43,132,97560,6212,97560
43,132,98370,6212,98370
43,132,99180,6212,99180
43,132,99500,6212,99500
43,132,99500,6212,99500
43,132,99970,6212,99970
43,132,100440,6212,100440
43,132,100900,6212,100900
43,132,101370,6212,101370
43,132,102180,6212,102180
43,132,102990,6212,102990
44,134,103460,6212,103460
44,134,103780,6212,103780
44,134,104250,6212,104250
44,134,104570,6212,104570
44,134,104570,6212,104570
44,134,105120,6212,105120
44,134,105120,6212,105120
45,142,105590,6212,105590
45,142,106060,6212,106060
45,142,106710,6212,106710
45,142,107180,6212,107180
45,142,107650,6212,107650
45,142,108120,6212,108120
45,142,108440,6212,108440
45,142,108910,6212,108910
45,142,109720,6212,109720
45,142,109950,6212,109950
46,150,110410,6212,110410
46,150,110730,6212,110730
47,152,111540,6212,111540
47,152,112090,6212,112090
47,152,112740,6212,112740
47,152,113390,6212,113390
47,152,113620,6212,113620
47,152,113620,6212,113620
47,152,113780,6212,113780
47,152,114590,6212,114590
47,152,114820,6212,114820
47,152,115630,6212,115630
47,152,116220,6212,116220
47,152,116680,6212,116680
47,152,117490,6212,117490
47,152,117960,6212,117960
48,160,118420,6212,118420
48,160,118890,6212,118890
48,160,119700,6212,119700
48,160,120510,6212,120510
48,160,121320,6212,121320
48,160,121320,6212,121320
48,160,121370,6212,121370
48,160,121370,6212,121370
48,160,121370,6212,121370
48,160,121830,6212,121830
48,160,122640,6212,122640
48,160,123450,6212,123450
48,160,124260,6212,124260
49,168,125070,6212,125070
49,168,125880,6212,125880
49,168,126690,6212,126690
49,168,127340,6212,127340
49,168,127810,6212,127810
49,168,128460,6212,128460
49,168,128930,6212,128930
49,168,129160,6212,129160
49,168,129160,6212,129160
49,168,129390,6212,129390
49,168,130200,6212,130200
49,168,131010,6212,131010
50,176,131820,6212,131820
50,176,132280,6212,132280
50,176,133090,6212,133090
50,176,133900,6212,133900
50,176,134710,6212,134710
50,176,134710,6212,134710
50,176,134710,6212,134710
50,176,135180,6212,135180
50,176,135650,6212,135650
50,176,136460,6212,136460
50,176,136460,6212,136460
50,176,137110,6212,137110
50,176,137580,6212,137580
51,184,138390,6212,138390
51,184,138860,6212,138860
51,184,139670,6212,139670
51,184,140480,6212,140480
51,184,140480,6212,140480
51,184,140940,6212,140940
51,184,141490,6212,141490
51,184,141810,6212,141810
51,184,142620,6212,142620
51,184,143090,6212,143090
51,184,143900,6212,143900
51,184,144220,6212,144220
51,184,145030,6212,145030
52,186,145500,6212,145500
52,186,145970,6212,145970
52,186,146780,6212,146780
53,194,147590,6212,147590
53,194,148400,6212,148400
53,194,149050,6212,149050
53,194,149160,6212,149160
53,194,149970,6212,149970
53,194,150620,6212,150620
53,194,150940,6212,150940
53,194,151160,6212,151160
53,194,151160,6212,151160
53,194,151160,6212,151160
54,196,151970,6212,151970
54,196,152290,6212,152290
54,196,153100,6212,153100
55,198,153910,6212,153910
55,198,154380,6212,154380
55,198,154700,6212,154700
55,198,154700,6212,154700
55,198,155350,6212,155350
55,198,155350,6212,155350
55,198,155670,6212,155670
55,198,156480,6212,156480
55,198,157290,6212,157290
56,200,158100,6212,158100
56,200,158750,6212,158750
56,200,159220,6212,159220
56,200,159220,6212,159220
56,200,159220,6212,159220
57,208,159690,6212,159690
57,208,160010,6212,160010
57,208,160240,6212,160240
57,208,160710,6212,160710
57,208,161520,6212,161520
57,208,161750,6212,161750
57,208,161910,6212,161910
57,208,162230,6212,162230
57,208,162230,6212,162230
57,208,163040,6212,163040
57,208,163040,6212,163040
57,208,163850,6212,163850
57,208,164080,6212,164080
57,208,164310,6212,164310
57,208,165120,6212,165120
57,208,165590,6212,165590
57,208,165590,6212,165590
57,208,165590,6212,165590
57,208,166400,6212,166400
58,216,167210,6212,167210
58,216,167860,6212,167860
58,216,168670,6212,168670
58,216,169480,6212,169480
58,216,170290,6212,170290
58,216,170760,6212,170760
58,216,171570,6212,171570
58,216,172040,6212,172040
58,216,172360,6212,172360
58,216,173170,6212,173170
59,218,173640,6212,173640
59,218,173640,6212,173640
59,218,173960,6212,173960
59,218,174770,6212,174770
60,226,175580,6212,175580
60,226,175580,6212,175580
60,226,176230,6212,176230
60,226,176690,6212,176690
60,226,177010,6212,177010
60,226,177820,6212,177820
60,226,178630,6212,178630
60,226,179440,6212,179440
60,226,180090,6212,180090
60,226,180900,6212,180900
60,226,181270,6212,181270
60,226,181270,6212,181270
61,234,182080,6212,182080
61,234,182080,6212,182080
61,234,182890,6212,182890
61,234,183210,6212,183210
61,234,183680,6212,183680
61,234,184000,6212,184000
61,234,184000,6212,184000
61,234,184650,6212,184650
61,234,185460,6212,185460
61,234,185780,6212,185780
61,234,186590,6212,186590
61,234,187400,6212,187400
61,234,188210,6212,188210
62,238,189020,6212,189020
62,238,189670,6212,189670
62,238,189830,6212,189830
62,238,190060,6212,190060
62,238,190530,6212,190530
62,238,190850,6212,190850
62,238,191170,6212,191170
62,238,191980,6212,191980
62,238,192570,6212,192570
63,246,193380,6212,193380
63,246,193380,6212,193380
63,246,193850,6212,193850
63,246,194320,6212,194320
63,246,194870,6212,194870
63,246,195340,6212,195340
63,246,196150,6212,196150
63,246,196620,6212,196620
63,246,196620,6212,196620
63,246,196620,6212,196620
63,246,197080,6212,197080
63,246,197890,6212,197890
63,246,197890,6212,197890
63,246,198120,6212,198120
63,246,198580,6212,198580
63,246,199390,6212,199390
64,254,200200,6212,200200
64,254,200660,6212,200660
64,254,201130,6212,201130
64,254,201450,6212,201450
64,254,201450,6212,201450
64,254,201770,6212,201770
64,254,202420,6212,202420
64,254,202420,6212,202420
64,254,202890,6212,202890
64,254,203210,6212,203210
64,254,203430,6212,203430
64,254,204080,6212,204080
64,254,204890,6212,204890
64,254,205700,6212,205700
64,254,206170,6212,206170
64,254,206280,6212,206280
65,262,206750,6212,206750
65,262,207560,6212,207560
65,262,208370,6212,208370
65,262,209180,6212,209180
65,262,209990,6212,209990
65,262,210800,6212,210800
65,262,211610,6212,211610
65,262,211610,6212,211610
65,262,212080,6212,212080
65,262,212890,6212,212890
66,270,213360,6212,213360
66,270,213830,6212,213830
66,270,213830,6212,213830
66,270,214310,6212,214310
66,270,215120,6212,215120
66,270,215120,6212,215120
66,270,215440,6212,215440
66,270,215760,6212,215760
66,270,216410,6212,216410
66,270,216880,6212,216880
66,270,217350,6212,217350
66,270,217820,6212,217820
66,270,218170,6212,218170
66,270,218650,6212,218650
67,278,219120,6212,219120
67,278,219930,6212,219930
67,278,220740,6212,220740
67,278,221060,6212,221060
67,278,221710,6212,221710
67,278,222520,6212,222520
67,278,222840,6212,222840
67,278,223070,6212,223070
67,278,223880,6212,223880
67,278,223880,6212,223880
67,278,224040,6212,224040
67,278,224510,6212,224510
67,278,224510,6212,224510
67,278,225320,6212,225320
68,280,226130,6212,226130
68,280,226940,6212,226940
68,280,227170,6212,227170
69,288,227490,6212,227490
69,288,227960,6212,227960
69,288,228510,6212,228510
69,288,229160,6212,229160
69,288,229480,6212,229480
69,288,229710,6212,229710
69,288,230180,6212,230180
69,288,230180,6212,230180
69,288,230500,6212,230500
69,288,230500,6212,230500
69,288,231310,6212,231310
69,288,231780,6212,231780
69,288,232590,6212,232590
69,288,232590,6212,232590
69,288,233400,6212,233400
70,296,234210,6212,234210
70,296,234210,6212,234210
70,296,234530,6212,234530
70,296,235340,6212,235340
70,296,235660,6212,235660
70,296,236310,6212,236310
70,296,236780,6212,236780
70,296,236780,6212,236780
70,296,237250,6212,237250
70,296,237250,6212,237250
70,296,238060,6212,238060
70,296,238380,6212,238380
70,296,239190,6212,239190
70,296,239660,6212,239660
70,296,240130,6212,240130
70,296,240600,6212,240600
71,304,241250,6212,241250
71,304,242060,6212,242060
71,304,242870,6212,242870
71,304,243190,6212,243190
71,304,243510,6212,243510
71,304,243830,6212,243830
71,304,244060,6212,244060
71,304,244060,6212,244060
71,304,244870,6212,244870
71,304,245190,6212,245190
71,304,245780,6212,245780
71,304,246250,6212,246250
71,304,246470,6212,246470
71,304,247280,6212,247280
71,304,247280,6212,247280
71,304,247750,6212,247750
72,312,248220,6212,248220
72,312,248590,6212,248590
72,312,248590,6212,248590
72,312,249400,6212,249400
72,312,249400,6212,249400
72,312,249870,6212,249870
72,312,250680,6212,250680
72,312,251150,6212,251150
72,312,251370,6212,251370
72,312,252180,6212,252180
72,312,252650,6212,252650
72,312,253460,6212,253460
72,312,253460,6212,253460
72,312,253460,6212,253460
72,312,254270,6212,254270
73,314,255080,6212,255080
73,314,255550,6212,255550
73,314,256360,6212,256360
74,316,256680,6212,256680
74,316,257330,6212,257330
74,316,258140,6212,258140
75,318,258950,6212,258950
75,318,259180,6212,259180
75,318,259550,6212,259550
75,318,259550,6212,259550
75,318,259870,6212,259870
76,320,260520,6212,260520
76,320,260990,6212,260990
76,320,261460,6212,261460
77,328,262270,6212,262270
77,328,262740,6212,262740
77,328,263200,6212,263200
77,328,264010,6212,264010
77,328,264330,6212,264330
77,328,264790,6212,264790
77,328,265250,6212,265250
77,328,265710,6212,265710
77,328,266360,6212,266360
77,328,266590,6212,266590
77,328,267400,6212,267400
77,328,267400,6212,267400
77,328,267630,6212,267630
77,328,268100,6212,268100
77,328,268570,6212,268570
78,330,269380,6212,269380
78,330,269970,6212,269970
78,330,269970,6212,269970
78,330,270340,6212,270340
79,338,271150,6212,271150
79,338,271960,6212,271960
79,338,272770,6212,272770
79,338,273580,6212,273580
79,338,274390,6212,274390
79,338,275200,6212,275200
79,338,275430,6212,275430
79,338,275900,6212,275900
79,338,276130,6212,276130
79,338,276450,6212,276450
79,338,276770,6212,276770
79,338,277090,6212,277090
79,338,277090,6212,277090
80,340,277740,6212,277740
80,340,277740,6212,277740
80,340,277740,6212,277740
80,340,278010,6212,278010
80,340,278820,6212,278820
81,348,279290,6212,279290
81,348,279290,6212,279290
81,348,279520,6212,279520
81,348,280330,6212,280330
81,348,281140,6212,281140
81,348,281950,6212,281950
81,348,282760,6212,282760
81,348,283080,6212,283080
81,348,283540,6212,283540
81,348,283540,6212,283540
81,348,283700,6212,283700
81,348,283860,6212,283860
81,348,284180,6212,284180
81,348,284650,6212,284650
81,348,285460,6212,285460
81,348,285930,6212,285930
81,348,286150,6212,286150
82,356,286960,6212,286960
82,356,287280,6212,287280
82,356,288090,6212,288090
82,356,288900,6212,288900
82,356,289220,6212,289220
82,356,289220,6212,289220
82,356,290030,6212,290030
82,356,290350,6212,290350
82,356,291160,6212,291160
82,356,291160,6212,291160
82,356,291970,6212,291970
82,356,292780,6212,292780
83,358,293590,6212,293590
83,358,294140,6212,294140
84,366,294610,6212,294610
84,366,295080,6212,295080
84,366,295080,6212,295080
84,366,295080,6212,295080
84,366,295730,6212,295730
84,366,295730,6212,295730
84,366,295730,6212,295730
84,366,296540,6212,296540
84,366,297130,6212,297130
84,366,297180,6212,297180
84,366,297530,6212,297530
84,366,297850,6212,297850
84,366,298660,6212,298660
84,366,299470,6212,299470
84,366,300280,6212,300280
84,366,300330,6212,300330
84,366,300490,6212,300490
84,366,301140,6212,301140
85,374,301790,6212,301790
85,374,301790,6212,301790
85,374,302600,6212,302600
85,374,303250,6212,303250
85,374,304060,6212,304060
85,374,304530,6212,304530
85,374,304530,6212,304530
85,374,305340,6212,305340
85,374,306150,6212,306150
85,374,306960,6212,306960
85,374,306960,6212,306960
86,376,307770,6212,307770
86,376,307770,6212,307770
86,376,308240,6212,308240
86,376,308240,6212,308240
86,376,309050,6212,309050
87,384,309520,6212,309520
87,384,309520,6212,309520
87,384,309520,6212,309520
87,384,309840,6212,309840
87,384,310650,6212,310650
87,384,311120,6212,311120
87,384,311590,6212,311590
87,384,312400,6212,312400
87,384,312870,6212,312870
87,384,313680,6212,313680
87,384,314490,6212,314490
87,384,314860,6212,314860
87,384,315330,6212,315330
87,384,315330,6212,315330
87,384,315330,6212,315330
87,384,315790,6212,315790
87,384,316110,6212,316110
87,384,316270,6212,316270
87,384,317080,6212,317080
88,392,317550,6212,317550
88,392,317550,6212,317550
88,392,317710,6212,317710
88,392,318520,6212,318520
88,392,318840,6212,318840
88,392,319160,6212,319160
88,392,319630,6212,319630
88,392,319950,6212,319950
88,392,320600,6212,320600
88,392,321250,6212,321250
88,392,321570,6212,321570
88,392,322380,6212,322380
88,392,323190,6212,323190
88,392,323740,6212,323740
88,392,324550,6212,324550
88,392,324770,6212,324770
89,394,325090,6212,325090
89,394,325560,6212,325560
89,394,326020,6212,326020
89,394,326250,6212,326250
90,396,327060,6212,327060
90,396,327060,6212,327060
90,396,327530,6212,327530
90,396,328340,6212,328340
91,398,329150,6212,329150
91,398,329960,6212,329960
92,400,330770,6212,330770
92,400,331580,6212,331580
93,408,332390,6212,332390
93,408,332860,6212,332860
93,408,332860,6212,332860
93,408,333330,6212,333330
93,408,333800,6212,333800
93,408,334030,6212,334030
93,408,334030,6212,334030
93,408,334250,6212,334250
93,408,334250,6212,334250
93,408,334570,6212,334570
93,408,334570,6212,334570
93,408,335030,6212,335030
93,408,335510,6212,335510
93,408,335980,6212,335980
93,408,336450,6212,336450
93,408,337260,6212,337260
93,408,338070,6212,338070
93,408,338070,6212,338070
93,408,338540,6212,338540
93,408,339010,6212,339010
93,408,339660,6212,339660
93,408,339980,6212,339980
94,412,340450,6212,340450
94,412,341260,6212,341260
94,412,341730,6212,341730
95,414,342200,6212,342200
95,414,342670,6212,342670
95,414,342670,6212,342670
95,414,342670,6212,342670
95,414,343140,6212,343140
95,414,343730,6212,343730
96,422,344540,6212,344540
96,422,345010,6212,345010
96,422,345820,6212,345820
96,422,346630,6212,346630
96,422,347440,6212,347440
96,422,347710,6212,347710
96,422,348300,6212,348300
96,422,349110,6212,349110
96,422,349340,6212,349340
96,422,349810,6212,349810
96,422,350620,6212,350620
96,422,351430,6212,351430
96,422,352080,6212,352080
96,422,352310,6212,352310
97,424,353120,6212,353120
97,424,353120,6212,353120
97,424,353340,6212,353340
97,424,354150,6212,354150
97,424,354260,6212,354260
98,432,355070,6212,355070
98,432,355880,6212,355880
98,432,356690,6212,356690
98,432,357160,6212,357160
98,432,357480,6212,357480
98,432,357800,6212,357800
98,432,358610,6212,358610
98,432,359420,6212,359420
98,432,359890,6212,359890
98,432,360350,6212,360350
98,432,360820,6212,360820
98,432,361290,6212,361290
98,432,361400,6212,361400
99,434,361860,6212,361860
99,434,362670,6212,362670
99,434,363140,6212,363140
99,434,363140,6212,363140
99,434,363360,6212,363360
100,442,364170,6212,364170
100,442,364640,6212,364640
100,442,364990,6212,364990
100,442,365640,6212,365640
100,442,365870,6212,365870
100,442,366680,6212,366680
100,442,367150,6212,367150
100,442,367960,6212,367960
100,442,368420,6212,368420
100,442,368890,6212,368890
100,442,368890,6212,368890
100,442,369540,6212,369540
100,442,369760,6212,369760
101,450,370570,6212,370570
101,450,371040,6212,371040
101,450,371410,6212,371410
101,450,371730,6212,371730
101,450,372540,6212,372540
101,450,373130,6212,373130
101,450,373780,6212,373780
101,450,373780,6212,373780
101,450,373780,6212,373780
101,450,374590,6212,374590
101,450,375400,6212,375400
101,450,375870,6212,375870
102,458,376680,6212,376680
102,458,377000,6212,377000
102,458,377000,6212,377000
102,458,377810,6212,377810
102,458,377810,6212,377810
102,458,378460,6212,378460
102,458,378460,6212,378460
102,458,378930,6212,378930
102,458,379740,6212,379740
102,458,380390,6212,380390
102,458,380860,6212,380860
102,458,381090,6212,381090
102,458,381410,6212,381410
102,458,381730,6212,381730
102,458,382540,6212,382540
102,458,383350,6212,383350
103,466,384160,6212,384160
103,466,384630,6212,384630
103,466,385100,6212,385100
103,466,385910,6212,385910
103,466,386500,6212,386500
103,466,387310,6212,387310
103,466,387770,6212,387770
103,466,388090,6212,388090
103,466,388090,6212,388090
103,466,388900,6212,388900
103,466,389710,6212,389710
103,466,390520,6212,390520
104,474,390990,6212,390990
104,474,391310,6212,391310
104,474,392120,6212,392120
104,474,392590,6212,392590
104,474,392590,6212,392590
104,474,393400,6212,393400
104,474,394210,6212,394210
104,474,394530,6212,394530
104,474,395340,6212,395340
104,474,395800,6212,395800
104,474,396260,6212,396260
104,474,396580,6212,396580
105,482,397390,6212,397390
105,482,397940,6212,397940
105,482,397940,6212,397940
105,482,398750,6212,398750
105,482,399220,6212,399220
105,482,399690,6212,399690
105,482,400500,6212,400500
105,482,400730,6212,400730
105,482,401320,6212,401320
105,482,402130,6212,402130
105,482,402940,6212,402940
105,482,403750,6212,403750
105,482,403910,6212,403910
106,484,404370,6212,404370
106,484,404370,6212,404370
106,484,404690,6212,404690
106,484,405160,6212,405160
107,486,405970,6212,405970
107,486,406340,6212,406340
107,486,406810,6212,406810
107,486,406810,6212,406810
107,486,406810,6212,406810
107,486,407130,6212,407130
108,494,407680,6212,407680
109,496,408490,6212,408490
109,496,409140,6212,409140
109,496,409950,6212,409950
109,496,410760,6212,410760
109,496,411080,6212,411080
109,496,411550,6212,411550
109,496,412020,6212,412020
109,496,412490,6212,412490
109,496,413300,6212,413300
109,496,414110,6212,414110
109,496,414160,6212,414160
109,496,414620,6212,414620
109,496,415090,6212,415090
109,496,415320,6212,415320
110,504,416130,6212,416130
110,504,416130,6212,416130
110,504,416130,6212,416130
110,504,416130,6212,416130
110,504,416780,6212,416780
110,504,417370,6212,417370
110,504,417420,6212,417420
110,504,417890,6212,417890
110,504,418210,6212,418210
110,504,419020,6212,419020
110,504,419340,6212,419340
110,504,419340,6212,419340
110,504,419810,6212,419810
110,504,420620,6212,420620
110,504,421080,6212,421080
110,504,421550,6212,421550
110,504,422200,6212,422200
111,512,423010,6212,423010
111,512,423480,6212,423480
111,512,423950,6212,423950
111,512,424760,6212,424760
111,512,424760,6212,424760
111,512,424760,6212,424760
111,512,425410,6212,425410
111,512,425520,6212,425520
111,512,425980,6212,425980
111,512,426210,6212,426210
111,512,426860,6212,426860
111,512,426860,6212,426860
111,512,427180,6212,427180
111,512,427830,6212,427830
111,512,428640,6212,428640
111,512,429110,6212,429110
112,514,429660,6212,429660
112,514,430310,6212,430310
112,514,430780,6212,430780
113,522,431590,6212,431590
113,522,432240,6212,432240
113,522,433050,6212,433050
113,522,433640,6212,433640
113,522,434290,6212,434290
113,522,434610,6212,434610
113,522,435080,6212,435080
113,522,435890,6212,435890
113,522,436700,6212,436700
113,522,437170,6212,437170
113,522,437490,6212,437490
113,522,437810,6212,437810
114,524,438620,6212,438620
114,524,438990,6212,438990
114,524,439460,6212,439460
115,526,440110,6212,440110
115,526,440570,6212,440570
115,526,441380,6212,441380
116,528,442190,6212,442190
116,528,442660,6212,442660
116,528,442880,6212,442880
116,528,442880,6212,442880
117,536,443690,6212,443690
117,536,444170,6212,444170
117,536,444980,6212,444980
117,536,445790,6212,445790
117,536,446600,6212,446600
117,536,447070,6212,447070
117,536,447070,6212,447070
117,536,447880,6212,447880
117,536,448350,6212,448350
117,536,448510,6212,448510
117,536,449320,6212,449320
117,536,450130,6212,450130
118,540,450940,6212,450940
118,540,451260,6212,451260
118,540,452070,6212,452070
118,540,452070,6212,452070
118,540,452720,6212,452720
118,540,452720,6212,452720
119,544,453190,6212,453190
119,544,453840,6212,453840
119,544,454490,6212,454490
119,544,454950,6212,454950
119,544,455760,6212,455760
119,544,456350,6212,456350
120,546,456820,6212,456820
120,546,457630,6212,457630
120,546,457630,6212,457630
120,546,457860,6212,457860
120,546,458180,6212,458180
121,554,458990,6212,458990
121,554,459460,6212,459460
121,554,459930,6212,459930
121,554,460390,6212,460390
121,554,460550,6212,460550
121,554,461360,6212,461360
121,554,462170,6212,462170
121,554,462400,6212,462400
121,554,462400,6212,462400
121,554,462400,6212,462400
121,554,463210,6212,463210
121,554,464020,6212,464020
121,554,464490,6212,464490
121,554,464960,6212,464960
121,554,465770,6212,465770
122,562,466240,6212,466240
122,562,466710,6212,466710
123,564,467520,6212,467520
123,564,467990,6212,467990
123,564,468800,6212,468800
123,564,468800,6212,468800
123,564,469450,6212,469450
123,564,469770,6212,469770
123,564,470000,6212,470000
123,564,470810,6212,470810
123,564,471620,6212,471620
123,564,471840,6212,471840
123,564,471840,6212,471840
123,564,472160,6212,472160
123,564,472970,6212,472970
123,564,473620,6212,473620
123,564,473850,6212,473850
124,572,474500,6212,474500
124,572,475310,6212,475310
124,572,476120,6212,476120
124,572,476590,6212,476590
124,572,477060,6212,477060
124,572,477530,6212,477530
124,572,477640,6212,477640
124,572,478110,6212,478110
124,572,478580,6212,478580
124,572,479230,6212,479230
124,572,479460,6212,479460
124,572,479680,6212,479680
124,572,480490,6212,480490
124,572,480490,6212,480490
124,572,481300,6212,481300
125,580,481950,6212,481950
125,580,482600,6212,482600
125,580,483410,6212,483410
125,580,483870,6212,483870
125,580,484190,6212,484190
125,580,485000,6212,485000
125,580,485460,6212,485460
125,580,486270,6212,486270
125,580,486740,6212,486740
125,580,487550,6212,487550
125,580,488200,6212,488200
126,588,489010,6212,489010
