ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
847450.92,13.64,0.08,214381.16,3.45
854890.88,13.76,0.08,240281.28,3.87
855062.74,13.77,0.08,240398.66,3.87
854934.95,13.77,0.08,240019.68,3.87
854934.95,13.77,0.08,240244.93,3.87
854653.02,13.76,0.08,239933.75,3.86
854525.23,13.76,0.08,239554.77,3.86
854397.44,13.76,0.08,239175.79,3.85
854148.74,13.76,0.08,239016.25,3.85
854329.23,13.76,0.08,238893.15,3.85
854203.44,13.76,0.08,238516.17,3.84
854093.89,13.76,0.08,238424.89,3.84
854274.39,13.77,0.08,238973.53,3.85
854146.6,13.77,0.08,238594.55,3.85
854037.05,13.76,0.08,238450.04,3.84
854212.14,13.77,0.08,238660.24,3.85
854389.82,13.77,0.09,238817.48,3.85
854524.04,13.78,0.09,238700.5,3.85
854524.04,13.78,0.09,238700.5,3.85
854558.25,13.78,0.09,238483.52,3.85
854430.46,13.78,0.09,238104.55,3.84
854302.67,13.78,0.09,237725.57,3.83
854020.74,13.77,0.09,237378.97,3.83
853892.95,13.77,0.09,237000.0,3.82
853648.42,13.77,0.09,236846.0,3.82
853820.28,13.77,0.09,236845.78,3.82
853571.58,13.77,0.09,236845.78,3.82
853443.79,13.77,0.09,236466.8,3.82
853316.0,13.77,0.09,236087.83,3.81
853487.86,13.78,0.09,236087.83,3.81
853360.07,13.77,0.09,235708.85,3.8
853232.28,13.77,0.09,235329.87,3.8
853232.28,13.77,0.09,235329.87,3.8
853104.49,13.77,0.09,234950.89,3.79
852976.7,13.77,0.09,234571.91,3.79
853030.63,13.78,0.09,234374.65,3.79
852781.93,13.77,0.09,234374.65,3.79
853004.42,13.78,0.09,234202.95,3.78
853004.42,13.78,0.09,234202.95,3.78
853179.51,13.78,0.1,234550.82,3.79
853177.23,13.78,0.1,234514.99,3.79
853349.09,13.79,0.1,234599.63,3.79
853221.3,13.79,0.1,234226.17,3.78
853029.37,13.78,0.1,233876.24,3.78
853204.46,13.79,0.1,236072.84,3.82
853379.54,13.79,0.11,236072.63,3.82
853130.84,13.79,0.11,236212.73,3.82
853003.05,13.79,0.1,235833.75,3.81
853174.91,13.79,0.11,235833.75,3.81
853350.0,13.8,0.11,235833.75,3.81
853158.07,13.79,0.11,236085.67,3.82
852919.37,13.79,0.11,235924.77,3.81
852791.58,13.79,0.11,235545.79,3.81
852791.58,13.79,0.11,235545.79,3.81
852791.58,13.79,0.11,235559.75,3.81
852791.58,13.79,0.11,235559.75,3.81
852963.44,13.8,0.11,235574.72,3.81
852681.51,13.79,0.11,235618.73,3.81
852670.84,13.79,0.11,237834.9,3.85
852842.7,13.8,0.11,238089.4,3.85
852842.7,13.8,0.11,238089.4,3.85
852842.7,13.8,0.11,238089.4,3.85
852714.91,13.8,0.11,237710.42,3.85
852714.91,13.8,0.11,237586.41,3.84
852868.04,13.8,0.11,237488.34,3.84
853039.89,13.8,0.12,237506.92,3.84
852791.19,13.8,0.12,237651.89,3.85
852845.12,13.8,0.12,237454.63,3.84
852665.4,13.8,0.12,237274.91,3.84
852716.56,13.8,0.12,237244.55,3.84
852767.72,13.8,0.12,236898.26,3.83
852818.88,13.81,0.12,236673.45,3.83
852870.04,13.81,0.13,236772.56,3.83
853041.89,13.81,0.13,236826.63,3.84
