ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1582743.59,25.78,0.2,205530.44,3.35
1582487.86,25.78,0.2,205846.71,3.35
1582561.72,25.78,0.21,205918.46,3.35
1582352.12,25.78,0.21,207258.37,3.38
1582352.12,25.78,0.21,207167.0,3.38
1582352.12,25.78,0.21,207123.23,3.37
1582352.12,25.78,0.21,207123.23,3.37
1582352.12,25.78,0.21,207286.21,3.38
1582096.38,25.78,0.21,207179.09,3.38
1581886.78,25.78,0.2,206398.97,3.36
1581631.04,25.78,0.2,206343.11,3.36
1581631.04,25.78,0.2,206343.11,3.36
1581375.3,25.78,0.2,206299.34,3.36
1581243.5,25.78,0.2,206067.48,3.36
1580987.76,25.78,0.2,206067.48,3.36
1580732.02,25.78,0.2,206062.65,3.36
1580921.47,25.78,0.21,206060.08,3.36
1580921.47,25.78,0.21,206060.08,3.36
1580665.73,25.78,0.21,206299.33,3.36
1580665.73,25.78,0.21,206299.33,3.36
1580366.13,25.78,0.21,208204.91,3.4
1580289.89,25.78,0.21,207386.86,3.38
1580045.07,25.78,0.21,206612.03,3.37
1580045.07,25.78,0.21,206612.03,3.37
1579702.86,25.78,0.21,206280.89,3.37
1579447.12,25.78,0.21,206109.6,3.36
1579191.38,25.78,0.21,206041.64,3.36
1579191.38,25.78,0.21,206041.64,3.36
1578935.64,25.78,0.21,206036.82,3.36
1578578.53,25.78,0.2,207673.12,3.39
1578578.53,25.78,0.2,207707.57,3.39
1578578.53,25.78,0.2,207707.57,3.39
1578322.79,25.78,0.2,207670.54,3.39
1578322.79,25.78,0.2,207670.54,3.39
1578067.06,25.78,0.2,207626.77,3.39
1577811.32,25.78,0.2,208111.15,3.4
1577555.58,25.78,0.2,208111.15,3.4
1577299.84,25.78,0.2,208067.38,3.4
1577044.1,25.78,0.2,208067.38,3.4
1576788.36,25.78,0.2,208062.51,3.4
1576788.36,25.78,0.2,208062.51,3.4
1576786.67,25.78,0.21,207288.73,3.39
1576530.93,25.78,0.21,207286.2,3.39
1576757.82,25.79,0.21,209789.79,3.43
1576647.59,25.79,0.21,208985.14,3.42
1576391.85,25.79,0.21,209161.85,3.42
1576391.85,25.79,0.21,209161.85,3.42
1576391.85,25.79,0.21,209161.85,3.42
1576315.11,25.79,0.21,209169.45,3.42
1576315.11,25.79,0.21,209169.45,3.42
1576070.29,25.79,0.21,208458.07,3.41
1576317.53,25.79,0.22,208689.42,3.41
1576317.53,25.79,0.22,208689.42,3.41
1576061.79,25.79,0.22,208665.56,3.41
1575796.69,25.79,0.22,208252.87,3.41
1575727.24,25.79,0.22,208146.93,3.41
1575568.39,25.79,0.22,207988.08,3.4
1575312.65,25.79,0.22,208018.81,3.41
1575312.65,25.79,0.22,208018.81,3.41
1575056.91,25.79,0.22,208515.55,3.41
1575056.91,25.79,0.22,208515.55,3.41
1575056.91,25.79,0.22,208515.55,3.41
1575246.36,25.8,0.22,208601.48,3.42
1574871.17,25.79,0.22,208622.96,3.42
1574615.43,25.79,0.22,208541.78,3.42
1574615.43,25.79,0.22,208541.78,3.42
1574615.43,25.79,0.22,208541.78,3.42
1574615.43,25.79,0.22,208541.78,3.42
1574359.69,25.79,0.22,208498.01,3.42
1574103.95,25.79,0.22,208498.01,3.42
1573838.85,25.79,0.22,207347.13,3.4
1573583.12,25.79,0.22,207339.73,3.4
1573327.38,25.79,0.22,207339.73,3.4
1573071.64,25.79,0.22,207854.36,3.41
1572815.9,25.79,0.22,207798.09,3.41
1572815.9,25.79,0.22,207798.09,3.41
1572560.16,25.79,0.22,207544.32,3.4
1572787.39,25.8,0.22,207473.51,3.4
1572531.65,25.8,0.22,207461.82,3.4
1572605.51,25.8,0.23,207459.43,3.4
1572500.85,25.8,0.23,207356.81,3.4
1572471.41,25.81,0.23,209783.59,3.44
1572471.41,25.81,0.23,209783.59,3.44
1572471.41,25.81,0.23,209783.59,3.44
1572441.97,25.81,0.24,211944.98,3.48
1572515.84,25.81,0.24,212350.37,3.49
1572271.02,25.81,0.24,211638.98,3.47
1571886.97,25.81,0.24,211382.08,3.47
1571544.76,25.81,0.23,210987.49,3.46
1571289.02,25.81,0.23,210924.12,3.46
1571289.02,25.81,0.23,210924.12,3.46
1571289.02,25.81,0.23,210924.12,3.46
1571281.76,25.81,0.24,212245.02,3.49
1571233.59,25.81,0.24,211652.27,3.48
1570977.86,25.81,0.24,211562.58,3.48
1570977.86,25.81,0.24,211562.58,3.48
1570722.12,25.81,0.24,211518.81,3.48
1570466.38,25.81,0.24,211518.81,3.48
1570674.55,25.82,0.25,212779.96,3.5
1570418.81,25.82,0.25,212779.96,3.5
1570418.81,25.82,0.25,212779.96,3.5
1570418.81,25.82,0.25,212779.96,3.5
1570418.81,25.82,0.25,212779.96,3.5
1570418.81,25.82,0.25,212779.96,3.5
1570418.81,25.82,0.25,212779.96,3.5
1570163.07,25.82,0.25,212818.24,3.5
1570115.25,25.82,0.25,212248.36,3.49
1569894.28,25.82,0.25,211657.86,3.48
1569603.05,25.82,0.25,211816.91,3.48
1569583.64,25.82,0.25,210858.04,3.47
1569338.82,25.82,0.25,211160.21,3.47
1569185.47,25.82,0.25,210898.73,3.47
1569185.47,25.82,0.25,210908.12,3.47
1569393.64,25.83,0.26,212583.0,3.5
1569150.87,25.83,0.25,211949.46,3.49
1568873.07,25.82,0.25,212443.05,3.5
1568617.33,25.82,0.25,212418.63,3.5
1568361.59,25.82,0.25,213128.45,3.51
1568361.59,25.82,0.25,213321.07,3.51
1568361.59,25.82,0.25,213398.25,3.51
1568361.59,25.82,0.25,213355.98,3.51
1568361.59,25.82,0.25,213313.67,3.51
1568313.77,25.83,0.25,213901.13,3.52
1568634.09,25.83,0.26,214022.18,3.52
1568368.99,25.83,0.26,213087.48,3.51
1568113.25,25.83,0.26,216871.1,3.57
1568113.25,25.83,0.26,216948.29,3.57
1568074.45,25.84,0.26,216145.66,3.56
1567937.55,25.83,0.26,216162.14,3.56
1567937.55,25.83,0.26,216119.88,3.56
1568056.5,25.84,0.27,214927.11,3.54
1567800.76,25.84,0.27,214884.8,3.54
1567545.02,25.84,0.27,215535.29,3.55
1567545.02,25.84,0.27,215530.78,3.55
1567289.28,25.84,0.27,215527.89,3.55
1566884.75,25.83,0.26,215101.5,3.55
1566680.96,25.83,0.26,216433.61,3.57
1566680.96,25.83,0.26,216433.61,3.57
