ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
54,184,124430,6212,124430
54,184,125240,6212,125240
54,184,126240,6212,126240
54,184,126240,6212,126240
55,186,127240,6212,127240
55,186,128240,6212,128240
55,186,128710,6212,128710
56,194,129710,6212,129710
56,194,129710,6212,129710
56,194,129710,6212,129710
56,194,129710,6212,129710
56,194,129710,6212,129710
56,194,129710,6212,129710
56,194,130710,6212,130710
56,194,131520,6212,131520
56,194,131980,6212,131980
56,194,132980,6212,132980
56,194,133790,6212,133790
56,194,134790,6212,134790
56,194,135600,6212,135600
56,194,135600,6212,135600
56,194,136070,6212,136070
56,194,136390,6212,136390
56,194,136850,6212,136850
56,194,137850,6212,137850
56,194,138850,6212,138850
56,194,138850,6212,138850
57,202,138850,6212,138850
57,202,138850,6212,138850
57,202,138850,6212,138850
57,202,139660,6212,139660
57,202,139890,6212,139890
57,202,140890,6212,140890
57,202,141890,6212,141890
58,210,141890,6212,141890
58,210,142700,6212,142700
58,210,142930,6212,142930
58,210,142930,6212,142930
58,210,143520,6212,143520
58,210,144520,6212,144520
58,210,145520,6212,145520
59,218,145520,6212,145520
59,218,146520,6212,146520
59,218,146990,6212,146990
59,218,147310,6212,147310
59,218,147310,6212,147310
59,218,147780,6212,147780
59,218,148780,6212,148780
59,218,149590,6212,149590
60,220,149590,6212,149590
60,220,149910,6212,149910
60,220,149910,6212,149910
60,220,150380,6212,150380
60,220,150930,6212,150930
60,220,151400,6212,151400
60,220,152210,6212,152210
60,220,152530,6212,152530
60,220,153530,6212,153530
60,220,154530,6212,154530
61,228,155530,6212,155530
61,228,155530,6212,155530
61,228,156180,6212,156180
61,228,156180,6212,156180
61,228,157180,6212,157180
61,228,158180,6212,158180
62,230,159180,6212,159180
62,230,159990,6212,159990
62,230,159990,6212,159990
62,230,160460,6212,160460
63,238,160460,6212,160460
63,238,161460,6212,161460
63,238,162460,6212,162460
63,238,162460,6212,162460
64,240,163460,6212,163460
64,240,164460,6212,164460
64,240,165460,6212,165460
64,240,166460,6212,166460
64,240,166460,6212,166460
64,240,166460,6212,166460
65,248,167460,6212,167460
65,248,168460,6212,168460
65,248,169460,6212,169460
65,248,170460,6212,170460
65,248,171460,6212,171460
65,248,171570,6212,171570
65,248,172220,6212,172220
65,248,172540,6212,172540
66,256,173540,6212,173540
66,256,173540,6212,173540
66,256,174540,6212,174540
66,256,174540,6212,174540
66,256,174770,6212,174770
66,256,175580,6212,175580
66,256,176050,6212,176050
66,256,177050,6212,177050
66,256,178050,6212,178050
66,256,178700,6212,178700
67,258,178700,6212,178700
67,258,179170,6212,179170
67,258,180170,6212,180170
68,266,180820,6212,180820
68,266,181290,6212,181290
68,266,181760,6212,181760
68,266,181760,6212,181760
68,266,182230,6212,182230
68,266,182700,6212,182700
68,266,183700,6212,183700
68,266,184700,6212,184700
69,274,185700,6212,185700
69,274,186700,6212,186700
69,274,186700,6212,186700
69,274,186700,6212,186700
