ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
115,235,110520,6212,110520
115,235,110520,6212,110520
116,237,111170,6212,111170
116,237,111630,6212,111630
117,239,112280,6212,112280
118,241,112500,6212,112500
118,241,112820,6212,112820
118,241,113630,6212,113630
119,243,114630,6212,114630
120,245,115280,6212,115280
120,245,115500,6212,115500
121,247,115960,6212,115960
121,247,116550,6212,116550
121,247,117360,6212,117360
121,247,118170,6212,118170
122,249,118490,6212,118490
122,249,118810,6212,118810
123,251,119280,6212,119280
123,251,119740,6212,119740
124,253,119740,6212,119740
124,253,120550,6212,120550
124,253,121550,6212,121550
125,255,122020,6212,122020
126,257,122490,6212,122490
126,257,122810,6212,122810
127,259,123280,6212,123280
128,261,123750,6212,123750
129,263,124300,6212,124300
129,263,124620,6212,124620
129,263,125170,6212,125170
130,265,125980,6212,125980
130,265,126300,6212,126300
131,267,126530,6212,126530
131,267,126530,6212,126530
131,267,127340,6212,127340
132,269,127340,6212,127340
133,273,127340,6212,127340
133,273,127660,6212,127660
134,275,128310,6212,128310
134,275,128770,6212,128770
135,277,129420,6212,129420
135,277,130230,6212,130230
136,279,130700,6212,130700
136,279,131170,6212,131170
136,279,131720,6212,131720
136,279,132040,6212,132040
136,279,132850,6212,132850
137,281,133660,6212,133660
137,281,134010,6212,134010
138,283,134010,6212,134010
138,283,134470,6212,134470
138,283,134940,6212,134940
139,287,135940,6212,135940
139,287,136410,6212,136410
140,289,136730,6212,136730
140,289,136960,6212,136960
140,289,137770,6212,137770
140,289,138230,6212,138230
141,293,138230,6212,138230
142,297,138230,6212,138230
142,297,139230,6212,139230
142,297,139700,6212,139700
143,299,140250,6212,140250
144,301,140250,6212,140250
145,303,140720,6212,140720
146,305,141040,6212,141040
146,305,141270,6212,141270
147,307,141920,6212,141920
148,309,142390,6212,142390
148,309,143200,6212,143200
149,311,143200,6212,143200
149,311,144200,6212,144200
149,311,144520,6212,144520
149,311,145330,6212,145330
149,311,146140,6212,146140
149,311,146510,6212,146510
149,311,146980,6212,146980
149,311,147790,6212,147790
150,313,148260,6212,148260
150,313,148580,6212,148580
150,313,149390,6212,149390
150,313,149860,6212,149860
151,315,150670,6212,150670
151,315,151670,6212,151670
152,317,152670,6212,152670
152,317,153040,6212,153040
153,319,153510,6212,153510
153,319,153740,6212,153740
153,319,154550,6212,154550
154,321,155360,6212,155360
155,323,155360,6212,155360
156,327,155360,6212,155360
156,327,155830,6212,155830
156,327,156300,6212,156300
157,329,156770,6212,156770
157,329,157000,6212,157000
157,329,157810,6212,157810
157,329,158130,6212,158130
158,331,158130,6212,158130
159,333,158350,6212,158350
159,333,158350,6212,158350
159,333,158670,6212,158670
159,333,158890,6212,158890
160,335,159540,6212,159540
160,335,160010,6212,160010
160,335,160330,6212,160330
161,337,160700,6212,160700
162,341,160700,6212,160700
162,341,160700,6212,160700
162,341,161020,6212,161020
162,341,161830,6212,161830
162,341,162150,6212,162150
162,341,162470,6212,162470
163,343,163280,6212,163280
163,343,164090,6212,164090
164,345,164900,6212,164900
164,345,165120,6212,165120
164,345,165120,6212,165120
164,345,165590,6212,165590
165,347,165590,6212,165590
166,349,166240,6212,166240
167,351,166710,6212,166710
167,351,167520,6212,167520
167,351,167840,6212,167840
168,353,168490,6212,168490
169,355,168490,6212,168490
170,357,168490,6212,168490
170,357,169300,6212,169300
170,357,169620,6212,169620
171,359,170270,6212,170270
171,359,170590,6212,170590
171,359,171400,6212,171400
172,361,172050,6212,172050
172,361,172860,6212,172860
172,361,173090,6212,173090
173,365,174090,6212,174090
173,365,174410,6212,174410
173,365,175220,6212,175220
174,367,176030,6212,176030
175,371,176030,6212,176030
175,371,176490,6212,176490
175,371,176960,6212,176960
176,373,177430,6212,177430
177,377,177430,6212,177430
178,379,178240,6212,178240
178,379,179050,6212,179050
178,379,179860,6212,179860
179,380,180670,6212,180670
180,382,181140,6212,181140
180,382,181620,6212,181620
180,382,181850,6212,181850
180,382,182660,6212,182660
181,386,183660,6212,183660
181,386,183660,6212,183660
181,386,183980,6212,183980
182,390,183980,6212,183980
183,394,184630,6212,184630
184,396,184950,6212,184950
184,396,185760,6212,185760
184,396,186230,6212,186230
184,396,186230,6212,186230
185,400,186880,6212,186880
186,402,187690,6212,187690
186,402,188160,6212,188160
186,402,188620,6212,188620
186,402,188780,6212,188780
186,402,189780,6212,189780
186,402,190330,6212,190330
186,402,190650,6212,190650
186,402,191460,6212,191460
186,402,191830,6212,191830
187,404,192640,6212,192640
187,404,193110,6212,193110
188,406,193920,6212,193920
188,406,194730,6212,194730
189,410,195200,6212,195200
189,410,195670,6212,195670
189,410,195670,6212,195670
189,410,195990,6212,195990
189,410,196450,6212,196450
189,410,197260,6212,197260
190,414,197910,6212,197910
190,414,198560,6212,198560
190,414,199370,6212,199370
191,418,199370,6212,199370
191,418,199370,6212,199370
191,418,199830,6212,199830
191,418,200640,6212,200640
191,418,200640,6212,200640
192,420,201450,6212,201450
192,420,201920,6212,201920
192,420,202390,6212,202390
193,424,202610,6212,202610
194,426,203420,6212,203420
194,426,204070,6212,204070
194,426,204540,6212,204540
194,426,204540,6212,204540
194,426,205350,6212,205350
194,426,206160,6212,206160
195,430,206160,6212,206160
196,434,207160,6212,207160
196,434,207620,6212,207620
196,434,208090,6212,208090
196,434,208250,6212,208250
196,434,208710,6212,208710
196,434,209260,6212,209260
196,434,209730,6212,209730
196,434,210730,6212,210730
197,436,211540,6212,211540
197,436,211860,6212,211860
197,436,212180,6212,212180
197,436,212830,6212,212830
198,438,213200,6212,213200
198,438,214010,6212,214010
198,438,214600,6212,214600
198,438,214600,6212,214600
199,442,215070,6212,215070
200,444,215880,6212,215880
200,444,216690,6212,216690
201,446,217500,6212,217500
201,446,217500,6212,217500
201,446,218310,6212,218310
202,450,218780,6212,218780
202,450,218780,6212,218780
202,450,219010,6212,219010
203,452,219820,6212,219820
203,452,220140,6212,220140
204,454,220950,6212,220950
204,454,221760,6212,221760
204,454,222130,6212,222130
204,454,222780,6212,222780
204,454,223330,6212,223330
204,454,223800,6212,223800
204,454,224610,6212,224610
205,456,225420,6212,225420
205,456,225890,6212,225890
206,460,226540,6212,226540
206,460,227540,6212,227540
206,460,228540,6212,228540
206,460,228860,6212,228860
206,460,229670,6212,229670
206,460,229670,6212,229670
207,462,230480,6212,230480
207,462,230950,6212,230950
207,462,230950,6212,230950
207,462,231180,6212,231180
207,462,231990,6212,231990
208,464,232800,6212,232800
208,464,233280,6212,233280
209,472,241280,6212,241280
209,472,241600,6212,241600
209,472,241760,6212,241760
209,472,242080,6212,242080
210,474,242890,6212,242890
210,474,243360,6212,243360
210,474,243680,6212,243680
210,474,243680,6212,243680
211,476,244490,6212,244490
211,476,244490,6212,244490
211,476,244950,6212,244950
212,480,245600,6212,245600
213,482,246410,6212,246410
213,482,246410,6212,246410
213,482,247220,6212,247220
213,482,247680,6212,247680
213,482,247680,6212,247680
213,482,248680,6212,248680
213,482,249000,6212,249000
213,482,249810,6212,249810
213,482,250360,6212,250360
214,486,250830,6212,250830
214,486,250830,6212,250830
214,486,251300,6212,251300
214,486,251300,6212,251300
214,486,252300,6212,252300
214,486,253110,6212,253110
214,486,253920,6212,253920
215,488,254730,6212,254730
215,488,255280,6212,255280
216,490,256090,6212,256090
216,490,256900,6212,256900
216,490,257220,6212,257220
217,492,257680,6212,257680
217,492,258680,6212,258680
218,494,259680,6212,259680
218,494,260330,6212,260330
219,496,261140,6212,261140
219,496,261140,6212,261140
219,496,262140,6212,262140
219,496,262610,6212,262610
220,498,263200,6212,263200
220,498,264200,6212,264200
221,500,265010,6212,265010
221,500,265480,6212,265480
221,500,265480,6212,265480
221,500,265800,6212,265800
221,500,266170,6212,266170
221,500,266640,6212,266640
221,500,266640,6212,266640
222,502,267110,6212,267110
222,502,267110,6212,267110
222,502,267570,6212,267570
222,502,267800,6212,267800
222,502,268610,6212,268610
222,502,268930,6212,268930
223,504,269930,6212,269930
223,504,270740,6212,270740
224,506,271550,6212,271550
224,506,271550,6212,271550
224,506,271550,6212,271550
225,510,272020,6212,272020
225,510,273020,6212,273020
225,510,273830,6212,273830
225,510,274640,6212,274640
225,510,275450,6212,275450
225,510,275770,6212,275770
226,512,276090,6212,276090
226,512,277090,6212,277090
226,512,277250,6212,277250
226,512,277720,6212,277720
226,512,277720,6212,277720
227,514,278310,6212,278310
227,514,279120,6212,279120
227,514,279440,6212,279440
228,516,279910,6212,279910
228,516,280500,6212,280500
229,518,281310,6212,281310
229,518,281470,6212,281470
229,518,282280,6212,282280
229,518,282600,6212,282600
230,520,283410,6212,283410
230,520,284220,6212,284220
230,520,284540,6212,284540
231,522,285350,6212,285350
231,522,286000,6212,286000
232,524,286470,6212,286470
232,524,286470,6212,286470
232,524,287470,6212,287470
233,526,288470,6212,288470
233,526,289280,6212,289280
234,528,290090,6212,290090
234,528,290740,6212,290740
234,528,290740,6212,290740
234,528,291220,6212,291220
234,528,291380,6212,291380
