ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
33,80,49290,6212,49290
33,80,50290,6212,50290
33,80,51100,6212,51100
33,80,51100,6212,51100
34,82,52100,6212,52100
34,82,53100,6212,53100
35,84,53910,6212,53910
36,92,57910,6212,57910
36,92,57910,6212,57910
36,92,58720,6212,58720
36,92,58720,6212,58720
36,92,59530,6212,59530
37,94,60530,6212,60530
37,94,61530,6212,61530
37,94,61530,6212,61530
37,94,62340,6212,62340
37,94,63340,6212,63340
37,94,64340,6212,64340
37,94,65340,6212,65340
37,94,66340,6212,66340
37,94,66990,6212,66990
37,94,67800,6212,67800
37,94,68800,6212,68800
37,94,69800,6212,69800
37,94,70270,6212,70270
37,94,70590,6212,70590
37,94,70590,6212,70590
37,94,71400,6212,71400
37,94,72210,6212,72210
37,94,72760,6212,72760
37,94,73570,6212,73570
37,94,73570,6212,73570
37,94,73570,6212,73570
38,102,74570,6212,74570
38,102,75570,6212,75570
38,102,76570,6212,76570
38,102,77380,6212,77380
38,102,78380,6212,78380
38,102,78850,6212,78850
38,102,79850,6212,79850
38,102,80850,6212,80850
38,102,81660,6212,81660
38,102,82660,6212,82660
39,110,83660,6212,83660
39,110,84660,6212,84660
39,110,84660,6212,84660
39,110,84660,6212,84660
39,110,84660,6212,84660
39,110,84660,6212,84660
39,110,85660,6212,85660
40,112,86660,6212,86660
40,112,87660,6212,87660
41,114,88470,6212,88470
41,114,88470,6212,88470
41,114,88470,6212,88470
41,114,89470,6212,89470
41,114,89470,6212,89470
41,114,89470,6212,89470
41,114,89470,6212,89470
41,114,90120,6212,90120
42,116,90930,6212,90930
42,116,90930,6212,90930
42,116,91930,6212,91930
42,116,92930,6212,92930
42,116,93400,6212,93400
42,116,94400,6212,94400
43,124,95400,6212,95400
43,124,96210,6212,96210
43,124,97210,6212,97210
43,124,98210,6212,98210
43,124,98210,6212,98210
43,124,98860,6212,98860
43,124,99860,6212,99860
43,124,99860,6212,99860
43,124,100510,6212,100510
43,124,100980,6212,100980
43,124,101980,6212,101980
43,124,102790,6212,102790
43,124,103600,6212,103600
43,124,104600,6212,104600
43,124,105410,6212,105410
44,132,106410,6212,106410
44,132,106880,6212,106880
44,132,107880,6212,107880
44,132,108880,6212,108880
44,132,109690,6212,109690
44,132,110690,6212,110690
44,132,111010,6212,111010
44,132,111560,6212,111560
44,132,112560,6212,112560
44,132,113560,6212,113560
44,132,114020,6212,114020
44,132,115020,6212,115020
45,140,115830,6212,115830
45,140,116830,6212,116830
45,140,117830,6212,117830
45,140,118150,6212,118150
45,140,119150,6212,119150
45,140,119470,6212,119470
45,140,120470,6212,120470
45,140,120790,6212,120790
45,140,120790,6212,120790
45,140,121790,6212,121790
45,140,121790,6212,121790
45,140,122790,6212,122790
45,140,123790,6212,123790
46,148,124600,6212,124600
46,148,125600,6212,125600
46,148,125600,6212,125600
46,148,126600,6212,126600
46,148,127070,6212,127070
46,148,127880,6212,127880
46,148,128880,6212,128880
46,148,129530,6212,129530
46,148,129530,6212,129530
46,148,129530,6212,129530
46,148,129760,6212,129760
46,148,130080,6212,130080
46,148,130400,6212,130400
46,148,131210,6212,131210
47,150,132210,6212,132210
47,150,133020,6212,133020
47,150,133020,6212,133020
47,150,133020,6212,133020
48,158,134020,6212,134020
48,158,134830,6212,134830
48,158,134830,6212,134830
48,158,134830,6212,134830
48,158,135640,6212,135640
48,158,135960,6212,135960
48,158,136960,6212,136960
48,158,137960,6212,137960
48,158,138960,6212,138960
48,158,139610,6212,139610
48,158,140610,6212,140610
49,160,141420,6212,141420
49,160,141420,6212,141420
49,160,142420,6212,142420
50,168,143420,6212,143420
50,168,144420,6212,144420
50,168,145230,6212,145230
50,168,145600,6212,145600
50,168,146070,6212,146070
50,168,147070,6212,147070
50,168,147540,6212,147540
50,168,148540,6212,148540
50,168,149540,6212,149540
50,168,150010,6212,150010
51,176,151010,6212,151010
51,176,151820,6212,151820
51,176,152630,6212,152630
51,176,153630,6212,153630
51,176,153630,6212,153630
51,176,154630,6212,154630
51,176,155100,6212,155100
51,176,156100,6212,156100
51,176,156570,6212,156570
51,176,156940,6212,156940
52,178,157940,6212,157940
52,178,158750,6212,158750
53,180,159560,6212,159560
53,180,160020,6212,160020
53,180,160830,6212,160830
54,182,161480,6212,161480
54,182,161710,6212,161710
54,182,161710,6212,161710
54,182,161710,6212,161710
54,182,161710,6212,161710
54,182,162710,6212,162710
55,184,163520,6212,163520
56,192,167520,6212,167520
56,192,168520,6212,168520
56,192,169520,6212,169520
57,194,170520,6212,170520
57,194,171520,6212,171520
57,194,172520,6212,172520
57,194,172990,6212,172990
58,196,173990,6212,173990
58,196,174990,6212,174990
58,196,175460,6212,175460
58,196,176460,6212,176460
59,204,177460,6212,177460
59,204,178270,6212,178270
59,204,179270,6212,179270
59,204,179740,6212,179740
59,204,180740,6212,180740
59,204,181740,6212,181740
59,204,182740,6212,182740
59,204,183740,6212,183740
60,212,184740,6212,184740
60,212,185200,6212,185200
60,212,186200,6212,186200
60,212,186200,6212,186200
60,212,187200,6212,187200
60,212,188200,6212,188200
60,212,189200,6212,189200
60,212,189520,6212,189520
60,212,190330,6212,190330
60,212,191140,6212,191140
60,212,191690,6212,191690
61,220,192160,6212,192160
61,220,192160,6212,192160
61,220,192390,6212,192390
61,220,192860,6212,192860
61,220,193080,6212,193080
61,220,194080,6212,194080
61,220,194890,6212,194890
61,220,195890,6212,195890
61,220,196700,6212,196700
61,220,196700,6212,196700
61,220,197170,6212,197170
61,220,198170,6212,198170
61,220,199170,6212,199170
62,228,199980,6212,199980
62,228,200980,6212,200980
62,228,201980,6212,201980
62,228,202450,6212,202450
62,228,203450,6212,203450
62,228,204260,6212,204260
62,228,205260,6212,205260
62,228,205730,6212,205730
62,228,205730,6212,205730
62,228,206540,6212,206540
63,236,207350,6212,207350
63,236,207350,6212,207350
63,236,208350,6212,208350
63,236,209350,6212,209350
63,236,209580,6212,209580
63,236,211580,6212,211580
63,236,211580,6212,211580
63,236,212390,6212,212390
63,236,212390,6212,212390
63,236,213390,6212,213390
63,236,214390,6212,214390
64,238,215200,6212,215200
64,238,216200,6212,216200
65,246,217200,6212,217200
65,246,218200,6212,218200
65,246,219010,6212,219010
65,246,219330,6212,219330
65,246,220140,6212,220140
65,246,221140,6212,221140
65,246,222140,6212,222140
65,246,222140,6212,222140
65,246,223140,6212,223140
65,246,223790,6212,223790
65,246,223790,6212,223790
66,254,224790,6212,224790
66,254,226790,6212,226790
66,254,227020,6212,227020
66,254,227490,6212,227490
67,256,228490,6212,228490
67,256,229300,6212,229300
67,256,230300,6212,230300
67,256,231300,6212,231300
67,256,232300,6212,232300
67,256,233110,6212,233110
67,256,233110,6212,233110
68,264,233920,6212,233920
68,264,234510,6212,234510
68,264,234830,6212,234830
68,264,235830,6212,235830
68,264,235830,6212,235830
68,264,235830,6212,235830
68,264,236300,6212,236300
68,264,237110,6212,237110
68,264,237110,6212,237110
68,264,238110,6212,238110
68,264,238340,6212,238340
68,264,239340,6212,239340
68,264,240340,6212,240340
68,264,241340,6212,241340
68,264,241340,6212,241340
69,272,241660,6212,241660
69,272,242130,6212,242130
69,272,243130,6212,243130
69,272,243130,6212,243130
69,272,243780,6212,243780
69,272,244590,6212,244590
70,280,252590,6212,252590
70,280,253590,6212,253590
71,288,254590,6212,254590
71,288,255590,6212,255590
71,288,256240,6212,256240
71,288,257240,6212,257240
71,288,257710,6212,257710
71,288,258710,6212,258710
71,288,259710,6212,259710
71,288,260710,6212,260710
72,290,261710,6212,261710
72,290,262710,6212,262710
72,290,262940,6212,262940
73,292,263940,6212,263940
73,292,264940,6212,264940
73,292,265750,6212,265750
73,292,266560,6212,266560
73,292,267030,6212,267030
74,300,268030,6212,268030
74,300,269030,6212,269030
74,300,270030,6212,270030
74,300,271030,6212,271030
74,300,271030,6212,271030
74,300,271580,6212,271580
74,300,272050,6212,272050
75,308,272700,6212,272700
75,308,272700,6212,272700
75,308,273700,6212,273700
75,308,274700,6212,274700
75,308,275510,6212,275510
75,308,275980,6212,275980
75,308,276980,6212,276980
75,308,277980,6212,277980
75,308,278980,6212,278980
75,308,279790,6212,279790
75,308,280790,6212,280790
76,316,288790,6212,288790
76,316,289600,6212,289600
76,316,290600,6212,290600
77,324,291150,6212,291150
77,324,292150,6212,292150
77,324,293150,6212,293150
77,324,293620,6212,293620
77,324,294620,6212,294620
77,324,295430,6212,295430
77,324,296080,6212,296080
77,324,297080,6212,297080
78,332,298080,6212,298080
78,332,299080,6212,299080
78,332,300080,6212,300080
78,332,301080,6212,301080
78,332,302080,6212,302080
78,332,303080,6212,303080
78,332,304080,6212,304080
78,332,304550,6212,304550
78,332,305550,6212,305550
78,332,305550,6212,305550
79,340,306550,6212,306550
79,340,306550,6212,306550
79,340,307550,6212,307550
79,340,308550,6212,308550
79,340,308550,6212,308550
79,340,309550,6212,309550
79,340,309780,6212,309780
79,340,310780,6212,310780
79,340,311780,6212,311780
79,340,311780,6212,311780
79,340,311780,6212,311780
79,340,312240,6212,312240
79,340,313240,6212,313240
80,348,314050,6212,314050
80,348,314050,6212,314050
80,348,315050,6212,315050
80,348,315270,6212,315270
80,348,316270,6212,316270
80,348,317080,6212,317080
80,348,318080,6212,318080
80,348,318540,6212,318540
80,348,319350,6212,319350
80,348,320160,6212,320160
80,348,320810,6212,320810
81,350,321810,6212,321810
81,350,322040,6212,322040
81,350,323040,6212,323040
82,352,324040,6212,324040
82,352,325040,6212,325040
83,354,326040,6212,326040
83,354,326510,6212,326510
84,356,326980,6212,326980
84,356,327980,6212,327980
85,358,328980,6212,328980
85,358,329980,6212,329980
86,362,330980,6212,330980
86,362,331300,6212,331300
86,362,332300,6212,332300
87,364,333110,6212,333110
87,364,333920,6212,333920
87,364,334920,6212,334920
87,364,335920,6212,335920
88,372,336920,6212,336920
88,372,337730,6212,337730
88,372,338540,6212,338540
88,372,339540,6212,339540
88,372,340010,6212,340010
88,372,341010,6212,341010
88,372,341010,6212,341010
88,372,341010,6212,341010
88,372,342010,6212,342010
88,372,342010,6212,342010
88,372,343010,6212,343010
88,372,343010,6212,343010
88,372,343820,6212,343820
89,374,344820,6212,344820
89,374,345050,6212,345050
89,374,346050,6212,346050
90,376,346860,6212,346860
90,376,347670,6212,347670
90,376,347670,6212,347670
91,384,348670,6212,348670
91,384,349020,6212,349020
91,384,350020,6212,350020
91,384,351020,6212,351020
91,384,351020,6212,351020
91,384,351340,6212,351340
91,384,352340,6212,352340
92,392,353340,6212,353340
92,392,353340,6212,353340
92,392,354340,6212,354340
92,392,355340,6212,355340
92,392,356150,6212,356150
92,392,357150,6212,357150
92,392,357150,6212,357150
92,392,358150,6212,358150
92,392,359150,6212,359150
92,392,360150,6212,360150
92,392,360620,6212,360620
92,392,361620,6212,361620
92,392,362620,6212,362620
92,392,363430,6212,363430
93,400,364240,6212,364240
93,400,365240,6212,365240
93,400,365240,6212,365240
93,400,365240,6212,365240
93,400,366240,6212,366240
93,400,366470,6212,366470
93,400,367470,6212,367470
93,400,368470,6212,368470
93,400,369280,6212,369280
93,400,369930,6212,369930
93,400,369930,6212,369930
93,400,370930,6212,370930
94,408,371930,6212,371930
94,408,372390,6212,372390
94,408,373200,6212,373200
94,408,374200,6212,374200
94,408,375200,6212,375200
94,408,376200,6212,376200
94,408,377200,6212,377200
94,408,378010,6212,378010
94,408,378010,6212,378010
95,416,379010,6212,379010
96,418,380010,6212,380010
96,418,381010,6212,381010
96,418,381480,6212,381480
96,418,382480,6212,382480
96,418,383480,6212,383480
96,418,383480,6212,383480
96,418,384480,6212,384480
96,418,385290,6212,385290
96,418,385520,6212,385520
96,418,386520,6212,386520
96,418,387520,6212,387520
96,418,388520,6212,388520
97,426,389520,6212,389520
97,426,389990,6212,389990
97,426,390990,6212,390990
97,426,391990,6212,391990
97,426,392990,6212,392990
97,426,393990,6212,393990
97,426,394800,6212,394800
97,426,395800,6212,395800
98,434,396800,6212,396800
98,434,397800,6212,397800
98,434,398030,6212,398030
98,434,398030,6212,398030
98,434,399030,6212,399030
98,434,399840,6212,399840
98,434,400840,6212,400840
98,434,401840,6212,401840
98,434,402160,6212,402160
98,434,403160,6212,403160
98,434,403160,6212,403160
98,434,404160,6212,404160
99,442,404970,6212,404970
99,442,405520,6212,405520
99,442,405520,6212,405520
99,442,405680,6212,405680
99,442,406000,6212,406000
99,442,406810,6212,406810
99,442,407280,6212,407280
99,442,408280,6212,408280
99,442,409090,6212,409090
99,442,409560,6212,409560
99,442,410020,6212,410020
99,442,411020,6212,411020
100,444,412020,6212,412020
100,444,413020,6212,413020
100,444,413240,6212,413240
100,444,413240,6212,413240
101,452,414240,6212,414240
102,460,422240,6212,422240
103,462,423240,6212,423240
103,462,424050,6212,424050
103,462,424050,6212,424050
103,462,425050,6212,425050
103,462,426050,6212,426050
103,462,426270,6212,426270
103,462,426920,6212,426920
103,462,427920,6212,427920
103,462,428920,6212,428920
104,470,429920,6212,429920
104,470,430570,6212,430570
104,470,431380,6212,431380
104,470,432380,6212,432380
104,470,433030,6212,433030
104,470,433500,6212,433500
104,470,433500,6212,433500
104,470,434310,6212,434310
104,470,434780,6212,434780
105,472,435250,6212,435250
105,472,435720,6212,435720
105,472,436190,6212,436190
105,472,437000,6212,437000
105,472,438000,6212,438000
105,472,438320,6212,438320
106,474,439320,6212,439320
106,474,440130,6212,440130
106,474,440600,6212,440600
106,474,441600,6212,441600
106,474,441920,6212,441920
107,476,442730,6212,442730
107,476,442890,6212,442890
107,476,443890,6212,443890
108,478,444540,6212,444540
108,478,444540,6212,444540
108,478,445540,6212,445540
109,480,446010,6212,446010
109,480,447010,6212,447010
109,480,447330,6212,447330
110,482,448330,6212,448330
110,482,449330,6212,449330
110,482,449700,6212,449700
111,490,450700,6212,450700
111,490,451700,6212,451700
111,490,452700,6212,452700
111,490,453700,6212,453700
112,494,454700,6212,454700
112,494,455700,6212,455700
112,494,456700,6212,456700
112,494,456700,6212,456700
112,494,456700,6212,456700
112,494,456930,6212,456930
113,496,457930,6212,457930
113,496,457930,6212,457930
113,496,458250,6212,458250
113,496,458720,6212,458720
113,496,459720,6212,459720
114,504,460720,6212,460720
114,504,461720,6212,461720
114,504,462530,6212,462530
114,504,463340,6212,463340
114,504,463820,6212,463820
114,504,464820,6212,464820
114,504,465820,6212,465820
114,504,466820,6212,466820
114,504,466820,6212,466820
114,504,467820,6212,467820
114,504,468820,6212,468820
114,504,469630,6212,469630
114,504,470630,6212,470630
115,506,471100,6212,471100
115,506,472100,6212,472100
116,514,472910,6212,472910
116,514,473720,6212,473720
116,514,474720,6212,474720
116,514,475720,6212,475720
116,514,476720,6212,476720
116,514,477530,6212,477530
116,514,477760,6212,477760
116,514,478760,6212,478760
116,514,478760,6212,478760
116,514,479760,6212,479760
116,514,479980,6212,479980
117,522,480450,6212,480450
117,522,481260,6212,481260
117,522,482260,6212,482260
117,522,483260,6212,483260
117,522,484260,6212,484260
117,522,485070,6212,485070
117,522,485660,6212,485660
117,522,486660,6212,486660
118,530,494660,6212,494660
119,538,495210,6212,495210
119,538,496020,6212,496020
119,538,496020,6212,496020
119,538,497020,6212,497020
119,538,498020,6212,498020
119,538,498020,6212,498020
119,538,499020,6212,499020
119,538,500020,6212,500020
119,538,500250,6212,500250
119,538,501250,6212,501250
119,538,501410,6212,501410
119,538,502410,6212,502410
120,546,503410,6212,503410
120,546,504410,6212,504410
120,546,504880,6212,504880
120,546,505350,6212,505350
120,546,505820,6212,505820
121,554,506820,6212,506820
121,554,507630,6212,507630
121,554,508630,6212,508630
121,554,509630,6212,509630
121,554,509950,6212,509950
121,554,510760,6212,510760
121,554,511080,6212,511080
121,554,511550,6212,511550
121,554,512360,6212,512360
121,554,512830,6212,512830
121,554,513830,6212,513830
121,554,514300,6212,514300
121,554,514300,6212,514300
121,554,514620,6212,514620
122,562,515620,6212,515620
122,562,516620,6212,516620
122,562,517430,6212,517430
122,562,518430,6212,518430
122,562,518900,6212,518900
122,562,519220,6212,519220
122,562,519690,6212,519690
122,562,520500,6212,520500
122,562,520970,6212,520970
122,562,521970,6212,521970
122,562,522970,6212,522970
122,562,523970,6212,523970
122,562,523970,6212,523970
122,562,524620,6212,524620
123,570,525620,6212,525620
123,570,526430,6212,526430
123,570,526430,6212,526430
123,570,527240,6212,527240
123,570,528240,6212,528240
123,570,529240,6212,529240
123,570,529710,6212,529710
123,570,529710,6212,529710
123,570,529710,6212,529710
123,570,530710,6212,530710
123,570,531710,6212,531710
123,570,532710,6212,532710
124,578,533710,6212,533710
124,578,534710,6212,534710
125,580,535030,6212,535030
125,580,536030,6212,536030
125,580,537030,6212,537030
125,580,537030,6212,537030
125,580,537030,6212,537030
125,580,538030,6212,538030
125,580,539030,6212,539030
125,580,539500,6212,539500
126,588,540500,6212,540500
126,588,540500,6212,540500
126,588,541150,6212,541150
126,588,542150,6212,542150
