ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,18,2810,6212,2810
5,19,3810,6212,3810
6,20,4620,6212,4620
7,21,5090,6212,5090
7,21,5740,6212,5740
8,22,6550,6212,6550
8,22,6780,6212,6780
9,23,7590,6212,7590
9,23,8590,6212,8590
9,23,9060,6212,9060
9,23,9520,6212,9520
9,23,9520,6212,9520
10,31,10520,6212,10520
11,32,10980,6212,10980
12,33,11440,6212,11440
13,34,12440,6212,12440
13,34,13440,6212,13440
13,34,13440,6212,13440
14,36,13910,6212,13910
15,44,13910,6212,13910
15,44,14720,6212,14720
15,44,14880,6212,14880
15,44,14880,6212,14880
16,45,15880,6212,15880
16,45,16880,6212,16880
17,46,17690,6212,17690
17,46,18690,6212,18690
17,46,18800,6212,18800
18,54,19800,6212,19800
18,54,19800,6212,19800
18,54,20270,6212,20270
18,54,21270,6212,21270
18,54,22270,6212,22270
18,54,23270,6212,23270
19,62,24270,6212,24270
19,62,25270,6212,25270
19,62,25740,6212,25740
19,62,25740,6212,25740
19,62,26740,6212,26740
19,62,26740,6212,26740
19,62,27740,6212,27740
19,62,28060,6212,28060
20,70,29060,6212,29060
20,70,29060,6212,29060
21,71,29380,6212,29380
22,72,30380,6212,30380
23,73,31190,6212,31190
23,73,31190,6212,31190
24,74,31560,6212,31560
24,74,32560,6212,32560
24,74,33560,6212,33560
25,75,34560,6212,34560
26,76,34880,6212,34880
26,76,35880,6212,35880
26,76,36880,6212,36880
27,77,37880,6212,37880
28,78,38690,6212,38690
29,79,39690,6212,39690
30,80,40690,6212,40690
30,80,41010,6212,41010
31,82,42010,6212,42010
32,83,43010,6212,43010
32,83,44010,6212,44010
32,83,45010,6212,45010
32,83,45010,6212,45010
