ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1179977.54,19.0,0.41,219985.21,3.54
1404793.51,22.62,0.36,196696.97,3.17
1404551.4,22.62,0.36,196566.6,3.17
1404319.82,22.62,0.36,196566.2,3.17
1404077.72,22.62,0.36,196435.84,3.16
1403650.18,22.61,0.35,196053.91,3.16
1403562.63,22.61,0.35,195876.54,3.16
1403663.68,22.62,0.36,195875.21,3.16
1403236.14,22.61,0.35,195357.84,3.15
1403027.02,22.61,0.35,195357.84,3.15
1402599.47,22.61,0.35,194840.47,3.14
1402371.4,22.61,0.35,194941.55,3.14
1402585.93,22.61,0.35,194891.23,3.14
1402213.33,22.61,0.35,194840.47,3.14
1402213.33,22.61,0.35,196080.67,3.16
1401985.26,22.61,0.35,196080.46,3.16
1401907.72,22.61,0.35,195913.09,3.16
1401830.18,22.61,0.35,195745.72,3.16
1401212.63,22.6,0.34,195038.35,3.15
1400984.56,22.6,0.34,195038.35,3.15
1400984.56,22.6,0.34,195720.08,3.16
1401240.98,22.61,0.35,195776.28,3.16
1401240.98,22.61,0.35,195776.6,3.16
1401241.51,22.61,0.35,196087.73,3.16
1401081.51,22.61,0.35,196076.15,3.16
1401081.51,22.61,0.35,196076.95,3.16
1400463.96,22.6,0.34,195369.58,3.15
1400235.89,22.6,0.34,195397.01,3.15
1399808.35,22.6,0.34,194879.64,3.15
1399580.28,22.6,0.34,196184.88,3.17
1399470.28,22.6,0.34,196074.88,3.17
1399242.21,22.6,0.34,196074.68,3.17
1399242.21,22.6,0.34,196074.74,3.17
1398863.33,22.59,0.33,195703.9,3.16
1398635.26,22.59,0.33,195703.82,3.16
1398407.19,22.59,0.33,196028.84,3.17
1398179.12,22.59,0.33,196014.16,3.17
1397951.05,22.59,0.33,196013.97,3.17
1397722.98,22.59,0.33,196013.95,3.17
1397937.51,22.6,0.34,196013.95,3.17
1397937.51,22.6,0.34,196013.95,3.17
1397709.44,22.6,0.34,196520.38,3.18
1397709.44,22.6,0.34,196520.38,3.18
1397502.42,22.6,0.34,196334.96,3.17
1397280.35,22.6,0.34,196171.63,3.17
1397052.28,22.6,0.34,196171.42,3.17
1397052.28,22.6,0.34,196171.42,3.17
1397114.74,22.6,0.34,196144.05,3.17
1396497.19,22.59,0.33,195436.68,3.16
1396069.65,22.59,0.33,195054.75,3.16
1396069.65,22.59,0.33,195054.75,3.16
1396082.11,22.59,0.33,194977.38,3.15
1395854.04,22.59,0.33,194977.38,3.16
1395625.96,22.59,0.33,195041.81,3.16
1395008.42,22.58,0.32,194334.44,3.15
1395037.47,22.58,0.32,194273.66,3.15
1394809.4,22.58,0.32,194233.03,3.14
1394602.39,22.58,0.33,194230.29,3.15
1393984.84,22.58,0.32,193522.92,3.13
1393557.3,22.57,0.32,193140.99,3.13
1392939.75,22.57,0.31,192433.63,3.12
1392322.21,22.56,0.3,191726.26,3.11
1392035.61,22.56,0.3,191439.66,3.1
1391853.16,22.56,0.3,191345.87,3.1
1391235.61,22.55,0.29,190638.5,3.09
1391007.54,22.55,0.29,191019.37,3.1
1390797.02,22.55,0.29,190880.1,3.1
1390797.02,22.55,0.29,191001.28,3.1
1390530.35,22.55,0.29,190738.63,3.09
1390298.77,22.55,0.29,190722.16,3.09
1390211.23,22.55,0.29,190544.79,3.09
1389878.42,22.55,0.29,189987.33,3.08
1389639.82,22.55,0.29,189890.75,3.08
1389408.25,22.55,0.29,189788.22,3.08
1388885.96,22.54,0.29,189349.83,3.07
1388885.96,22.54,0.29,189307.87,3.07
1388647.37,22.54,0.29,189297.34,3.07
1388415.79,22.54,0.29,189297.34,3.07
1388082.98,22.54,0.28,188739.88,3.06
1387170.7,22.54,0.28,188743.51,3.07
1387170.7,22.54,0.28,188663.52,3.07
1386648.42,22.54,0.28,188225.14,3.06
1386648.42,22.54,0.28,188145.98,3.06
1386606.84,22.54,0.28,188938.89,3.07
1386417.37,22.54,0.28,188928.36,3.07
1386157.72,22.54,0.28,188329.84,3.06
1386157.72,22.54,0.28,188317.94,3.06
1386060.0,22.54,0.28,188132.23,3.06
1385828.42,22.54,0.28,188184.92,3.06
1385586.32,22.54,0.28,187528.79,3.05
1385344.21,22.54,0.28,187634.34,3.05
1385112.63,22.54,0.28,187630.18,3.05
1385220.7,22.54,0.29,187605.15,3.05
1385158.07,22.54,0.29,187166.33,3.05
1384863.33,22.54,0.29,186820.92,3.04
1384628.25,22.54,0.29,187278.4,3.05
1384884.67,22.55,0.29,187642.25,3.06
1384592.56,22.55,0.29,187328.32,3.05
1384592.56,22.55,0.29,187328.32,3.05
1384593.09,22.55,0.29,187548.54,3.05
1384530.46,22.55,0.29,187109.71,3.05
1384654.14,22.55,0.3,187192.9,3.05
1384605.54,22.56,0.3,187085.77,3.05
1384605.54,22.56,0.3,186987.88,3.05
1384605.54,22.56,0.3,187132.82,3.05
1384423.09,22.56,0.3,187039.03,3.05
1384184.49,22.56,0.3,187199.1,3.05
1383977.47,22.56,0.3,187324.89,3.05
1383932.39,22.56,0.3,187253.15,3.05
1383700.81,22.56,0.3,187207.78,3.05
1383321.93,22.55,0.3,186812.64,3.05
1383083.33,22.55,0.3,186990.11,3.05
1382855.26,22.55,0.3,186989.92,3.05
1382810.18,22.56,0.3,186990.02,3.05
1382582.11,22.56,0.3,186990.0,3.05
1382354.04,22.56,0.3,187103.42,3.05
1382125.96,22.56,0.3,187034.42,3.05
1382125.96,22.56,0.3,187034.42,3.05
1382125.96,22.56,0.3,187034.42,3.05
1382125.96,22.56,0.3,187034.42,3.05
1382125.96,22.56,0.3,187034.42,3.05
1381918.95,22.56,0.3,187012.58,3.05
1381666.32,22.56,0.3,186285.0,3.04
1381371.58,22.56,0.3,186038.35,3.04
1381326.49,22.56,0.3,186391.02,3.04
1381326.49,22.56,0.3,186391.02,3.04
1381326.49,22.56,0.3,186390.25,3.04
1381094.91,22.56,0.3,186305.63,3.04
1381094.91,22.56,0.3,186427.77,3.04
1381094.91,22.56,0.3,186385.32,3.04
1381094.91,22.56,0.3,186305.63,3.04
1381185.44,22.56,0.31,186471.63,3.05
1381140.35,22.56,0.31,186471.47,3.05
1381140.35,22.56,0.31,186471.47,3.05
1380912.28,22.56,0.31,186471.26,3.05
1380684.21,22.56,0.31,186471.26,3.05
1380895.23,22.57,0.31,186522.49,3.05
1380667.16,22.57,0.31,186605.29,3.05
1380439.09,22.57,0.31,186567.5,3.05
1380394.0,22.57,0.32,186588.25,3.05
1380186.98,22.57,0.32,186572.54,3.05
1379965.93,22.57,0.32,187170.15,3.06
1379965.93,22.57,0.32,187170.15,3.06
1380059.96,22.58,0.32,187169.47,3.06
1379835.4,22.58,0.32,187176.91,3.06
1379835.4,22.58,0.32,187176.91,3.06
1379904.88,22.58,0.32,186896.39,3.06
1379522.28,22.57,0.32,186743.27,3.06
1379234.56,22.57,0.32,186378.69,3.05
1379235.09,22.58,0.32,186558.16,3.05
1379182.98,22.58,0.32,186315.94,3.05
1378940.88,22.58,0.32,186121.24,3.05
1378892.28,22.58,0.33,186604.2,3.06
1378657.19,22.58,0.33,186803.36,3.06
1378857.68,22.59,0.33,187169.8,3.07
1378605.05,22.58,0.33,186458.48,3.05
1378310.32,22.58,0.33,186195.57,3.05
1378265.23,22.59,0.33,186195.68,3.05
1378030.14,22.59,0.33,186195.52,3.05
1377741.72,22.58,0.33,185896.92,3.05
1377932.07,22.59,0.33,184991.23,3.03
1377696.98,22.59,0.33,185009.11,3.03
1377461.89,22.59,0.33,185015.63,3.03
1377089.3,22.58,0.33,185077.12,3.04
1376836.67,22.58,0.33,184365.8,3.02
1376731.93,22.58,0.33,184292.89,3.02
1376493.33,22.58,0.33,184341.73,3.02
1376268.77,22.58,0.33,184339.72,3.02
1375969.65,22.58,0.33,184103.08,3.02
1375731.05,22.58,0.33,184255.99,3.02
1375431.93,22.58,0.32,183978.43,3.02
1375196.84,22.58,0.32,183999.66,3.02
1374908.42,22.57,0.32,185366.42,3.04
1374908.42,22.57,0.32,185366.42,3.04
1374666.32,22.57,0.32,185359.89,3.04
1374666.32,22.57,0.32,185359.89,3.04
1374483.86,22.57,0.32,185265.33,3.04
1374255.79,22.57,0.32,185265.12,3.04
1374214.21,22.57,0.32,185372.03,3.05
1373986.14,22.57,0.32,185372.03,3.05
1373986.14,22.57,0.32,185372.03,3.05
1373758.07,22.57,0.32,185372.03,3.05
1373972.6,22.58,0.33,185645.66,3.05
1373924.0,22.58,0.33,185805.69,3.05
1373716.98,22.58,0.33,185564.19,3.05
1373818.04,22.59,0.33,186632.51,3.07
1373818.04,22.59,0.33,186632.51,3.07
1373818.04,22.59,0.33,186632.51,3.07
1373615.93,22.58,0.33,186035.49,3.06
1373316.81,22.58,0.33,185736.36,3.05
1373133.33,22.58,0.33,185429.15,3.05
1373077.72,22.58,0.33,186115.23,3.06
1372849.65,22.58,0.33,186115.02,3.06
1372751.93,22.58,0.33,185942.73,3.06
1372751.93,22.58,0.33,185942.73,3.06
1372751.93,22.58,0.33,185942.73,3.06
1372523.86,22.58,0.33,185942.73,3.06
1372478.77,22.58,0.33,185942.68,3.06
1372478.77,22.58,0.33,185942.68,3.06
1372478.77,22.58,0.33,185942.68,3.06
1372433.68,22.59,0.34,185942.68,3.06
1372752.0,22.59,0.34,186037.85,3.06
1372499.37,22.59,0.34,185326.53,3.05
1372271.3,22.59,0.34,185241.27,3.05
1371976.56,22.59,0.34,184978.36,3.05
1372116.21,22.6,0.35,185286.6,3.05
1371909.19,22.6,0.35,186268.46,3.07
1371916.74,22.6,0.35,186381.28,3.07
1371916.74,22.6,0.35,186381.28,3.07
1371695.68,22.6,0.35,185980.12,3.06
1371467.61,22.6,0.35,185979.91,3.06
1371278.14,22.6,0.35,185952.0,3.06
1371233.05,22.6,0.35,185972.75,3.07
1371089.47,22.6,0.35,186802.72,3.08
1371304.0,22.61,0.36,186802.72,3.08
1371075.93,22.61,0.36,186862.04,3.08
1370693.33,22.6,0.35,186822.23,3.08
1370465.26,22.6,0.35,186820.13,3.08
1370258.25,22.6,0.35,187423.79,3.09
1370472.77,22.61,0.36,187224.08,3.09
1370244.7,22.61,0.36,187223.88,3.09
1370199.61,22.61,0.36,186902.45,3.08
1370147.51,22.61,0.36,187696.25,3.1
1369894.88,22.61,0.36,186984.94,3.09
1369894.88,22.61,0.36,186935.12,3.09
1369600.14,22.61,0.36,186672.2,3.08
1369217.54,22.61,0.36,186278.48,3.08
1368989.47,22.61,0.36,186278.46,3.08
1369204.0,22.61,0.36,186327.24,3.08
1368921.4,22.61,0.36,186278.58,3.08
1368693.33,22.61,0.36,186278.46,3.08
1368648.25,22.61,0.36,186291.46,3.08
1368603.16,22.61,0.36,186291.56,3.08
1368867.86,22.62,0.37,186283.5,3.08
1368822.77,22.62,0.37,186283.34,3.08
1368923.82,22.62,0.37,186283.13,3.08
1368714.7,22.62,0.37,186134.18,3.08
1368714.7,22.62,0.37,186134.18,3.08
1368714.7,22.62,0.37,186134.18,3.08
1368714.7,22.62,0.37,186134.18,3.08
1368507.68,22.62,0.37,186478.11,3.08
1368462.6,22.62,0.37,186350.68,3.08
1367550.32,22.62,0.37,186354.32,3.08
1367322.25,22.62,0.38,186719.96,3.09
1367094.18,22.62,0.38,186847.58,3.09
1366852.07,22.62,0.37,186615.44,3.09
1366599.44,22.62,0.37,185887.86,3.08
1366371.37,22.62,0.37,185998.55,3.08
1365994.21,22.62,0.37,186083.58,3.08
1365804.74,22.62,0.37,185971.53,3.08
1365597.72,22.62,0.37,186144.01,3.08
1365805.23,22.63,0.38,186133.34,3.08
1365622.77,22.63,0.38,186122.87,3.08
1365328.04,22.63,0.37,185876.22,3.08
1365286.46,22.63,0.38,185728.67,3.08
1365047.86,22.63,0.38,186354.22,3.09
1364665.26,22.62,0.37,185960.56,3.08
1364475.79,22.62,0.37,185865.94,3.08
1364247.72,22.62,0.37,185865.75,3.08
1364019.65,22.62,0.37,185865.73,3.08
1363791.58,22.62,0.37,185865.73,3.08
1363563.51,22.62,0.37,185641.66,3.08
1363786.39,22.63,0.38,185764.67,3.08
1363533.75,22.63,0.38,185053.35,3.07
1363533.75,22.63,0.38,185053.35,3.07
1363239.02,22.63,0.38,184790.43,3.07
1363032.0,22.63,0.38,184775.28,3.07
1362796.91,22.63,0.38,184725.55,3.07
1362539.89,22.62,0.37,186545.99,3.1
1362498.32,22.63,0.38,186572.85,3.1
1362449.72,22.63,0.38,187319.58,3.11
1362640.07,22.63,0.38,186227.18,3.09
1362259.12,22.63,0.38,185845.47,3.09
1362259.12,22.63,0.38,185845.47,3.09
1362134.39,22.63,0.38,187180.71,3.11
1362348.91,22.63,0.38,187180.49,3.11
1362223.65,22.63,0.38,187304.01,3.11
1361971.02,22.63,0.38,186592.69,3.1
1361866.28,22.63,0.38,186519.78,3.1
1361638.21,22.63,0.38,186519.78,3.1
1361593.12,22.64,0.39,186519.78,3.1
1361593.12,22.64,0.39,186519.78,3.1
1361210.53,22.63,0.38,186590.76,3.1
1360982.46,22.63,0.38,186587.17,3.1
1360754.39,22.63,0.38,186519.78,3.1
1360709.3,22.63,0.38,186519.78,3.1
1360477.72,22.63,0.38,186519.38,3.1
1360270.7,22.63,0.38,186818.37,3.11
1360492.25,22.64,0.39,186949.13,3.11
1360264.18,22.64,0.39,186948.94,3.11
1360222.6,22.64,0.39,186948.94,3.11
1360040.14,22.64,0.39,186854.37,3.11
1359769.82,22.64,0.39,186591.34,3.11
1359769.82,22.64,0.39,186591.34,3.11
1359770.35,22.64,0.39,186770.81,3.11
1359728.77,22.64,0.4,186770.81,3.11
1359728.77,22.64,0.4,186770.81,3.11
1359500.7,22.64,0.4,186770.79,3.11
1359272.63,22.64,0.4,186770.79,3.11
1359609.47,22.65,0.4,186647.44,3.11
1359153.33,22.65,0.4,186647.23,3.11
1165591.37,19.43,0.59,289792.31,4.83
1165288.81,19.42,0.59,289149.49,4.82
1165288.81,19.42,0.59,289151.66,4.82
1164581.37,19.41,0.58,288382.19,4.81
1164377.86,19.41,0.58,288320.58,4.81
1164366.53,19.42,0.58,287729.87,4.8
1164145.47,19.42,0.58,287671.5,4.8
1163924.42,19.42,0.58,288103.26,4.81
1163706.88,19.42,0.58,287916.26,4.8
1163695.54,19.42,0.58,287611.79,4.8
1164044.32,19.42,0.59,287373.25,4.8
1164032.98,19.43,0.59,286776.43,4.79
1163857.54,19.43,0.59,286667.31,4.79
1163632.98,19.43,0.59,287102.32,4.79
1163632.98,19.43,0.59,286749.19,4.79
1163411.93,19.43,0.59,286696.51,4.79
1163525.61,19.43,0.6,286713.97,4.79
1163525.61,19.43,0.6,286713.97,4.79
1163304.56,19.43,0.6,286667.86,4.79
1162862.46,19.43,0.6,287387.71,4.8
1162658.25,19.43,0.59,287473.67,4.8
1162500.46,19.43,0.59,289325.68,4.83
1162296.95,19.43,0.59,289277.02,4.83
1162285.61,19.43,0.6,288951.78,4.83
1162082.11,19.43,0.6,289206.72,4.83
1161878.6,19.43,0.6,289045.69,4.83
1161675.09,19.43,0.6,288945.07,4.83
1161656.74,19.43,0.6,288521.85,4.83
1161656.74,19.43,0.6,288516.08,4.83
1161540.14,19.43,0.6,288358.82,4.82
1160950.14,19.42,0.59,287768.82,4.81
1161298.91,19.43,0.6,287389.77,4.81
1161095.4,19.43,0.6,286723.16,4.8
1161095.4,19.43,0.6,286723.16,4.8
1161095.4,19.43,0.6,286723.16,4.8
1160786.74,19.43,0.59,286579.78,4.8
1160775.4,19.43,0.6,286501.6,4.8
1160775.4,19.43,0.6,286501.6,4.8
1160592.95,19.43,0.6,286487.57,4.8
1160991.4,19.44,0.6,286844.74,4.8
1160787.89,19.44,0.6,287807.95,4.82
1160584.39,19.43,0.6,287741.38,4.82
1160384.39,19.43,0.6,287701.2,4.82
1160384.39,19.43,0.6,287701.2,4.82
1160185.23,19.43,0.6,287650.09,4.82
1160426.18,19.44,0.61,287541.44,4.82
1160222.67,19.44,0.61,287469.14,4.82
1160222.67,19.44,0.61,287469.14,4.82
1160336.35,19.44,0.61,287486.6,4.82
1160325.02,19.44,0.61,287443.42,4.82
1158640.81,19.44,0.61,287295.74,4.82
1158437.3,19.44,0.61,287311.85,4.82
1158233.79,19.44,0.61,287214.36,4.82
1158016.25,19.44,0.61,287390.79,4.82
1158129.93,19.45,0.62,287408.25,4.83
1157954.49,19.45,0.62,287299.13,4.82
1157591.09,19.44,0.61,287961.14,4.84
1157387.58,19.44,0.61,287706.85,4.83
1157184.07,19.44,0.61,287597.36,4.83
1156980.56,19.44,0.61,287502.68,4.83
1156777.05,19.44,0.61,287370.14,4.83
1156559.51,19.44,0.61,287547.3,4.83
1156355.3,19.44,0.61,287343.79,4.83
1156144.77,19.44,0.61,287235.25,4.83
1155941.26,19.44,0.61,286568.64,4.82
1155933.44,19.44,0.61,287203.03,4.83
1155918.6,19.44,0.62,287296.33,4.83
1156143.65,19.45,0.62,287725.82,4.84
1155940.14,19.45,0.62,287545.91,4.84
1155736.63,19.45,0.62,287461.92,4.84
1155533.12,19.45,0.62,289990.87,4.88
1155329.61,19.45,0.62,289839.93,4.88
1155329.61,19.45,0.62,289839.93,4.88
1155564.0,19.45,0.63,290243.26,4.89
1155181.4,19.45,0.62,289852.69,4.88
1155295.09,19.45,0.63,289870.15,4.88
1155295.09,19.45,0.63,289870.15,4.88
1155091.58,19.45,0.63,289774.37,4.88
1154888.07,19.45,0.63,292300.88,4.92
1154876.74,19.45,0.63,292216.52,4.92
1155117.68,19.46,0.63,295102.44,4.97
1154914.18,19.46,0.63,294974.78,4.97
1154710.67,19.46,0.63,294720.49,4.97
1154507.16,19.46,0.63,294641.16,4.97
1154495.82,19.46,0.64,294592.68,4.97
