ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
51,166,131110,6212,131110
51,166,131920,6212,131920
51,166,132920,6212,132920
51,166,132920,6212,132920
51,166,133150,6212,133150
51,166,133150,6212,133150
51,166,133380,6212,133380
52,168,133610,6212,133610
52,168,134420,6212,134420
53,170,135230,6212,135230
53,170,135700,6212,135700
54,178,136160,6212,136160
54,178,137160,6212,137160
54,178,137970,6212,137970
54,178,138440,6212,138440
54,178,139250,6212,139250
54,178,139410,6212,139410
54,178,140220,6212,140220
54,178,141030,6212,141030
54,178,141680,6212,141680
54,178,142150,6212,142150
54,178,142610,6212,142610
54,178,143080,6212,143080
54,178,143080,6212,143080
55,186,143890,6212,143890
55,186,144890,6212,144890
55,186,145360,6212,145360
55,186,146170,6212,146170
55,186,146760,6212,146760
55,186,147220,6212,147220
55,186,148030,6212,148030
55,186,148500,6212,148500
55,186,148970,6212,148970
55,186,149620,6212,149620
56,194,150430,6212,150430
56,194,151430,6212,151430
56,194,152240,6212,152240
56,194,152240,6212,152240
56,194,153240,6212,153240
56,194,153240,6212,153240
56,194,153240,6212,153240
56,194,154240,6212,154240
56,194,155050,6212,155050
56,194,155860,6212,155860
56,194,156860,6212,156860
57,198,157670,6212,157670
57,198,158670,6212,158670
57,198,159480,6212,159480
57,198,160290,6212,160290
58,200,161290,6212,161290
58,200,162100,6212,162100
58,200,162420,6212,162420
59,204,163230,6212,163230
59,204,163230,6212,163230
59,204,164040,6212,164040
59,204,164360,6212,164360
59,204,165360,6212,165360
59,204,166170,6212,166170
59,204,166640,6212,166640
60,212,167290,6212,167290
60,212,167510,6212,167510
60,212,168320,6212,168320
60,212,168320,6212,168320
60,212,168320,6212,168320
60,212,169320,6212,169320
60,212,169590,6212,169590
60,212,170400,6212,170400
60,212,170400,6212,170400
60,212,171050,6212,171050
60,212,171370,6212,171370
60,212,171840,6212,171840
60,212,172650,6212,172650
60,212,173460,6212,173460
60,212,173780,6212,173780
60,212,173780,6212,173780
61,214,174780,6212,174780
61,214,175430,6212,175430
61,214,175900,6212,175900
62,222,176710,6212,176710
62,222,177520,6212,177520
62,222,177840,6212,177840
62,222,178160,6212,178160
62,222,179160,6212,179160
62,222,179620,6212,179620
62,222,179940,6212,179940
62,222,180410,6212,180410
62,222,181220,6212,181220
62,222,182220,6212,182220
62,222,183220,6212,183220
63,224,184030,6212,184030
63,224,185030,6212,185030
64,226,185840,6212,185840
64,226,186650,6212,186650
65,234,187650,6212,187650
65,234,187650,6212,187650
65,234,187650,6212,187650
65,234,188120,6212,188120
65,234,188590,6212,188590
65,234,189240,6212,189240
65,234,190050,6212,190050
65,234,190860,6212,190860
65,234,191670,6212,191670
65,234,191670,6212,191670
65,234,191830,6212,191830
65,234,191830,6212,191830
65,234,192300,6212,192300
65,234,193300,6212,193300
65,234,194300,6212,194300
65,234,194530,6212,194530
66,236,195340,6212,195340
66,236,195710,6212,195710
66,236,195710,6212,195710
66,236,195710,6212,195710
67,238,196520,6212,196520
67,238,197520,6212,197520
68,246,198330,6212,198330
68,246,199140,6212,199140
68,246,199950,6212,199950
68,246,200950,6212,200950
68,246,201420,6212,201420
68,246,202420,6212,202420
68,246,202420,6212,202420
68,246,202740,6212,202740
68,246,202740,6212,202740
68,246,202970,6212,202970
68,246,203190,6212,203190
68,246,203350,6212,203350
68,246,204350,6212,204350
68,246,204670,6212,204670
68,246,204670,6212,204670
68,246,204670,6212,204670
68,246,205480,6212,205480
69,250,206030,6212,206030
70,258,206500,6212,206500
70,258,207050,6212,207050
70,258,207600,6212,207600
70,258,208410,6212,208410
71,260,209220,6212,209220
71,260,210030,6212,210030
71,260,211030,6212,211030
71,260,211840,6212,211840
71,260,212490,6212,212490
71,260,213080,6212,213080
71,260,213080,6212,213080
71,260,213890,6212,213890
71,260,214350,6212,214350
71,260,215160,6212,215160
71,260,215160,6212,215160
71,260,215970,6212,215970
72,268,216620,6212,216620
72,268,216940,6212,216940
72,268,217170,6212,217170
72,268,217720,6212,217720
72,268,217880,6212,217880
72,268,218340,6212,218340
72,268,218820,6212,218820
72,268,219820,6212,219820
72,268,219820,6212,219820
72,268,220050,6212,220050
72,268,220050,6212,220050
72,268,220520,6212,220520
72,268,221330,6212,221330
72,268,222140,6212,222140
72,268,222610,6212,222610
72,268,222610,6212,222610
72,268,223070,6212,223070
72,268,223540,6212,223540
72,268,223860,6212,223860
73,276,224330,6212,224330
73,276,224980,6212,224980
73,276,225980,6212,225980
73,276,226980,6212,226980
73,276,227630,6212,227630
73,276,228100,6212,228100
73,276,228560,6212,228560
74,284,229210,6212,229210
74,284,229680,6212,229680
74,284,230490,6212,230490
74,284,231490,6212,231490
74,284,232140,6212,232140
74,284,232610,6212,232610
74,284,232610,6212,232610
74,284,233610,6212,233610
74,284,233930,6212,233930
74,284,234410,6212,234410
74,284,235220,6212,235220
74,284,236030,6212,236030
74,284,236500,6212,236500
74,284,236500,6212,236500
74,284,236500,6212,236500
74,284,237310,6212,237310
74,284,237780,6212,237780
74,284,237780,6212,237780
74,284,237940,6212,237940
75,286,238750,6212,238750
75,286,239400,6212,239400
76,294,240400,6212,240400
76,294,241400,6212,241400
76,294,241870,6212,241870
76,294,242340,6212,242340
76,294,242340,6212,242340
76,294,243150,6212,243150
76,294,243960,6212,243960
76,294,243960,6212,243960
76,294,244960,6212,244960
76,294,245770,6212,245770
76,294,245990,6212,245990
76,294,246460,6212,246460
77,296,247270,6212,247270
77,296,247500,6212,247500
77,296,247970,6212,247970
78,298,248970,6212,248970
78,298,249130,6212,249130
78,298,250130,6212,250130
78,298,250780,6212,250780
79,302,251590,6212,251590
79,302,252140,6212,252140
79,302,252950,6212,252950
79,302,253420,6212,253420
79,302,253420,6212,253420
80,304,254230,6212,254230
80,304,255230,6212,255230
80,304,255690,6212,255690
81,312,256150,6212,256150
81,312,256150,6212,256150
81,312,256620,6212,256620
81,312,257620,6212,257620
81,312,257620,6212,257620
81,312,258430,6212,258430
81,312,259240,6212,259240
81,312,259890,6212,259890
81,312,260890,6212,260890
81,312,261890,6212,261890
81,312,262360,6212,262360
82,320,263170,6212,263170
82,320,263980,6212,263980
82,320,264450,6212,264450
82,320,264920,6212,264920
82,320,265920,6212,265920
82,320,266250,6212,266250
82,320,267250,6212,267250
82,320,268250,6212,268250
82,320,269250,6212,269250
82,320,270250,6212,270250
83,328,271060,6212,271060
83,328,271060,6212,271060
83,328,271710,6212,271710
83,328,272360,6212,272360
83,328,272360,6212,272360
83,328,272950,6212,272950
83,328,273110,6212,273110
83,328,273430,6212,273430
83,328,274430,6212,274430
83,328,275430,6212,275430
83,328,276240,6212,276240
83,328,276710,6212,276710
83,328,277520,6212,277520
84,330,278520,6212,278520
84,330,279330,6212,279330
85,332,279800,6212,279800
85,332,279800,6212,279800
85,332,280610,6212,280610
85,332,280610,6212,280610
85,332,281080,6212,281080
86,334,281730,6212,281730
86,334,281780,6212,281780
86,334,281780,6212,281780
86,334,282250,6212,282250
86,334,282360,6212,282360
86,334,282360,6212,282360
87,336,283360,6212,283360
87,336,283680,6212,283680
87,336,284490,6212,284490
87,336,284950,6212,284950
88,344,285760,6212,285760
88,344,285760,6212,285760
88,344,285990,6212,285990
88,344,285990,6212,285990
88,344,286990,6212,286990
88,344,287460,6212,287460
88,344,287930,6212,287930
88,344,288740,6212,288740
88,344,289330,6212,289330
88,344,289800,6212,289800
88,344,290800,6212,290800
88,344,291030,6212,291030
88,344,291350,6212,291350
88,344,292350,6212,292350
89,352,293350,6212,293350
89,352,294350,6212,294350
89,352,295160,6212,295160
89,352,295160,6212,295160
89,352,296160,6212,296160
89,352,296630,6212,296630
89,352,296950,6212,296950
89,352,297950,6212,297950
89,352,298270,6212,298270
89,352,298820,6212,298820
89,352,298820,6212,298820
89,352,299290,6212,299290
89,352,299520,6212,299520
89,352,299990,6212,299990
89,352,299990,6212,299990
89,352,300800,6212,300800
89,352,300800,6212,300800
89,352,301030,6212,301030
90,354,301500,6212,301500
90,354,301970,6212,301970
90,354,302780,6212,302780
91,356,303780,6212,303780
91,356,304590,6212,304590
92,364,305400,6212,305400
92,364,305400,6212,305400
92,364,305400,6212,305400
92,364,305630,6212,305630
92,364,306630,6212,306630
92,364,307630,6212,307630
92,364,308100,6212,308100
92,364,308570,6212,308570
92,364,309570,6212,309570
92,364,310570,6212,310570
92,364,311570,6212,311570
93,372,312040,6212,312040
93,372,312510,6212,312510
93,372,312510,6212,312510
93,372,313320,6212,313320
93,372,314320,6212,314320
93,372,315130,6212,315130
93,372,316130,6212,316130
93,372,316780,6212,316780
93,372,317250,6212,317250
93,372,317480,6212,317480
93,372,317800,6212,317800
93,372,318120,6212,318120
93,372,318930,6212,318930
94,380,319740,6212,319740
94,380,320210,6212,320210
94,380,320760,6212,320760
94,380,321760,6212,321760
94,380,322410,6212,322410
94,380,322410,6212,322410
94,380,323410,6212,323410
94,380,324410,6212,324410
94,380,325410,6212,325410
94,380,325730,6212,325730
94,380,326280,6212,326280
94,380,326280,6212,326280
95,382,327090,6212,327090
95,382,327410,6212,327410
95,382,327880,6212,327880
95,382,328350,6212,328350
96,384,329000,6212,329000
96,384,330000,6212,330000
97,392,331000,6212,331000
97,392,332000,6212,332000
97,392,332590,6212,332590
97,392,333240,6212,333240
97,392,333710,6212,333710
97,392,334710,6212,334710
97,392,335030,6212,335030
97,392,335030,6212,335030
97,392,336030,6212,336030
97,392,336030,6212,336030
97,392,336030,6212,336030
97,392,337030,6212,337030
98,400,338030,6212,338030
98,400,339030,6212,339030
98,400,339030,6212,339030
98,400,339840,6212,339840
98,400,340650,6212,340650
98,400,341650,6212,341650
98,400,342120,6212,342120
98,400,342930,6212,342930
98,400,343150,6212,343150
98,400,343800,6212,343800
98,400,343800,6212,343800
98,400,344800,6212,344800
98,400,345130,6212,345130
99,402,345940,6212,345940
99,402,346750,6212,346750
100,410,347400,6212,347400
100,410,347720,6212,347720
100,410,348370,6212,348370
100,410,349370,6212,349370
100,410,349840,6212,349840
100,410,350650,6212,350650
100,410,350880,6212,350880
100,410,351880,6212,351880
100,410,351880,6212,351880
100,410,352110,6212,352110
100,410,352340,6212,352340
101,412,352810,6212,352810
101,412,352810,6212,352810
101,412,353620,6212,353620
102,420,354620,6212,354620
103,422,355430,6212,355430
103,422,356430,6212,356430
103,422,357430,6212,357430
103,422,358240,6212,358240
103,422,358240,6212,358240
103,422,358240,6212,358240
103,422,358700,6212,358700
103,422,358700,6212,358700
103,422,358700,6212,358700
103,422,359290,6212,359290
104,430,367290,6212,367290
104,430,367940,6212,367940
104,430,368410,6212,368410
104,430,369220,6212,369220
104,430,370030,6212,370030
105,434,370840,6212,370840
105,434,371840,6212,371840
105,434,372160,6212,372160
106,442,373160,6212,373160
106,442,373390,6212,373390
106,442,374200,6212,374200
106,442,374200,6212,374200
106,442,375010,6212,375010
106,442,375820,6212,375820
106,442,376630,6212,376630
106,442,377100,6212,377100
106,442,377100,6212,377100
106,442,377570,6212,377570
106,442,378040,6212,378040
106,442,379040,6212,379040
106,442,379040,6212,379040
106,442,379150,6212,379150
106,442,379150,6212,379150
106,442,380150,6212,380150
106,442,380150,6212,380150
106,442,381150,6212,381150
106,442,381470,6212,381470
106,442,381470,6212,381470
106,442,381470,6212,381470
106,442,382470,6212,382470
107,444,383280,6212,383280
107,444,383750,6212,383750
107,444,383860,6212,383860
108,452,384670,6212,384670
108,452,385140,6212,385140
108,452,385950,6212,385950
108,452,386420,6212,386420
108,452,386890,6212,386890
108,452,387360,6212,387360
108,452,387360,6212,387360
108,452,387360,6212,387360
108,452,388170,6212,388170
108,452,388640,6212,388640
108,452,389110,6212,389110
108,452,389920,6212,389920
108,452,390730,6212,390730
