ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
199,1013,147070,6212,147070
200,1021,147540,6212,147540
201,1029,148540,6212,148540
202,1037,149540,6212,149540
203,1045,150010,6212,150010
204,1053,151010,6212,151010
205,1055,151820,6212,151820
206,1063,152630,6212,152630
207,1071,153630,6212,153630
208,1073,153630,6212,153630
209,1081,154630,6212,154630
210,1083,155100,6212,155100
211,1091,156100,6212,156100
212,1093,156570,6212,156570
213,1101,156940,6212,156940
214,1109,157940,6212,157940
215,1111,158750,6212,158750
216,1113,159560,6212,159560
216,1113,160020,6212,160020
217,1121,160830,6212,160830
218,1123,161480,6212,161480
219,1131,161710,6212,161710
220,1139,161710,6212,161710
221,1141,161710,6212,161710
222,1149,161710,6212,161710
222,1149,162710,6212,162710
223,1157,163520,6212,163520
224,1165,167520,6212,167520
225,1167,168520,6212,168520
225,1167,169520,6212,169520
226,1175,170520,6212,170520
227,1183,171520,6212,171520
228,1185,172520,6212,172520
229,1187,172990,6212,172990
230,1195,173990,6212,173990
231,1203,174990,6212,174990
232,1205,175460,6212,175460
233,1213,176460,6212,176460
234,1221,177460,6212,177460
235,1229,178270,6212,178270
236,1231,179270,6212,179270
237,1239,179740,6212,179740
238,1247,180740,6212,180740
239,1255,181740,6212,181740
240,1263,182740,6212,182740
241,1271,183740,6212,183740
242,1275,184740,6212,184740
243,1283,185200,6212,185200
243,1283,186200,6212,186200
244,1285,186200,6212,186200
245,1287,187200,6212,187200
246,1289,188200,6212,188200
246,1289,189200,6212,189200
247,1297,189520,6212,189520
248,1305,190330,6212,190330
249,1313,191140,6212,191140
250,1321,191690,6212,191690
251,1329,192160,6212,192160
252,1337,192160,6212,192160
253,1345,192390,6212,192390
253,1345,192860,6212,192860
253,1345,193080,6212,193080
253,1345,194080,6212,194080
254,1347,194890,6212,194890
255,1355,195890,6212,195890
256,1363,196700,6212,196700
257,1371,196700,6212,196700
258,1379,197170,6212,197170
258,1379,198170,6212,198170
259,1381,199170,6212,199170
260,1383,199980,6212,199980
261,1385,200980,6212,200980
262,1393,201980,6212,201980
263,1401,202450,6212,202450
264,1409,203450,6212,203450
264,1409,204260,6212,204260
265,1411,205260,6212,205260
266,1419,205730,6212,205730
267,1427,205730,6212,205730
268,1435,206540,6212,206540
268,1435,207350,6212,207350
269,1437,207350,6212,207350
270,1439,208350,6212,208350
271,1447,209350,6212,209350
271,1447,209580,6212,209580
272,1449,211580,6212,211580
273,1457,211580,6212,211580
274,1459,212390,6212,212390
275,1461,212390,6212,212390
275,1461,213390,6212,213390
276,1463,214390,6212,214390
277,1471,215200,6212,215200
278,1479,216200,6212,216200
279,1481,217200,6212,217200
280,1483,218200,6212,218200
281,1485,219010,6212,219010
282,1487,219330,6212,219330
283,1489,220140,6212,220140
283,1489,221140,6212,221140
284,1493,222140,6212,222140
285,1494,222140,6212,222140
286,1502,223140,6212,223140
287,1504,223790,6212,223790
288,1506,223790,6212,223790
289,1508,224790,6212,224790
289,1508,226790,6212,226790
290,1510,227020,6212,227020
291,1512,227490,6212,227490
292,1514,228490,6212,228490
292,1514,229300,6212,229300
293,1516,230300,6212,230300
294,1524,231300,6212,231300
295,1526,232300,6212,232300
296,1528,233110,6212,233110
296,1528,233110,6212,233110
297,1530,233920,6212,233920
298,1538,234510,6212,234510
299,1540,234830,6212,234830
300,1548,235830,6212,235830
301,1556,235830,6212,235830
302,1564,235830,6212,235830
303,1572,236300,6212,236300
303,1572,237110,6212,237110
303,1572,237110,6212,237110
304,1580,238110,6212,238110
305,1582,238340,6212,238340
306,1584,239340,6212,239340
307,1586,240340,6212,240340
308,1588,241340,6212,241340
309,1596,241340,6212,241340
309,1596,241660,6212,241660
310,1598,242130,6212,242130
310,1598,243130,6212,243130
311,1606,243130,6212,243130
312,1614,243780,6212,243780
313,1616,244590,6212,244590
314,1624,252590,6212,252590
315,1632,253590,6212,253590
316,1640,254590,6212,254590
317,1642,255590,6212,255590
318,1650,256240,6212,256240
319,1658,257240,6212,257240
320,1660,257710,6212,257710
321,1662,258710,6212,258710
322,1670,259710,6212,259710
323,1672,260710,6212,260710
324,1680,261710,6212,261710
325,1688,262710,6212,262710
326,1690,262940,6212,262940
327,1698,263940,6212,263940
328,1706,264940,6212,264940
329,1714,265750,6212,265750
330,1722,266560,6212,266560
331,1730,267030,6212,267030
332,1732,268030,6212,268030
333,1740,269030,6212,269030
334,1742,270030,6212,270030
335,1750,271030,6212,271030
335,1750,271030,6212,271030
336,1758,271580,6212,271580
336,1758,272050,6212,272050
337,1766,272700,6212,272700
338,1768,272700,6212,272700
339,1770,273700,6212,273700
340,1772,274700,6212,274700
341,1774,275510,6212,275510
342,1776,275980,6212,275980
343,1784,276980,6212,276980
344,1788,277980,6212,277980
345,1796,278980,6212,278980
346,1804,279790,6212,279790
346,1804,280790,6212,280790
347,1812,288790,6212,288790
348,1820,289600,6212,289600
349,1828,290600,6212,290600
350,1836,291150,6212,291150
351,1838,292150,6212,292150
351,1838,293150,6212,293150
352,1846,293620,6212,293620
353,1848,294620,6212,294620
353,1848,295430,6212,295430
354,1850,296080,6212,296080
355,1858,297080,6212,297080
356,1866,298080,6212,298080
356,1866,299080,6212,299080
356,1866,300080,6212,300080
357,1874,301080,6212,301080
358,1878,302080,6212,302080
359,1886,303080,6212,303080
360,1894,304080,6212,304080
361,1902,304550,6212,304550
362,1906,305550,6212,305550
363,1908,305550,6212,305550
364,1910,306550,6212,306550
364,1910,306550,6212,306550
365,1918,307550,6212,307550
366,1920,308550,6212,308550
367,1924,308550,6212,308550
368,1932,309550,6212,309550
369,1934,309780,6212,309780
370,1936,310780,6212,310780
371,1938,311780,6212,311780
372,1946,311780,6212,311780
372,1946,311780,6212,311780
373,1954,312240,6212,312240
374,1962,313240,6212,313240
374,1962,314050,6212,314050
375,1964,314050,6212,314050
375,1964,315050,6212,315050
376,1968,315270,6212,315270
377,1970,316270,6212,316270
378,1978,317080,6212,317080
379,1982,318080,6212,318080
379,1982,318540,6212,318540
380,1990,319350,6212,319350
381,1998,320160,6212,320160
382,2006,320810,6212,320810
382,2006,321810,6212,321810
382,2006,322040,6212,322040
383,2008,323040,6212,323040
383,2008,324040,6212,324040
384,2016,325040,6212,325040
385,2024,326040,6212,326040
386,2032,326510,6212,326510
387,2040,326980,6212,326980
387,2040,327980,6212,327980
387,2040,328980,6212,328980
388,2044,329980,6212,329980
389,2046,330980,6212,330980
389,2046,331300,6212,331300
389,2046,332300,6212,332300
389,2046,333110,6212,333110
389,2046,333920,6212,333920
389,2046,334920,6212,334920
390,2054,335920,6212,335920
391,2056,336920,6212,336920
392,2060,337730,6212,337730
393,2062,338540,6212,338540
393,2062,339540,6212,339540
394,2070,340010,6212,340010
395,2078,341010,6212,341010
396,2080,341010,6212,341010
396,2080,341010,6212,341010
397,2088,342010,6212,342010
397,2088,342010,6212,342010
