ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
51,109,59530,6212,59530
52,111,60530,6212,60530
52,111,61530,6212,61530
52,111,61530,6212,61530
52,111,62340,6212,62340
53,113,63340,6212,63340
53,113,64340,6212,64340
54,115,65340,6212,65340
55,117,66340,6212,66340
56,119,66990,6212,66990
56,119,67800,6212,67800
57,120,68800,6212,68800
58,122,69800,6212,69800
59,124,70270,6212,70270
60,125,70590,6212,70590
61,127,70590,6212,70590
61,127,71400,6212,71400
62,128,72210,6212,72210
63,129,72760,6212,72760
63,129,73570,6212,73570
64,131,73570,6212,73570
65,133,73570,6212,73570
66,137,74570,6212,74570
66,137,75570,6212,75570
67,139,76570,6212,76570
67,139,77380,6212,77380
68,141,78380,6212,78380
69,143,78850,6212,78850
70,145,79850,6212,79850
71,147,80850,6212,80850
71,147,81660,6212,81660
72,149,82660,6212,82660
73,151,83660,6212,83660
74,152,84660,6212,84660
75,154,84660,6212,84660
76,158,84660,6212,84660
76,158,84660,6212,84660
76,158,84660,6212,84660
77,160,85660,6212,85660
77,160,86660,6212,86660
78,162,87660,6212,87660
78,162,88470,6212,88470
79,166,88470,6212,88470
79,166,88470,6212,88470
80,168,89470,6212,89470
81,170,89470,6212,89470
82,172,89470,6212,89470
83,174,89470,6212,89470
84,176,90120,6212,90120
85,177,90930,6212,90930
86,179,90930,6212,90930
87,181,91930,6212,91930
88,183,92930,6212,92930
89,184,93400,6212,93400
90,186,94400,6212,94400
91,187,95400,6212,95400
91,187,96210,6212,96210
92,189,97210,6212,97210
93,193,98210,6212,98210
94,195,98210,6212,98210
95,197,98860,6212,98860
95,197,99860,6212,99860
96,199,99860,6212,99860
96,199,100510,6212,100510
97,200,100980,6212,100980
97,200,101980,6212,101980
97,200,102790,6212,102790
97,200,103600,6212,103600
98,204,104600,6212,104600
98,204,105410,6212,105410
98,204,106410,6212,106410
99,206,106880,6212,106880
99,206,107880,6212,107880
100,207,108880,6212,108880
100,207,109690,6212,109690
101,209,110690,6212,110690
101,209,111010,6212,111010
101,209,111560,6212,111560
102,211,112560,6212,112560
103,213,113560,6212,113560
104,214,114020,6212,114020
104,214,115020,6212,115020
104,214,115830,6212,115830
105,216,116830,6212,116830
106,218,117830,6212,117830
106,218,118150,6212,118150
107,220,119150,6212,119150
108,222,119470,6212,119470
109,224,120470,6212,120470
110,226,120790,6212,120790
111,230,120790,6212,120790
111,230,121790,6212,121790
112,234,121790,6212,121790
113,236,122790,6212,122790
114,238,123790,6212,123790
114,238,124600,6212,124600
115,240,125600,6212,125600
115,240,125600,6212,125600
116,242,126600,6212,126600
117,244,127070,6212,127070
117,244,127880,6212,127880
118,246,128880,6212,128880
119,248,129530,6212,129530
120,252,129530,6212,129530
121,254,129530,6212,129530
121,254,129760,6212,129760
121,254,130080,6212,130080
121,254,130400,6212,130400
121,254,131210,6212,131210
122,258,132210,6212,132210
122,258,133020,6212,133020
122,258,133020,6212,133020
123,260,133020,6212,133020
124,262,134020,6212,134020
124,262,134830,6212,134830
125,266,134830,6212,134830
125,266,134830,6212,134830
125,266,135640,6212,135640
125,266,135960,6212,135960
125,266,136960,6212,136960
126,268,137960,6212,137960
127,269,138960,6212,138960
128,271,139610,6212,139610
129,273,140610,6212,140610
129,273,141420,6212,141420
129,273,141420,6212,141420
130,275,142420,6212,142420
131,277,143420,6212,143420
131,277,144420,6212,144420
132,278,145230,6212,145230
132,278,145600,6212,145600
133,279,146070,6212,146070
134,281,147070,6212,147070
135,283,147540,6212,147540
136,285,148540,6212,148540
137,287,149540,6212,149540
138,288,150010,6212,150010
139,290,151010,6212,151010
139,290,151820,6212,151820
139,290,152630,6212,152630
139,290,153630,6212,153630
140,294,153630,6212,153630
141,296,154630,6212,154630
142,298,155100,6212,155100
143,299,156100,6212,156100
144,300,156570,6212,156570
144,300,156940,6212,156940
145,302,157940,6212,157940
145,302,158750,6212,158750
145,302,159560,6212,159560
145,302,160020,6212,160020
145,302,160830,6212,160830
146,304,161480,6212,161480
146,304,161710,6212,161710
147,306,161710,6212,161710
148,310,161710,6212,161710
149,314,161710,6212,161710
150,316,162710,6212,162710
150,316,163520,6212,163520
151,320,167520,6212,167520
152,322,168520,6212,168520
153,326,169520,6212,169520
154,330,170520,6212,170520
154,330,171520,6212,171520
155,334,172520,6212,172520
155,334,172990,6212,172990
156,338,173990,6212,173990
157,340,174990,6212,174990
157,340,175460,6212,175460
158,342,176460,6212,176460
159,344,177460,6212,177460
159,344,178270,6212,178270
159,344,179270,6212,179270
159,344,179740,6212,179740
159,344,180740,6212,180740
160,346,181740,6212,181740
160,346,182740,6212,182740
161,348,183740,6212,183740
161,348,184740,6212,184740
162,350,185200,6212,185200
162,350,186200,6212,186200
162,350,186200,6212,186200
162,350,187200,6212,187200
163,352,188200,6212,188200
163,352,189200,6212,189200
163,352,189520,6212,189520
163,352,190330,6212,190330
163,352,191140,6212,191140
163,352,191690,6212,191690
164,356,192160,6212,192160
164,356,192160,6212,192160
164,356,192390,6212,192390
164,356,192860,6212,192860
164,356,193080,6212,193080
164,356,194080,6212,194080
164,356,194890,6212,194890
164,356,195890,6212,195890
164,356,196700,6212,196700
164,356,196700,6212,196700
164,356,197170,6212,197170
165,360,198170,6212,198170
165,360,199170,6212,199170
165,360,199980,6212,199980
165,360,200980,6212,200980
166,362,201980,6212,201980
166,362,202450,6212,202450
167,364,203450,6212,203450
167,364,204260,6212,204260
167,364,205260,6212,205260
167,364,205730,6212,205730
167,364,205730,6212,205730
167,364,206540,6212,206540
167,364,207350,6212,207350
167,364,207350,6212,207350
168,366,208350,6212,208350
168,366,209350,6212,209350
168,366,209580,6212,209580
169,368,211580,6212,211580
169,368,211580,6212,211580
169,368,212390,6212,212390
169,368,212390,6212,212390
169,368,213390,6212,213390
169,368,214390,6212,214390
169,368,215200,6212,215200
170,372,216200,6212,216200
170,372,217200,6212,217200
171,374,218200,6212,218200
171,374,219010,6212,219010
171,374,219330,6212,219330
171,374,220140,6212,220140
172,376,221140,6212,221140
172,376,222140,6212,222140
172,376,222140,6212,222140
173,378,223140,6212,223140
173,378,223790,6212,223790
173,378,223790,6212,223790
173,378,224790,6212,224790
174,380,226790,6212,226790
174,380,227020,6212,227020
175,384,227490,6212,227490
175,384,228490,6212,228490
175,384,229300,6212,229300
176,386,230300,6212,230300
176,386,231300,6212,231300
177,388,232300,6212,232300
177,388,233110,6212,233110
177,388,233110,6212,233110
177,388,233920,6212,233920
177,388,234510,6212,234510
177,388,234830,6212,234830
177,388,235830,6212,235830
177,388,235830,6212,235830
177,388,235830,6212,235830
177,388,236300,6212,236300
177,388,237110,6212,237110
177,388,237110,6212,237110
177,388,238110,6212,238110
177,388,238340,6212,238340
178,390,239340,6212,239340
178,390,240340,6212,240340
179,392,241340,6212,241340
179,392,241340,6212,241340
179,392,241660,6212,241660
179,392,242130,6212,242130
180,394,243130,6212,243130
180,394,243130,6212,243130
180,394,243780,6212,243780
180,394,244590,6212,244590
181,402,252590,6212,252590
182,406,253590,6212,253590
182,406,254590,6212,254590
183,410,255590,6212,255590
183,410,256240,6212,256240
184,411,257240,6212,257240
184,411,257710,6212,257710
184,411,258710,6212,258710
185,413,259710,6212,259710
185,413,260710,6212,260710
186,415,261710,6212,261710
186,415,262710,6212,262710
186,415,262940,6212,262940
187,419,263940,6212,263940
188,421,264940,6212,264940
188,421,265750,6212,265750
189,423,266560,6212,266560
189,423,267030,6212,267030
189,423,268030,6212,268030
190,427,269030,6212,269030
190,427,270030,6212,270030
190,427,271030,6212,271030
190,427,271030,6212,271030
190,427,271580,6212,271580
191,431,272050,6212,272050
191,431,272700,6212,272700
191,431,272700,6212,272700
191,431,273700,6212,273700
