ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
903993.75,14.77,1.17,184667.13,3.02
905224.5,14.79,1.19,185535.66,3.03
906455.25,14.81,1.21,186404.18,3.04
907686.0,14.83,1.23,187272.71,3.06
908372.87,14.84,1.24,187370.29,3.06
907956.35,14.83,1.24,186838.69,3.05
909187.1,14.85,1.26,187707.21,3.07
909525.24,14.86,1.26,187520.2,3.06
909882.43,14.87,1.27,187294.23,3.06
909807.23,14.87,1.27,187103.94,3.06
910145.37,14.88,1.28,186916.93,3.06
909540.17,14.87,1.27,186196.65,3.04
909032.77,14.86,1.27,185631.22,3.04
909370.91,14.87,1.27,185444.21,3.03
909534.7,14.88,1.28,186359.67,3.05
911175.45,14.9,1.31,187417.23,3.07
911862.32,14.92,1.32,187514.81,3.07
913154.62,14.94,1.34,187623.87,3.07
914385.37,14.96,1.36,188492.4,3.08
913735.37,14.95,1.35,187842.4,3.07
913660.16,14.95,1.35,187652.12,3.07
912978.22,14.94,1.34,186970.17,3.06
912486.27,14.94,1.34,186478.22,3.05
911978.87,14.93,1.33,185924.89,3.04
912142.66,14.94,1.34,186840.35,3.06
911635.26,14.93,1.33,186274.92,3.05
912927.56,14.95,1.35,186383.98,3.05
913783.98,14.97,1.37,186723.44,3.06
913086.58,14.96,1.36,185968.01,3.05
912481.38,14.95,1.35,185362.81,3.04
911973.98,14.94,1.35,184797.39,3.03
912296.67,14.95,1.35,184536.9,3.02
912290.99,14.95,1.36,184465.0,3.02
912043.6,14.95,1.35,184171.68,3.02
912381.74,14.96,1.36,183972.57,3.02
912719.88,14.97,1.37,183773.46,3.01
