ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
28,82,49290,6212,49290
28,82,50290,6212,50290
28,82,51100,6212,51100
28,82,51100,6212,51100
29,84,52100,6212,52100
29,84,53100,6212,53100
30,85,53910,6212,53910
31,89,57910,6212,57910
31,89,57910,6212,57910
32,90,58720,6212,58720
32,90,58720,6212,58720
33,91,59530,6212,59530
34,93,60530,6212,60530
34,93,61530,6212,61530
34,93,61530,6212,61530
35,94,62340,6212,62340
36,96,63340,6212,63340
37,98,64340,6212,64340
37,98,65340,6212,65340
37,98,66340,6212,66340
37,98,66990,6212,66990
38,99,67800,6212,67800
39,100,68800,6212,68800
40,102,69800,6212,69800
40,102,70270,6212,70270
40,102,70590,6212,70590
40,102,70590,6212,70590
41,104,71400,6212,71400
41,104,72210,6212,72210
42,105,72760,6212,72760
43,106,73570,6212,73570
43,106,73570,6212,73570
43,106,73570,6212,73570
44,108,74570,6212,74570
44,108,75570,6212,75570
44,108,76570,6212,76570
45,109,77380,6212,77380
46,111,78380,6212,78380
47,113,78850,6212,78850
47,113,79850,6212,79850
48,115,80850,6212,80850
48,115,81660,6212,81660
49,117,82660,6212,82660
49,117,83660,6212,83660
50,119,84660,6212,84660
50,119,84660,6212,84660
50,119,84660,6212,84660
50,119,84660,6212,84660
51,127,84660,6212,84660
51,127,85660,6212,85660
52,128,86660,6212,86660
53,130,87660,6212,87660
53,130,88470,6212,88470
53,130,88470,6212,88470
53,130,88470,6212,88470
54,132,89470,6212,89470
54,132,89470,6212,89470
54,132,89470,6212,89470
54,132,89470,6212,89470
54,132,90120,6212,90120
54,132,90930,6212,90930
54,132,90930,6212,90930
55,140,91930,6212,91930
55,140,92930,6212,92930
55,140,93400,6212,93400
55,140,94400,6212,94400
55,140,95400,6212,95400
55,140,96210,6212,96210
55,140,97210,6212,97210
56,142,98210,6212,98210
56,142,98210,6212,98210
57,144,98860,6212,98860
57,144,99860,6212,99860
57,144,99860,6212,99860
57,144,100510,6212,100510
57,144,100980,6212,100980
57,144,101980,6212,101980
57,144,102790,6212,102790
58,145,103600,6212,103600
59,147,104600,6212,104600
59,147,105410,6212,105410
60,149,106410,6212,106410
60,149,106880,6212,106880
60,149,107880,6212,107880
61,157,108880,6212,108880
61,157,109690,6212,109690
61,157,110690,6212,110690
62,159,111010,6212,111010
62,159,111560,6212,111560
62,159,112560,6212,112560
62,159,113560,6212,113560
62,159,114020,6212,114020
62,159,115020,6212,115020
62,159,115830,6212,115830
63,161,116830,6212,116830
64,163,117830,6212,117830
64,163,118150,6212,118150
65,165,119150,6212,119150
65,165,119470,6212,119470
65,165,120470,6212,120470
65,165,120790,6212,120790
65,165,120790,6212,120790
65,165,121790,6212,121790
65,165,121790,6212,121790
66,167,122790,6212,122790
66,167,123790,6212,123790
