ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
82,202,194430,6212,194430
82,202,194660,6212,194660
82,202,195660,6212,195660
83,204,196130,6212,196130
83,204,196180,6212,196180
83,204,196180,6212,196180
83,204,196990,6212,196990
84,206,197990,6212,197990
84,206,197990,6212,197990
84,206,198990,6212,198990
85,208,199990,6212,199990
85,208,200460,6212,200460
85,208,201460,6212,201460
86,210,201930,6212,201930
86,210,202090,6212,202090
87,212,203090,6212,203090
87,212,203090,6212,203090
88,220,211090,6212,211090
88,220,212090,6212,212090
88,220,213090,6212,213090
89,222,213640,6212,213640
89,222,214640,6212,214640
90,224,215640,6212,215640
90,224,216640,6212,216640
91,225,217230,6212,217230
92,227,218230,6212,218230
92,227,219230,6212,219230
93,229,220230,6212,220230
93,229,221230,6212,221230
93,229,221550,6212,221550
94,231,222550,6212,222550
94,231,223550,6212,223550
95,235,224550,6212,224550
96,237,225550,6212,225550
97,241,227550,6212,227550
97,241,228200,6212,228200
97,241,229010,6212,229010
97,241,229240,6212,229240
97,241,229890,6212,229890
98,243,230890,6212,230890
98,243,231890,6212,231890
98,243,232350,6212,232350
98,243,232350,6212,232350
98,243,233350,6212,233350
98,243,234350,6212,234350
98,243,235160,6212,235160
99,245,236160,6212,236160
99,245,237160,6212,237160
99,245,237480,6212,237480
99,245,237800,6212,237800
100,249,239800,6212,239800
100,249,239800,6212,239800
100,249,240800,6212,240800
100,249,241800,6212,241800
101,251,242800,6212,242800
101,251,243800,6212,243800
