ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
851080.48,13.94,0.6,325184.5,5.33
850940.72,13.94,0.6,324556.12,5.32
850940.72,13.94,0.6,324458.46,5.32
850690.53,13.94,0.6,324125.79,5.31
850542.06,13.94,0.6,324013.12,5.31
850393.59,13.94,0.6,325648.1,5.34
850287.58,13.94,0.6,325901.41,5.34
850139.11,13.94,0.6,325789.0,5.34
849990.63,13.94,0.6,325773.27,5.34
850030.87,13.94,0.6,325853.38,5.34
849882.4,13.94,0.6,325830.27,5.34
849688.33,13.94,0.6,325619.3,5.34
849866.73,13.94,0.6,325658.24,5.34
849718.26,13.94,0.6,325811.67,5.35
849601.63,13.94,0.6,325857.42,5.35
849601.63,13.94,0.6,325759.75,5.35
849453.16,13.94,0.6,325646.64,5.35
849304.69,13.94,0.6,325631.6,5.35
849304.69,13.94,0.6,325631.6,5.35
849304.69,13.94,0.6,325631.6,5.35
849007.82,13.94,0.6,325341.09,5.34
849048.05,13.94,0.6,325421.2,5.34
849333.41,13.95,0.6,325706.22,5.35
849184.94,13.95,0.6,325663.56,5.35
849036.47,13.95,0.6,325578.08,5.35
848887.99,13.95,0.6,325551.54,5.35
848591.05,13.95,0.6,325423.39,5.35
848442.58,13.95,0.6,325321.78,5.35
848294.11,13.95,0.6,325202.06,5.35
847700.23,13.95,0.6,324862.47,5.34
847326.39,13.94,0.6,324612.8,5.34
847611.76,13.95,0.6,325035.67,5.35
847463.28,13.95,0.6,324922.56,5.35
847463.28,13.95,0.6,324922.56,5.35
846395.81,13.95,0.6,324714.82,5.35
846301.17,13.95,0.6,323814.36,5.34
846152.7,13.95,0.6,323799.32,5.34
846004.22,13.95,0.6,323686.91,5.34
845860.05,13.95,0.6,323841.94,5.34
845621.61,13.95,0.6,323471.3,5.33
845670.56,13.95,0.6,323035.63,5.33
845421.67,13.95,0.6,322700.26,5.32
845305.04,13.95,0.6,322068.01,5.31
845146.47,13.94,0.6,321924.06,5.31
845415.71,13.95,0.61,322324.32,5.32
845321.06,13.95,0.61,322826.24,5.33
845172.59,13.95,0.61,322713.83,5.33
845024.12,13.95,0.61,322698.1,5.33
844875.65,13.95,0.61,322584.99,5.33
844727.18,13.95,0.61,322569.95,5.33
844578.71,13.95,0.61,322543.42,5.33
844430.24,13.95,0.61,322441.81,5.33
844430.24,13.95,0.61,322441.81,5.33
844281.77,13.95,0.61,322415.27,5.33
844149.34,13.95,0.61,321807.94,5.32
844087.86,13.95,0.61,321663.98,5.32
843939.38,13.95,0.61,321562.37,5.32
843790.91,13.95,0.61,321535.83,5.32
843417.08,13.95,0.6,321157.93,5.31
843702.44,13.95,0.61,321419.43,5.31
843553.97,13.95,0.61,321392.89,5.32
842486.5,13.95,0.61,321272.78,5.32
842338.03,13.95,0.61,321171.17,5.32
842189.55,13.95,0.61,321128.28,5.32
842041.08,13.95,0.61,321043.03,5.32
841818.74,13.95,0.61,320824.65,5.32
841858.98,13.95,0.61,320904.76,5.32
841710.51,13.95,0.61,320859.85,5.32
841710.51,13.95,0.61,320859.85,5.32
841562.03,13.95,0.61,320817.19,5.32
841562.03,13.95,0.61,320817.19,5.32
841413.56,13.95,0.61,320731.71,5.32
841265.09,13.95,0.61,320705.17,5.32
841116.62,13.95,0.61,320603.56,5.32
840968.15,13.95,0.61,320577.03,5.32
840968.15,13.95,0.61,320577.03,5.32
840819.68,13.95,0.61,320475.42,5.32
840671.21,13.95,0.61,320432.76,5.32
840711.44,13.95,0.61,320510.62,5.32
840711.44,13.95,0.61,320510.62,5.32
840562.97,13.95,0.61,320397.51,5.32
840414.5,13.95,0.61,320382.47,5.32
840266.03,13.95,0.61,320339.81,5.32
839892.2,13.95,0.6,320036.7,5.31
839892.2,13.95,0.6,320036.7,5.31
839743.73,13.95,0.6,319951.22,5.31
838676.25,13.95,0.6,319831.11,5.32
838527.78,13.95,0.6,319718.0,5.32
838379.31,13.95,0.6,319702.96,5.32
838419.54,13.95,0.61,319783.08,5.32
