ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,4,1810,6212,1810
3,4,2810,6212,2810
4,5,3620,6212,3620
4,5,4620,6212,4620
5,6,5430,6212,5430
6,8,5900,6212,5900
6,8,6900,6212,6900
6,8,6900,6212,6900
6,8,6900,6212,6900
6,8,7220,6212,7220
7,12,8220,6212,8220
8,13,9030,6212,9030
8,13,10030,6212,10030
9,14,10620,6212,10620
9,14,10620,6212,10620
9,14,10620,6212,10620
10,15,11170,6212,11170
11,16,11980,6212,11980
12,17,12980,6212,12980
13,18,13980,6212,13980
14,19,14450,6212,14450
15,20,14920,6212,14920
16,21,15920,6212,15920
16,21,16920,6212,16920
16,21,16920,6212,16920
16,21,17920,6212,17920
17,23,18920,6212,18920
17,23,19920,6212,19920
18,25,20920,6212,20920
19,26,21730,6212,21730
20,27,22540,6212,22540
20,27,23540,6212,23540
21,31,27540,6212,27540
22,33,28540,6212,28540
22,33,29540,6212,29540
23,35,30010,6212,30010
23,35,30480,6212,30480
24,36,30950,6212,30950
24,36,31950,6212,31950
25,37,32410,6212,32410
26,39,33060,6212,33060
26,39,34060,6212,34060
27,40,35060,6212,35060
27,40,35060,6212,35060
28,41,35870,6212,35870
29,43,36870,6212,36870
30,44,37340,6212,37340
30,44,37340,6212,37340
30,44,38340,6212,38340
31,46,39340,6212,39340
31,46,40340,6212,40340
32,48,41340,6212,41340
33,49,41800,6212,41800
33,49,41800,6212,41800
34,50,42610,6212,42610
35,58,50610,6212,50610
36,60,51610,6212,51610
36,60,52610,6212,52610
37,62,53080,6212,53080
37,62,54080,6212,54080
37,62,54890,6212,54890
38,64,55890,6212,55890
38,64,56700,6212,56700
39,66,57700,6212,57700
39,66,57700,6212,57700
39,66,58700,6212,58700
40,68,59510,6212,59510
40,68,60510,6212,60510
40,68,60830,6212,60830
41,70,61830,6212,61830
42,72,62830,6212,62830
42,72,63310,6212,63310
42,72,63790,6212,63790
42,72,64260,6212,64260
42,72,64910,6212,64910
43,80,72910,6212,72910
44,82,73910,6212,73910
44,82,74910,6212,74910
45,84,75910,6212,75910
45,84,76380,6212,76380
46,86,77380,6212,77380
46,86,78190,6212,78190
46,86,78510,6212,78510
47,90,79510,6212,79510
48,94,83510,6212,83510
49,96,84510,6212,84510
50,98,85320,6212,85320
50,98,86320,6212,86320
51,100,86910,6212,86910
51,100,86910,6212,86910
51,100,87910,6212,87910
51,100,88380,6212,88380
51,100,88380,6212,88380
51,100,88700,6212,88700
51,100,89020,6212,89020
52,102,90020,6212,90020
52,102,91020,6212,91020
52,102,91490,6212,91490
53,104,91960,6212,91960
53,104,91960,6212,91960
53,104,92960,6212,92960
54,106,93960,6212,93960
54,106,94430,6212,94430
55,108,95430,6212,95430
55,108,95800,6212,95800
55,108,95800,6212,95800
56,110,96610,6212,96610
56,110,97080,6212,97080
56,110,97550,6212,97550
56,110,98360,6212,98360
57,112,99360,6212,99360
57,112,100170,6212,100170
57,112,101170,6212,101170
57,112,101980,6212,101980
57,112,101980,6212,101980
57,112,102530,6212,102530
58,114,103530,6212,103530
58,114,104530,6212,104530
58,114,104530,6212,104530
58,114,104530,6212,104530
59,116,105530,6212,105530
59,116,106530,6212,106530
60,124,107080,6212,107080
61,126,108080,6212,108080
62,134,108080,6212,108080
62,134,109080,6212,109080
62,134,110080,6212,110080
62,134,111080,6212,111080
62,134,112080,6212,112080
63,136,113080,6212,113080
63,136,114080,6212,114080
64,138,114890,6212,114890
64,138,115890,6212,115890
64,138,116110,6212,116110
65,140,116760,6212,116760
65,140,117760,6212,117760
66,144,118760,6212,118760
67,152,118760,6212,118760
68,154,119760,6212,119760
68,154,120760,6212,120760
68,154,120760,6212,120760
68,154,120760,6212,120760
68,154,121080,6212,121080
69,156,121890,6212,121890
69,156,122360,6212,122360
70,158,123360,6212,123360
70,158,124360,6212,124360
71,160,125360,6212,125360
72,162,127360,6212,127360
72,162,128360,6212,128360
73,164,129360,6212,129360
74,168,133360,6212,133360
74,168,133830,6212,133830
74,168,134300,6212,134300
75,170,135300,6212,135300
75,170,135300,6212,135300
76,178,143300,6212,143300
76,178,144300,6212,144300
76,178,145300,6212,145300
77,180,146300,6212,146300
77,180,147300,6212,147300
77,180,148300,6212,148300
78,182,149110,6212,149110
78,182,150110,6212,150110
79,186,151110,6212,151110
79,186,151270,6212,151270
79,186,151820,6212,151820
79,186,152820,6212,152820
80,188,153820,6212,153820
80,188,154820,6212,154820
81,190,155820,6212,155820
81,190,156820,6212,156820
82,192,157820,6212,157820
82,192,158820,6212,158820
82,192,158820,6212,158820
83,194,159820,6212,159820
83,194,160820,6212,160820
83,194,161630,6212,161630
83,194,162630,6212,162630
84,196,163630,6212,163630
84,196,164100,6212,164100
84,196,164570,6212,164570
85,198,165570,6212,165570
85,198,173570,6212,173570
85,198,174570,6212,174570
86,200,175570,6212,175570
86,200,176570,6212,176570
86,200,176800,6212,176800
87,202,177610,6212,177610
87,202,178610,6212,178610
87,202,178610,6212,178610
88,204,179610,6212,179610
88,204,179610,6212,179610
88,204,180610,6212,180610
89,206,181610,6212,181610
