ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
120,240,133150,6212,133150
121,242,133380,6212,133380
121,242,133610,6212,133610
121,242,134420,6212,134420
121,242,135230,6212,135230
122,244,135700,6212,135700
122,244,136160,6212,136160
123,246,137160,6212,137160
123,246,137970,6212,137970
124,248,138440,6212,138440
124,248,139250,6212,139250
124,248,139410,6212,139410
125,250,140220,6212,140220
125,250,141030,6212,141030
126,252,141680,6212,141680
127,254,142150,6212,142150
128,256,142610,6212,142610
128,256,143080,6212,143080
129,258,143080,6212,143080
129,258,143890,6212,143890
129,258,144890,6212,144890
130,260,145360,6212,145360
130,260,146170,6212,146170
131,262,146760,6212,146760
131,262,147220,6212,147220
132,264,148030,6212,148030
132,264,148500,6212,148500
133,266,148970,6212,148970
134,268,149620,6212,149620
134,268,150430,6212,150430
135,270,151430,6212,151430
135,270,152240,6212,152240
135,270,152240,6212,152240
136,272,153240,6212,153240
137,274,153240,6212,153240
137,274,153240,6212,153240
138,276,154240,6212,154240
138,276,155050,6212,155050
138,276,155860,6212,155860
139,278,156860,6212,156860
139,278,157670,6212,157670
140,280,158670,6212,158670
140,280,159480,6212,159480
141,282,160290,6212,160290
141,282,161290,6212,161290
142,284,162100,6212,162100
142,284,162420,6212,162420
142,284,163230,6212,163230
143,286,163230,6212,163230
144,288,164040,6212,164040
144,288,164360,6212,164360
144,288,165360,6212,165360
144,288,166170,6212,166170
144,288,166640,6212,166640
144,288,167290,6212,167290
144,288,167510,6212,167510
144,288,168320,6212,168320
145,290,168320,6212,168320
145,290,168320,6212,168320
145,290,169320,6212,169320
145,290,169590,6212,169590
145,290,170400,6212,170400
145,290,170400,6212,170400
145,290,171050,6212,171050
145,290,171370,6212,171370
145,290,171840,6212,171840
145,290,172650,6212,172650
145,290,173460,6212,173460
146,294,173780,6212,173780
146,294,173780,6212,173780
146,294,174780,6212,174780
147,296,175430,6212,175430
147,296,175900,6212,175900
148,298,176710,6212,176710
148,298,177520,6212,177520
148,298,177840,6212,177840
148,298,178160,6212,178160
149,300,179160,6212,179160
149,300,179620,6212,179620
149,300,179940,6212,179940
150,302,180410,6212,180410
150,302,181220,6212,181220
151,304,182220,6212,182220
151,304,183220,6212,183220
152,306,184030,6212,184030
152,306,185030,6212,185030
153,310,185840,6212,185840
153,310,186650,6212,186650
153,310,187650,6212,187650
153,310,187650,6212,187650
153,310,187650,6212,187650
153,310,188120,6212,188120
153,310,188590,6212,188590
154,314,189240,6212,189240
154,314,190050,6212,190050
154,314,190860,6212,190860
154,314,191670,6212,191670
154,314,191670,6212,191670
154,314,191830,6212,191830
154,314,191830,6212,191830
155,318,192300,6212,192300
155,318,193300,6212,193300
155,318,194300,6212,194300
155,318,194530,6212,194530
156,320,195340,6212,195340
156,320,195710,6212,195710
156,320,195710,6212,195710
156,320,195710,6212,195710
157,324,196520,6212,196520
157,324,197520,6212,197520
157,324,198330,6212,198330
157,324,199140,6212,199140
158,328,199950,6212,199950
158,328,200950,6212,200950
158,328,201420,6212,201420
159,330,202420,6212,202420
159,330,202420,6212,202420
159,330,202740,6212,202740
159,330,202740,6212,202740
159,330,202970,6212,202970
159,330,203190,6212,203190
159,330,203350,6212,203350
160,332,204350,6212,204350
160,332,204670,6212,204670
160,332,204670,6212,204670
160,332,204670,6212,204670
160,332,205480,6212,205480
160,332,206030,6212,206030
161,336,206500,6212,206500
161,336,207050,6212,207050
161,336,207600,6212,207600
161,336,208410,6212,208410
162,340,209220,6212,209220
162,340,210030,6212,210030
162,340,211030,6212,211030
162,340,211840,6212,211840
163,342,212490,6212,212490
163,342,213080,6212,213080
163,342,213080,6212,213080
164,346,213890,6212,213890
164,346,214350,6212,214350
164,346,215160,6212,215160
164,346,215160,6212,215160
164,346,215970,6212,215970
164,346,216620,6212,216620
164,346,216940,6212,216940
164,346,217170,6212,217170
165,350,217720,6212,217720
165,350,217880,6212,217880
165,350,218340,6212,218340
165,350,218820,6212,218820
165,350,219820,6212,219820
165,350,219820,6212,219820
165,350,220050,6212,220050
165,350,220050,6212,220050
166,352,220520,6212,220520
166,352,221330,6212,221330
166,352,222140,6212,222140
166,352,222610,6212,222610
166,352,222610,6212,222610
167,356,223070,6212,223070
167,356,223540,6212,223540
167,356,223860,6212,223860
167,356,224330,6212,224330
168,358,224980,6212,224980
168,358,225980,6212,225980
169,360,226980,6212,226980
169,360,227630,6212,227630
170,364,228100,6212,228100
170,364,228560,6212,228560
170,364,229210,6212,229210
170,364,229680,6212,229680
170,364,230490,6212,230490
171,366,231490,6212,231490
171,366,232140,6212,232140
172,368,232610,6212,232610
172,368,232610,6212,232610
172,368,233610,6212,233610
172,368,233930,6212,233930
172,368,234410,6212,234410
173,372,235220,6212,235220
173,372,236030,6212,236030
173,372,236500,6212,236500
173,372,236500,6212,236500
173,372,236500,6212,236500
173,372,237310,6212,237310
173,372,237780,6212,237780
173,372,237780,6212,237780
173,372,237940,6212,237940
174,374,238750,6212,238750
174,374,239400,6212,239400
