ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1274325.9,20.87,0.38,205684.78,3.37
1278283.52,20.94,0.44,207473.1,3.4
1278267.32,20.94,0.44,207550.24,3.4
1278062.35,20.94,0.44,207551.83,3.4
1278062.35,20.94,0.44,207551.83,3.4
1277857.37,20.94,0.44,207492.84,3.4
1277857.37,20.94,0.44,207492.84,3.4
1277748.64,20.94,0.44,207277.44,3.4
1277550.43,20.94,0.44,207169.68,3.4
1277345.45,20.94,0.44,207184.97,3.4
1277140.48,20.94,0.44,207112.28,3.4
1277140.48,20.94,0.44,207112.28,3.4
1276935.5,20.94,0.44,207054.88,3.4
1276730.53,20.94,0.44,207054.88,3.4
1276729.22,20.94,0.44,207113.12,3.4
1276729.22,20.94,0.44,207113.12,3.4
1276877.29,20.95,0.45,206682.23,3.39
1276672.32,20.95,0.45,206624.83,3.39
1276467.34,20.95,0.45,206624.83,3.39
1276262.37,20.95,0.45,206567.44,3.39
1276057.39,20.95,0.45,206567.44,3.39
1275852.42,20.95,0.45,206582.72,3.39
1275574.99,20.94,0.44,206283.13,3.39
1275466.26,20.94,0.44,206211.77,3.39
1275146.26,20.94,0.44,205891.77,3.38
1274941.28,20.94,0.44,205819.08,3.38
1274941.28,20.94,0.44,205819.08,3.38
1274925.09,20.94,0.44,205913.32,3.38
