ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
654894.57,10.79,0.56,177065.98,2.92
654689.06,10.78,0.56,176863.45,2.91
654586.84,10.78,0.56,176771.76,2.91
654484.62,10.78,0.56,176771.76,2.91
654382.4,10.78,0.56,176680.08,2.91
654382.4,10.78,0.56,176680.08,2.91
654382.4,10.78,0.56,176680.08,2.91
654280.18,10.78,0.56,176680.08,2.91
654366.58,10.79,0.56,176588.39,2.91
654264.36,10.79,0.56,176774.89,2.91
654162.14,10.79,0.56,176781.67,2.91
654059.92,10.79,0.56,176683.2,2.91
653957.7,10.79,0.56,176652.65,2.91
654044.1,10.79,0.57,176760.72,2.92
653941.88,10.79,0.57,176767.5,2.92
653839.66,10.79,0.57,176669.03,2.92
653839.66,10.79,0.57,178835.73,2.95
653737.44,10.79,0.57,178805.17,2.95
653635.22,10.79,0.57,178744.04,2.95
653533.0,10.79,0.57,178652.35,2.95
653619.41,10.79,0.57,178838.85,2.95
653705.81,10.79,0.57,178952.7,2.96
653792.22,10.8,0.58,179085.58,2.96
653792.22,10.8,0.58,177935.77,2.94
653424.05,10.79,0.57,177645.83,2.93
654155.12,10.8,0.58,177760.33,2.94
653996.49,10.8,0.58,177621.12,2.93
653894.27,10.8,0.58,177612.6,2.93
660345.43,10.91,0.69,184481.21,3.05
660243.21,10.91,0.69,184398.04,3.05
660329.62,10.91,0.69,184511.89,3.05
660416.02,10.91,0.69,184644.77,3.05
660313.8,10.91,0.69,184636.25,3.05
660211.58,10.91,0.69,184553.08,3.05
660109.36,10.92,0.69,184536.33,3.05
660589.64,10.92,0.7,185082.85,3.06
660487.42,10.92,0.7,184991.16,3.06
660385.19,10.92,0.7,184991.16,3.06
660282.97,10.92,0.7,184974.42,3.06
660282.97,10.92,0.7,184974.42,3.06
660180.75,10.92,0.7,184899.47,3.06
659889.46,10.92,0.7,184538.56,3.05
660594.31,10.93,0.71,184646.83,3.06
660680.71,10.94,0.71,184760.68,3.06
660578.49,10.94,0.71,184741.65,3.06
660476.27,10.94,0.71,184748.43,3.06
660374.05,10.94,0.71,184649.96,3.06
660374.05,10.94,0.71,184649.96,3.06
660271.83,10.94,0.71,184656.74,3.06
660169.61,10.94,0.71,184558.27,3.06
660560.03,10.95,0.72,184412.42,3.06
660894.06,10.95,0.73,184437.45,3.06
660601.27,10.95,0.73,184144.66,3.05
660235.02,10.94,0.72,184208.1,3.05
660132.8,10.94,0.72,184097.94,3.05
660523.22,10.95,0.73,183952.08,3.05
660421.0,10.95,0.73,183860.4,3.05
660415.42,10.95,0.73,183794.53,3.05
660313.2,10.95,0.73,183794.53,3.05
659627.62,10.94,0.72,183048.66,3.04
659904.24,10.95,0.73,182956.97,3.04
659802.02,10.95,0.73,183336.29,3.04
659580.81,10.94,0.72,183145.75,3.04
659667.22,10.95,0.72,183259.6,3.04
659467.08,10.94,0.72,183040.57,3.04
659467.08,10.94,0.72,183040.57,3.04
659364.85,10.94,0.72,183021.54,3.04
659755.27,10.95,0.73,182875.68,3.04
660145.69,10.96,0.74,182729.83,3.03
660043.47,10.96,0.74,182721.31,3.03
659547.9,10.95,0.73,182165.44,3.03
659445.68,10.95,0.73,182082.27,3.02
659836.1,10.96,0.74,181936.41,3.02
659726.1,10.96,0.74,181826.41,3.02
660052.04,10.97,0.75,181939.26,3.02
659949.82,10.97,0.75,182169.71,3.03
659581.65,10.96,0.74,181794.73,3.02
659086.08,10.96,0.73,181238.86,3.01
659412.03,10.96,0.74,181351.71,3.01
659309.8,10.96,0.74,181521.16,3.02
658624.23,10.95,0.73,180775.29,3.01
658847.52,10.96,0.73,180842.25,3.01
658847.52,10.96,0.73,180842.25,3.01
658847.52,10.96,0.73,180842.25,3.01
658745.29,10.96,0.74,181006.13,3.01
658377.12,10.95,0.73,180692.14,3.01
658274.9,10.95,0.73,180600.45,3.0
658172.68,10.95,0.73,180600.45,3.01
658070.46,10.95,0.73,180508.77,3.0
658156.87,10.96,0.73,180695.27,3.01
658156.87,10.96,0.73,180695.27,3.01
657851.52,10.95,0.73,180100.4,3.0
657167.31,10.94,0.72,179470.52,2.99
657253.72,10.94,0.72,179584.37,2.99
657151.5,10.95,0.72,179565.33,2.99
657541.92,10.95,0.73,179419.48,2.99
657541.92,10.95,0.73,179419.48,2.99
656856.34,10.94,0.72,178673.61,2.98
656942.75,10.95,0.72,178787.45,2.98
656840.53,10.95,0.72,178751.13,2.98
656738.3,10.95,0.72,178757.91,2.98
656442.8,10.94,0.72,178465.38,2.97
656340.58,10.94,0.72,178366.91,2.97
656752.77,10.95,0.73,178470.62,2.98
656328.35,10.94,0.72,178473.36,2.98
656328.35,10.94,0.72,178473.36,2.98
656169.73,10.94,0.72,178334.15,2.97
656495.68,10.95,0.73,178588.91,2.98
656127.51,10.94,0.72,178286.02,2.97
656517.93,10.95,0.73,178140.16,2.97
656415.71,10.95,0.73,178048.47,2.97
656415.71,10.95,0.73,178048.47,2.97
655920.13,10.94,0.72,177492.6,2.96
655817.91,10.94,0.72,177492.6,2.96
655715.69,10.94,0.72,177462.05,2.96
655613.47,10.94,0.72,177400.92,2.96
655613.47,10.94,0.72,177400.92,2.96
