ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
66,198,145230,6212,145230
66,198,145600,6212,145600
66,198,146070,6212,146070
66,198,147070,6212,147070
67,200,147540,6212,147540
67,200,148540,6212,148540
67,200,149540,6212,149540
67,200,150010,6212,150010
67,200,151010,6212,151010
67,200,151820,6212,151820
67,200,152630,6212,152630
67,200,153630,6212,153630
67,200,153630,6212,153630
67,200,154630,6212,154630
68,204,155100,6212,155100
68,204,156100,6212,156100
69,206,156570,6212,156570
69,206,156940,6212,156940
69,206,157940,6212,157940
70,210,158750,6212,158750
70,210,159560,6212,159560
70,210,160020,6212,160020
71,214,160830,6212,160830
72,218,161480,6212,161480
73,220,161710,6212,161710
73,220,161710,6212,161710
73,220,161710,6212,161710
73,220,161710,6212,161710
73,220,162710,6212,162710
73,220,163520,6212,163520
74,224,167520,6212,167520
74,224,168520,6212,168520
75,226,169520,6212,169520
75,226,170520,6212,170520
76,228,171520,6212,171520
77,236,172520,6212,172520
77,236,172990,6212,172990
77,236,173990,6212,173990
77,236,174990,6212,174990
77,236,175460,6212,175460
77,236,176460,6212,176460
78,240,177460,6212,177460
78,240,178270,6212,178270
78,240,179270,6212,179270
78,240,179740,6212,179740
78,240,180740,6212,180740
78,240,181740,6212,181740
78,240,182740,6212,182740
78,240,183740,6212,183740
