ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
93,200,145230,6212,145230
93,200,145600,6212,145600
93,200,146070,6212,146070
93,200,147070,6212,147070
94,202,147540,6212,147540
94,202,148540,6212,148540
94,202,149540,6212,149540
95,204,150010,6212,150010
96,206,151010,6212,151010
96,206,151820,6212,151820
96,206,152630,6212,152630
96,206,153630,6212,153630
96,206,153630,6212,153630
97,208,154630,6212,154630
97,208,155100,6212,155100
97,208,156100,6212,156100
98,210,156570,6212,156570
98,210,156940,6212,156940
99,212,157940,6212,157940
99,212,158750,6212,158750
100,214,159560,6212,159560
100,214,160020,6212,160020
101,216,160830,6212,160830
101,216,161480,6212,161480
101,216,161710,6212,161710
101,216,161710,6212,161710
101,216,161710,6212,161710
101,216,161710,6212,161710
101,216,162710,6212,162710
102,218,163520,6212,163520
103,222,167520,6212,167520
104,224,168520,6212,168520
104,224,169520,6212,169520
105,226,170520,6212,170520
105,226,171520,6212,171520
105,226,172520,6212,172520
105,226,172990,6212,172990
106,228,173990,6212,173990
106,228,174990,6212,174990
106,228,175460,6212,175460
107,230,176460,6212,176460
107,230,177460,6212,177460
108,232,178270,6212,178270
109,234,179270,6212,179270
109,234,179740,6212,179740
110,236,180740,6212,180740
110,236,181740,6212,181740
111,238,182740,6212,182740
112,240,183740,6212,183740
112,240,184740,6212,184740
112,240,185200,6212,185200
112,240,186200,6212,186200
112,240,186200,6212,186200
113,242,187200,6212,187200
113,242,188200,6212,188200
114,244,189200,6212,189200
115,246,189520,6212,189520
115,246,190330,6212,190330
116,248,191140,6212,191140
116,248,191690,6212,191690
116,248,192160,6212,192160
116,248,192160,6212,192160
116,248,192390,6212,192390
116,248,192860,6212,192860
117,250,193080,6212,193080
117,250,194080,6212,194080
117,250,194890,6212,194890
117,250,195890,6212,195890
118,252,196700,6212,196700
118,252,196700,6212,196700
118,252,197170,6212,197170
119,254,198170,6212,198170
119,254,199170,6212,199170
119,254,199980,6212,199980
120,258,200980,6212,200980
120,258,201980,6212,201980
121,260,202450,6212,202450
121,260,203450,6212,203450
121,260,204260,6212,204260
122,262,205260,6212,205260
122,262,205730,6212,205730
123,270,205730,6212,205730
124,272,206540,6212,206540
124,272,207350,6212,207350
124,272,207350,6212,207350
124,272,208350,6212,208350
124,272,209350,6212,209350
125,274,209580,6212,209580
126,276,211580,6212,211580
126,276,211580,6212,211580
126,276,212390,6212,212390
126,276,212390,6212,212390
127,278,213390,6212,213390
127,278,214390,6212,214390
128,280,215200,6212,215200
129,282,216200,6212,216200
129,282,217200,6212,217200
130,284,218200,6212,218200
130,284,219010,6212,219010
130,284,219330,6212,219330
131,286,220140,6212,220140
