ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1286416.02,20.86,0.36,205726.08,3.34
1286399.83,20.86,0.37,205996.88,3.34
1286194.85,20.86,0.37,205939.48,3.34
1285989.88,20.86,0.37,205939.48,3.34
1285784.9,20.86,0.37,205882.08,3.34
1285579.92,20.86,0.37,205882.08,3.34
1285374.95,20.86,0.37,205883.67,3.34
1285169.97,20.86,0.37,205824.68,3.34
1284720.02,20.86,0.36,205268.06,3.33
1284720.02,20.86,0.36,205268.06,3.33
1284521.81,20.86,0.36,205180.57,3.33
1284521.81,20.86,0.36,205180.57,3.33
1284521.81,20.86,0.36,205180.57,3.33
1284316.83,20.86,0.36,205182.16,3.33
1283866.88,20.85,0.36,204625.53,3.32
1283866.88,20.85,0.36,204625.53,3.32
1284101.31,20.86,0.36,204716.13,3.33
1283721.9,20.85,0.36,204568.13,3.32
1283956.33,20.86,0.36,205051.77,3.33
1283751.36,20.86,0.36,204992.79,3.33
1283751.36,20.86,0.36,204992.79,3.33
1283998.59,20.87,0.37,204698.43,3.33
1284231.89,20.87,0.38,204443.79,3.32
1283783.16,20.87,0.37,203888.39,3.31
1283403.75,20.86,0.37,203524.75,3.31
1283295.02,20.86,0.37,203309.35,3.31
1283295.02,20.86,0.37,203315.04,3.31
1283196.29,20.86,0.37,203109.63,3.3
1282991.31,20.86,0.37,203124.92,3.3
1282991.31,20.86,0.37,203407.57,3.31
1283122.58,20.87,0.37,203576.21,3.31
1282398.62,20.86,0.36,202809.8,3.3
1282193.64,20.86,0.36,202737.11,3.3
1282428.07,20.86,0.37,202827.7,3.3
1282411.87,20.87,0.37,203129.05,3.31
1282206.9,20.87,0.37,203130.64,3.31
1282001.92,20.87,0.37,203071.65,3.31
1281796.95,20.87,0.37,203086.94,3.31
1281417.54,20.86,0.37,202876.09,3.3
1279777.74,20.86,0.37,202851.72,3.31
1280370.36,20.87,0.38,202786.61,3.31
1280493.59,20.88,0.38,202854.11,3.31
1280493.59,20.88,0.38,202598.19,3.3
1280493.59,20.88,0.38,207519.33,3.38
1280334.82,20.88,0.38,207371.12,3.38
1279940.72,20.87,0.38,207080.46,3.38
1279735.75,20.87,0.38,207007.77,3.38
1279530.77,20.87,0.38,206950.37,3.38
1279325.79,20.87,0.38,206950.37,3.38
1279120.82,20.87,0.38,206892.97,3.38
1279104.62,20.88,0.38,207163.77,3.38
1278899.65,20.88,0.38,207163.77,3.38
1278789.65,20.87,0.38,207053.77,3.38
1277149.84,20.87,0.38,207029.4,3.38
1276944.87,20.88,0.38,206972.0,3.38
1277159.47,20.88,0.38,206914.6,3.38
1276954.49,20.88,0.38,206914.6,3.38
1276749.51,20.88,0.38,206857.2,3.38
1276733.32,20.88,0.39,207450.07,3.39
1276528.34,20.88,0.39,207450.07,3.39
1276323.37,20.88,0.39,207451.66,3.39
1275832.71,20.88,0.38,206419.41,3.38
1276067.14,20.89,0.39,206510.01,3.38
1275862.17,20.89,0.39,206451.02,3.38
1275452.21,20.89,0.39,206393.62,3.38
1275244.0,20.88,0.39,206295.51,3.38
1275323.99,20.89,0.39,206382.84,3.38
1274586.11,20.88,0.38,205644.96,3.37
1274586.11,20.88,0.38,205644.96,3.37
1278543.73,20.94,0.44,207433.27,3.4
1278527.53,20.94,0.45,207734.62,3.4
1278322.56,20.95,0.45,207736.21,3.4
1278322.56,20.95,0.45,207736.21,3.4
1278117.58,20.95,0.45,207677.22,3.4
1278117.58,20.95,0.45,207677.22,3.4
1277738.18,20.94,0.44,207466.37,3.4
1277542.6,20.94,0.44,207273.61,3.4
1277337.63,20.94,0.44,207288.9,3.4
1276613.67,20.93,0.43,206511.3,3.39
1276613.67,20.93,0.43,206511.3,3.39
1276408.69,20.93,0.43,206438.61,3.39
1276203.72,20.93,0.43,206440.19,3.39
1275924.53,20.93,0.43,206173.72,3.38
1275924.53,20.93,0.43,206173.72,3.38
1275719.56,20.93,0.43,206114.74,3.38
1275514.58,20.93,0.43,206057.34,3.38
1275309.61,20.93,0.43,206057.34,3.38
1275528.63,20.93,0.44,205734.77,3.38
1275323.65,20.93,0.44,205677.37,3.38
1275118.68,20.93,0.44,205677.37,3.38
1275446.38,20.94,0.44,205773.65,3.38
1275122.35,20.94,0.44,205619.97,3.38
1274802.35,20.93,0.43,205299.97,3.37
1274597.38,20.93,0.43,205301.56,3.37
1274597.38,20.93,0.43,205301.56,3.37
1274581.18,20.93,0.44,205689.39,3.38
1273871.5,20.93,0.43,204979.72,3.37
1273666.53,20.93,0.43,204920.73,3.37
1273666.53,20.93,0.43,204920.73,3.37
1273814.6,20.93,0.44,204489.85,3.36
1273609.63,20.93,0.44,204432.45,3.36
1273593.43,20.94,0.44,204526.69,3.36
1272954.7,20.93,0.43,203925.33,3.35
1272749.72,20.93,0.43,203925.33,3.35
1272872.96,20.93,0.43,204169.39,3.36
1272667.98,20.93,0.44,204111.99,3.36
1272463.01,20.93,0.44,204111.99,3.36
1272258.03,20.93,0.44,204127.27,3.36
1272053.05,20.93,0.44,204054.59,3.36
1272801.83,20.95,0.45,204304.11,3.36
1272608.52,20.95,0.45,203642.79,3.35
1272608.52,20.95,0.45,203642.79,3.35
1272608.52,20.95,0.45,203642.79,3.35
1273220.49,20.96,0.46,203770.23,3.35
1273097.87,20.96,0.46,203590.55,3.35
1272800.52,20.96,0.46,203219.63,3.35
1273309.87,20.97,0.47,203187.38,3.35
1273819.21,20.98,0.48,203155.14,3.35
1273299.78,20.98,0.48,202593.38,3.34
1273534.21,20.98,0.48,202683.97,3.34
1273329.23,20.98,0.48,202734.34,3.34
1273124.25,20.98,0.48,202626.57,3.34
1273108.06,20.98,0.49,202927.92,3.34
1272903.08,20.98,0.49,202870.52,3.34
1272604.87,20.98,0.48,202684.7,3.34
1272399.9,20.98,0.48,202684.7,3.34
1272194.92,20.98,0.48,202627.3,3.34
1272194.92,20.98,0.48,202627.3,3.34
1271815.51,20.98,0.48,202416.45,3.34
1271815.51,20.98,0.48,202416.45,3.34
1272427.48,20.99,0.49,202543.88,3.34
1272222.5,20.99,0.49,202543.88,3.34
1272222.5,20.99,0.49,202744.59,3.34
1272222.5,20.99,0.49,204197.03,3.37
1271807.37,20.98,0.49,203714.84,3.36
1271602.39,20.98,0.49,203657.44,3.36
1272180.84,20.99,0.5,203688.65,3.36
1271975.86,20.99,0.5,203688.65,3.36
1272303.57,21.0,0.5,203631.25,3.36
1272098.59,21.0,0.5,203633.66,3.36
1271774.56,21.0,0.5,203888.32,3.37
1271569.58,21.0,0.5,203812.06,3.37
1271232.1,20.99,0.5,203484.57,3.36
1271232.1,20.99,0.5,203484.57,3.36
1271466.53,21.0,0.5,203766.16,3.37
1271789.35,21.0,0.51,203575.26,3.36
1271260.25,21.0,0.5,203051.82,3.35
1270880.84,20.99,0.5,202774.85,3.35
1271208.55,21.0,0.5,202717.45,3.35
1275149.03,21.07,0.57,209035.42,3.45
1274944.06,21.07,0.57,208978.02,3.45
1274441.37,21.06,0.56,209106.23,3.46
1274425.18,21.06,0.56,209187.89,3.46
1273877.75,21.05,0.56,208640.47,3.45
1273861.56,21.06,0.56,208734.71,3.45
1273656.58,21.06,0.56,208734.71,3.45
1273656.58,21.06,0.56,208734.71,3.45
1273451.6,21.06,0.56,208749.99,3.45
1273435.41,21.06,0.56,208898.02,3.45
1273435.41,21.06,0.56,208898.02,3.45
1273558.64,21.06,0.57,208965.52,3.46
1273334.64,21.06,0.56,208745.95,3.45
1273126.43,21.06,0.56,208819.9,3.45
1273454.14,21.07,0.57,209141.05,3.46
1273437.94,21.07,0.57,209235.29,3.46
1273437.94,21.07,0.57,209235.29,3.46
1273122.72,21.06,0.57,209041.84,3.46
1272905.26,21.06,0.56,208835.3,3.46
1272700.28,21.06,0.56,208762.61,3.45
1272541.5,21.06,0.56,208614.12,3.45
1272756.1,21.07,0.57,209055.35,3.46
1272756.1,21.07,0.57,209055.35,3.46
1272551.12,21.07,0.57,208997.95,3.46
1272534.93,21.07,0.57,209092.19,3.46
1272329.95,21.07,0.57,209092.19,3.46
1272329.95,21.07,0.57,209092.19,3.46
1272124.98,21.07,0.57,209107.48,3.46
1272124.98,21.07,0.57,209107.48,3.46
1272367.7,21.07,0.58,209411.43,3.47
1272162.72,21.07,0.58,209338.74,3.47
1272162.72,21.07,0.58,209338.74,3.47
1271957.75,21.07,0.58,209340.32,3.47
1271752.77,21.07,0.58,209281.34,3.47
1271547.8,21.07,0.58,209296.63,3.47
1271389.02,21.07,0.57,209149.05,3.47
1271184.04,21.07,0.57,209076.36,3.47
1271184.04,21.07,0.57,209076.36,3.47
1270979.07,21.07,0.57,209018.96,3.47
1270774.09,21.07,0.57,209018.96,3.47
1270569.11,21.07,0.57,209034.25,3.47
1270201.42,21.07,0.57,208837.84,3.46
1270201.42,21.07,0.57,208837.84,3.46
1269996.44,21.07,0.57,208765.15,3.46
1269980.25,21.07,0.57,208859.39,3.47
1269775.27,21.07,0.57,208802.0,3.46
1269898.5,21.07,0.58,209046.05,3.47
1269898.5,21.07,0.58,209046.05,3.47
1270113.1,21.08,0.58,208988.65,3.47
1270096.91,21.08,0.59,209581.52,3.48
1269891.93,21.08,0.59,209581.52,3.48
1269891.93,21.08,0.59,209581.52,3.48
1269891.93,21.08,0.59,209581.52,3.48
1269891.93,21.08,0.59,209581.52,3.48
1269891.93,21.08,0.59,209581.52,3.48
1269891.93,21.08,0.59,209557.98,3.48
1270125.24,21.09,0.59,209303.34,3.48
1269920.26,21.09,0.59,209245.94,3.48
1269810.26,21.09,0.59,209135.94,3.47
1269810.26,21.09,0.59,209141.19,3.47
1269810.26,21.09,0.59,212128.24,3.52
1274654.45,21.17,0.67,216972.95,3.6
1274888.88,21.18,0.68,217063.55,3.61
1274683.9,21.18,0.68,217063.55,3.61
1274478.93,21.18,0.68,217065.95,3.61
1274462.73,21.18,0.68,217367.3,3.61
1274173.15,21.17,0.68,217026.78,3.61
1273968.18,21.17,0.68,216950.52,3.61
1273951.98,21.18,0.68,217044.76,3.61
1273228.02,21.17,0.67,216267.16,3.6
1272848.61,21.16,0.67,216056.31,3.59
1272655.3,21.16,0.67,215394.99,3.58
1272357.96,21.16,0.67,215024.06,3.58
1272357.96,21.16,0.67,215024.06,3.58
1272152.98,21.16,0.67,214966.66,3.58
1272136.79,21.17,0.67,215114.69,3.58
1272748.75,21.18,0.68,215242.13,3.58
1272543.77,21.18,0.68,215242.13,3.58
1272338.8,21.18,0.68,215243.71,3.58
1272338.8,21.18,0.68,215243.71,3.58
1272120.68,21.18,0.68,215007.72,3.58
1272120.68,21.18,0.68,215007.72,3.58
