ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
53,88,43860,6212,43860
54,90,44860,6212,44860
55,92,45860,6212,45860
55,92,46670,6212,46670
56,94,47320,6212,47320
57,96,47790,6212,47790
58,98,48790,6212,48790
59,100,49790,6212,49790
59,100,50790,6212,50790
59,100,51790,6212,51790
60,102,52260,6212,52260
60,102,53070,6212,53070
61,104,54070,6212,54070
62,108,54070,6212,54070
63,110,54720,6212,54720
64,112,54720,6212,54720
65,114,55190,6212,55190
65,114,55350,6212,55350
66,116,56350,6212,56350
67,118,57350,6212,57350
67,118,58160,6212,58160
67,118,58970,6212,58970
68,120,59440,6212,59440
68,120,60250,6212,60250
69,122,61250,6212,61250
69,122,61250,6212,61250
69,122,62250,6212,62250
70,124,63250,6212,63250
71,128,63250,6212,63250
71,128,63570,6212,63570
71,128,64030,6212,64030
71,128,64840,6212,64840
72,130,64840,6212,64840
72,130,65160,6212,65160
73,134,65160,6212,65160
74,136,66160,6212,66160
74,136,67160,6212,67160
75,138,67630,6212,67630
76,140,68630,6212,68630
76,140,69440,6212,69440
77,142,70440,6212,70440
78,144,71090,6212,71090
78,144,72090,6212,72090
79,146,72560,6212,72560
79,146,73370,6212,73370
80,148,74370,6212,74370
80,148,74830,6212,74830
81,150,75300,6212,75300
82,152,76300,6212,76300
82,152,76770,6212,76770
83,154,77770,6212,77770
83,154,77930,6212,77930
84,156,78930,6212,78930
85,158,79930,6212,79930
86,160,80930,6212,80930
87,162,81930,6212,81930
87,162,81930,6212,81930
88,164,82400,6212,82400
88,164,82630,6212,82630
89,166,83100,6212,83100
89,166,83910,6212,83910
89,166,84910,6212,84910
90,168,85380,6212,85380
90,168,86190,6212,86190
90,168,87000,6212,87000
91,170,88000,6212,88000
91,170,88810,6212,88810
91,170,89810,6212,89810
92,172,90810,6212,90810
93,174,90810,6212,90810
94,176,90810,6212,90810
95,178,91810,6212,91810
96,180,92810,6212,92810
97,182,93810,6212,93810
97,182,94280,6212,94280
98,184,94750,6212,94750
98,184,94750,6212,94750
99,186,95750,6212,95750
100,188,96750,6212,96750
101,190,97220,6212,97220
101,190,97220,6212,97220
102,192,98220,6212,98220
103,194,99220,6212,99220
104,196,99690,6212,99690
104,196,100160,6212,100160
105,198,100160,6212,100160
106,200,100160,6212,100160
107,202,100160,6212,100160
108,204,101160,6212,101160
109,206,102160,6212,102160
110,208,102630,6212,102630
111,210,103100,6212,103100
112,212,103100,6212,103100
112,212,103910,6212,103910
112,212,104720,6212,104720
112,212,104720,6212,104720
112,212,105040,6212,105040
112,212,105360,6212,105360
113,220,113360,6212,113360
113,220,113680,6212,113680
113,220,114490,6212,114490
114,222,115490,6212,115490
115,224,116490,6212,116490
115,224,117300,6212,117300
115,224,118300,6212,118300
115,224,118300,6212,118300
115,224,118850,6212,118850
115,224,119320,6212,119320
116,226,120320,6212,120320
117,228,121320,6212,121320
118,230,122320,6212,122320
118,230,122910,6212,122910
118,230,123910,6212,123910
118,230,124910,6212,124910
118,230,125230,6212,125230
118,230,126040,6212,126040
119,232,126690,6212,126690
119,232,127160,6212,127160
119,232,127710,6212,127710
119,232,128520,6212,128520
120,234,128990,6212,128990
120,234,129990,6212,129990
121,236,130460,6212,130460
122,238,131460,6212,131460
122,238,132270,6212,132270
122,238,132490,6212,132490
123,240,132810,6212,132810
124,242,133810,6212,133810
124,242,133810,6212,133810
124,242,134810,6212,134810
124,242,135620,6212,135620
124,242,136090,6212,136090
125,244,136320,6212,136320
126,246,136320,6212,136320
126,246,137130,6212,137130
126,246,137940,6212,137940
126,246,138750,6212,138750
127,248,139750,6212,139750
127,248,139910,6212,139910
127,248,140720,6212,140720
128,250,141190,6212,141190
128,250,142000,6212,142000
128,250,142810,6212,142810
129,252,143810,6212,143810
129,252,143810,6212,143810
130,256,144810,6212,144810
131,258,144810,6212,144810
132,260,145810,6212,145810
133,262,146280,6212,146280
133,262,146510,6212,146510
134,264,147160,6212,147160
134,264,147630,6212,147630
134,264,148440,6212,148440
135,266,149440,6212,149440
135,266,150250,6212,150250
136,268,150710,6212,150710
137,270,151180,6212,151180
137,270,151990,6212,151990
137,270,152220,6212,152220
137,270,153220,6212,153220
137,270,153690,6212,153690
138,272,154340,6212,154340
138,272,155150,6212,155150
139,274,155310,6212,155310
139,274,155310,6212,155310
139,274,156120,6212,156120
140,276,157120,6212,157120
141,278,157770,6212,157770
142,280,158240,6212,158240
142,280,158290,6212,158290
142,280,158610,6212,158610
142,280,159420,6212,159420
142,280,159890,6212,159890
143,282,160540,6212,160540
144,284,161540,6212,161540
145,286,162540,6212,162540
145,286,163540,6212,163540
145,286,164000,6212,164000
145,286,164000,6212,164000
146,290,165000,6212,165000
146,290,165000,6212,165000
146,290,165000,6212,165000
147,292,166000,6212,166000
147,292,166320,6212,166320
147,292,167130,6212,167130
147,292,168130,6212,168130
147,292,169130,6212,169130
148,294,170130,6212,170130
148,294,170590,6212,170590
148,294,171400,6212,171400
148,294,172400,6212,172400
149,298,173400,6212,173400
149,298,174210,6212,174210
149,298,175020,6212,175020
149,298,175020,6212,175020
149,298,176020,6212,176020
149,298,177020,6212,177020
150,302,178020,6212,178020
150,302,178830,6212,178830
150,302,179300,6212,179300
151,304,180300,6212,180300
151,304,181110,6212,181110
151,304,181430,6212,181430
151,304,181430,6212,181430
151,304,181430,6212,181430
151,304,182430,6212,182430
152,306,183430,6212,183430
152,306,183650,6212,183650
152,306,183650,6212,183650
152,306,184460,6212,184460
153,310,185460,6212,185460
153,310,186460,6212,186460
153,310,187270,6212,187270
153,310,187740,6212,187740
153,310,188550,6212,188550
153,310,188550,6212,188550
154,314,189550,6212,189550
154,314,189820,6212,189820
154,314,190470,6212,190470
154,314,191280,6212,191280
154,314,192090,6212,192090
154,314,192560,6212,192560
154,314,193020,6212,193020
155,316,194020,6212,194020
155,316,194340,6212,194340
155,316,194810,6212,194810
155,316,195620,6212,195620
155,316,196430,6212,196430
156,320,197430,6212,197430
156,320,198430,6212,198430
156,320,199240,6212,199240
156,320,200240,6212,200240
157,324,201050,6212,201050
157,324,202050,6212,202050
157,324,203050,6212,203050
157,324,203050,6212,203050
157,324,203050,6212,203050
157,324,203860,6212,203860
157,324,204330,6212,204330
158,328,205140,6212,205140
158,328,205950,6212,205950
158,328,206320,6212,206320
158,328,206970,6212,206970
158,328,206970,6212,206970
159,330,207970,6212,207970
159,330,207970,6212,207970
159,330,208780,6212,208780
160,332,209780,6212,209780
160,332,210780,6212,210780
161,336,211590,6212,211590
161,336,212400,6212,212400
161,336,212870,6212,212870
161,336,212870,6212,212870
161,336,212870,6212,212870
161,336,213680,6212,213680
161,336,214680,6212,214680
161,336,215000,6212,215000
162,340,215320,6212,215320
162,340,216130,6212,216130
162,340,217130,6212,217130
162,340,217450,6212,217450
163,342,218450,6212,218450
163,342,218450,6212,218450
163,342,218920,6212,218920
163,342,218920,6212,218920
163,342,219150,6212,219150
163,342,220150,6212,220150
164,346,221150,6212,221150
164,346,222150,6212,222150
165,350,223150,6212,223150
165,350,223150,6212,223150
165,350,223150,6212,223150
165,350,223310,6212,223310
165,350,224310,6212,224310
166,354,224770,6212,224770
166,354,225240,6212,225240
167,356,226240,6212,226240
167,356,226350,6212,226350
167,356,227160,6212,227160
167,356,227630,6212,227630
167,356,228630,6212,228630
168,360,229280,6212,229280
168,360,230090,6212,230090
