ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
874941.43,14.27,0.68,187986.28,3.07
875338.24,14.28,0.69,188012.16,3.07
875607.06,14.29,0.69,188011.96,3.07
875669.83,14.29,0.69,187627.42,3.06
875533.87,14.29,0.69,187774.16,3.06
875520.8,14.29,0.69,187611.91,3.06
875572.49,14.29,0.7,187612.09,3.06
875624.18,14.3,0.7,187735.19,3.07
875488.22,14.3,0.7,187735.0,3.07
875539.92,14.3,0.7,187858.1,3.07
875403.96,14.3,0.7,187838.49,3.07
875268.0,14.3,0.7,187838.29,3.07
875268.0,14.3,0.7,187838.29,3.07
875268.0,14.3,0.7,187827.99,3.07
875132.04,14.3,0.7,187827.8,3.07
874996.08,14.3,0.7,187827.61,3.07
874860.12,14.3,0.7,187827.41,3.07
875503.7,14.31,0.71,187999.54,3.07
875772.53,14.32,0.72,188074.02,3.07
875772.53,14.32,0.72,188073.82,3.07
876113.46,14.32,0.73,187824.09,3.07
875977.5,14.32,0.73,187824.35,3.07
876246.32,14.33,0.73,187824.15,3.07
876246.32,14.33,0.73,187723.37,3.07
876110.36,14.33,0.73,187723.18,3.07
875974.4,14.33,0.73,187699.09,3.07
876243.23,14.34,0.74,187698.9,3.07
876534.45,14.34,0.75,187508.95,3.07
878473.94,14.37,0.78,188866.97,3.09
878473.94,14.37,0.78,188764.06,3.09
880136.1,14.4,0.8,189835.56,3.11
880000.14,14.4,0.8,189835.56,3.11
879864.18,14.4,0.8,189732.65,3.11
880133.01,14.41,0.81,189732.45,3.11
880401.83,14.41,0.82,189732.26,3.11
880401.83,14.41,0.82,189732.07,3.11
880453.52,14.41,0.82,189855.17,3.11
880505.21,14.42,0.82,189855.35,3.11
880505.21,14.42,0.82,189752.44,3.11
880839.75,14.42,0.83,189769.98,3.11
881174.28,14.43,0.83,189823.33,3.11
880086.6,14.43,0.83,189823.33,3.11
880421.13,14.44,0.84,189823.14,3.11
880472.83,14.44,0.84,189823.32,3.11
880336.87,14.44,0.84,189823.13,3.11
880200.91,14.44,0.84,189822.93,3.11
880252.6,14.44,0.85,189823.11,3.11
880116.64,14.44,0.85,189822.92,3.12
880116.64,14.44,0.85,189720.01,3.11
880388.67,14.45,0.85,189987.24,3.12
880657.5,14.45,0.86,189987.05,3.12
880521.54,14.45,0.86,189903.76,3.12
881183.7,14.47,0.87,189975.25,3.12
881047.74,14.47,0.87,189872.34,3.12
881283.51,14.47,0.88,189872.15,3.12
881147.55,14.47,0.88,189852.54,3.12
881011.59,14.47,0.88,189852.34,3.12
881346.12,14.48,0.88,189852.15,3.12
881397.81,14.48,0.89,189852.33,3.12
881581.53,14.49,0.89,189852.13,3.12
881850.35,14.49,0.9,189851.94,3.12
882122.39,14.5,0.9,189848.47,3.12
882174.08,14.5,0.91,189971.57,3.12
882442.9,14.51,0.91,189971.38,3.12
882306.94,14.51,0.91,189971.19,3.12
882575.77,14.51,0.92,189968.92,3.12
882439.81,14.51,0.92,189968.73,3.12
882491.5,14.52,0.92,189968.36,3.12
882895.22,14.52,0.93,189969.02,3.12
883229.76,14.53,0.93,190510.9,3.13
883093.8,14.53,0.93,190506.38,3.13
883093.8,14.53,0.93,190509.66,3.13
882957.84,14.53,0.93,190490.04,3.13
883009.53,14.53,0.94,190608.35,3.14
883278.35,14.54,0.94,190682.83,3.14
883675.16,14.54,0.95,190683.49,3.14
883675.16,14.54,0.95,190806.85,3.14
883726.85,14.55,0.95,190925.16,3.14
883778.54,14.55,0.95,190925.34,3.14
883830.23,14.55,0.96,190925.34,3.14
883694.27,14.55,0.96,190924.46,3.14
883988.86,14.56,0.96,190924.26,3.14
884040.55,14.56,0.97,190924.44,3.14
884309.37,14.57,0.97,190998.92,3.15
884361.07,14.57,0.97,190999.1,3.15
884412.76,14.57,0.98,191122.2,3.15
884276.8,14.57,0.98,191122.2,3.15
884276.8,14.57,0.98,191131.85,3.15
884140.84,14.57,0.98,191028.95,3.15
884140.84,14.57,0.98,190926.04,3.15
884004.88,14.57,0.98,190925.84,3.15
884273.7,14.58,0.98,190925.65,3.15
884670.51,14.59,0.99,190925.46,3.15
884854.22,14.59,0.99,190925.26,3.15
885123.04,14.6,1.0,190999.74,3.15
885174.74,14.6,1.0,191122.85,3.15
885038.78,14.6,1.0,191019.94,3.15
885090.47,14.6,1.01,191020.12,3.15
885366.93,14.61,1.01,191019.92,3.15
885635.76,14.61,1.02,191244.26,3.16
885687.45,14.62,1.02,191367.36,3.16
886084.25,14.62,1.03,191367.17,3.16
885948.29,14.62,1.03,191366.97,3.16
886217.12,14.63,1.03,191441.45,3.16
886400.83,14.63,1.04,191441.26,3.16
886463.59,14.64,1.04,191056.71,3.15
886758.18,14.64,1.04,191056.52,3.15
886758.18,14.64,1.04,190830.51,3.15
886809.87,14.64,1.05,190426.31,3.14
886673.91,14.64,1.05,190426.12,3.15
886857.62,14.65,1.05,190425.92,3.15
887126.45,14.65,1.06,190425.73,3.15
887095.57,14.65,1.06,190425.73,3.15
887430.11,14.66,1.06,190425.73,3.15
887481.8,14.66,1.07,190548.83,3.15
887750.62,14.67,1.07,190548.64,3.15
887934.34,14.67,1.08,190548.45,3.15
887798.38,14.67,1.08,190548.25,3.15
887662.42,14.67,1.08,190514.08,3.15
887526.46,14.67,1.08,190514.35,3.15
887802.92,14.68,1.08,190514.15,3.15
888551.21,14.69,1.1,190982.27,3.16
888415.25,14.69,1.1,190982.08,3.16
888415.25,14.69,1.1,190981.7,3.16
888415.25,14.69,1.1,190981.51,3.16
888279.29,14.69,1.1,190981.77,3.16
888613.83,14.7,1.1,190983.32,3.16
888665.52,14.7,1.11,190983.5,3.16
888529.56,14.7,1.11,190983.31,3.16
888393.6,14.7,1.11,190983.31,3.16
888257.64,14.7,1.11,190983.11,3.16
888534.1,14.71,1.11,190917.12,3.16
888585.79,14.71,1.11,190917.3,3.16
888449.83,14.71,1.11,190917.11,3.16
888313.87,14.71,1.11,190917.11,3.16
888365.56,14.71,1.12,190917.29,3.16
888417.26,14.72,1.12,190917.47,3.16
888417.26,14.72,1.12,190917.47,3.16
888281.3,14.72,1.12,190917.27,3.16
888145.34,14.72,1.12,190883.1,3.16
888460.26,14.72,1.13,190666.42,3.16
888511.95,14.73,1.13,190666.6,3.16
888780.78,14.73,1.14,190666.6,3.16
888644.82,14.73,1.14,190666.4,3.16
888696.51,14.74,1.14,190789.51,3.16
889031.04,14.74,1.15,190801.31,3.16
889031.04,14.74,1.15,190804.58,3.16
889031.04,14.74,1.15,190701.67,3.16
888895.08,14.74,1.15,190701.67,3.16
888759.12,14.74,1.15,190701.48,3.16
889162.84,14.75,1.15,190703.05,3.16
889162.84,14.75,1.15,190703.05,3.16
889214.54,14.75,1.16,190826.16,3.17
889078.58,14.75,1.16,190825.96,3.17
888942.62,14.75,1.16,190825.77,3.17
888587.96,14.75,1.15,190321.92,3.16
889231.54,14.76,1.16,190494.05,3.16
889283.24,14.76,1.17,190494.23,3.16
889283.24,14.76,1.17,190494.03,3.16
889147.28,14.76,1.17,190493.84,3.16
889516.4,14.77,1.17,190496.36,3.16
889700.12,14.78,1.18,190496.36,3.16
889751.81,14.78,1.18,190496.54,3.16
889803.5,14.78,1.19,190619.64,3.17
890072.33,14.79,1.19,190694.12,3.17
890701.13,14.8,1.2,190706.31,3.17
890565.17,14.8,1.2,190706.31,3.17
890899.71,14.8,1.21,190922.47,3.17
891168.53,14.81,1.21,190996.95,3.17
891220.22,14.81,1.22,190997.13,3.17
891271.92,14.82,1.22,190997.31,3.18
891135.96,14.82,1.22,190894.14,3.17
891000.0,14.82,1.22,190859.97,3.17
891051.69,14.82,1.22,190983.08,3.18
890915.73,14.82,1.22,190982.7,3.18
890967.42,14.82,1.23,191105.81,3.18
890831.46,14.82,1.23,191002.9,3.18
890695.5,14.82,1.23,190983.29,3.18
890695.5,14.82,1.23,190919.84,3.18
890695.5,14.82,1.23,190919.64,3.18
890747.19,14.83,1.23,191042.75,3.18
891016.02,14.83,1.24,191117.23,3.18
891078.78,14.83,1.24,190732.68,3.18
891130.47,14.84,1.24,190732.68,3.18
891458.31,14.84,1.25,190738.53,3.18
891642.03,14.85,1.25,190983.92,3.18
893304.19,14.88,1.28,192055.42,3.2
893168.23,14.88,1.28,192021.25,3.2
893916.52,14.89,1.29,192489.37,3.21
893968.21,14.89,1.3,192489.55,3.21
893832.25,14.89,1.3,192489.81,3.21
893696.29,14.89,1.3,192451.29,3.21
893747.99,14.89,1.3,192451.29,3.21
893799.68,14.9,1.3,192451.47,3.21
894068.5,14.9,1.31,192525.95,3.21
894068.5,14.9,1.31,192525.76,3.21
894068.5,14.9,1.31,192525.56,3.21
894131.27,14.91,1.31,192141.02,3.2
893995.31,14.91,1.31,192141.02,3.2
894329.84,14.91,1.32,193146.13,3.22
894664.37,14.92,1.32,193199.49,3.22
894309.72,14.92,1.32,192695.64,3.21
894173.76,14.92,1.32,192695.45,3.21
894519.36,14.92,1.33,192563.85,3.21
894383.4,14.92,1.33,192563.66,3.21
894383.4,14.92,1.33,192460.75,3.21
894038.62,14.92,1.32,192460.75,3.21
894038.62,14.92,1.32,192461.11,3.21
894435.42,14.93,1.33,192486.98,3.21
894299.46,14.93,1.33,192486.79,3.21
894163.5,14.93,1.33,192487.05,3.21
894027.54,14.93,1.33,192486.86,3.21
893891.58,14.93,1.33,192448.5,3.21
893891.58,14.93,1.33,192345.59,3.21
893891.58,14.93,1.33,192345.59,3.21
894186.17,14.93,1.34,192801.88,3.22
894050.21,14.93,1.34,192801.69,3.22
894326.67,14.94,1.34,192801.49,3.22
894595.49,14.94,1.35,192801.49,3.22
894459.53,14.94,1.35,192698.32,3.22
894779.75,14.95,1.35,192832.76,3.22
894831.44,14.95,1.36,192955.86,3.22
895100.26,14.96,1.36,193205.29,3.23
894964.3,14.96,1.36,193205.1,3.23
895630.09,14.97,1.37,193326.02,3.23
895681.78,14.97,1.38,193260.24,3.23
895545.82,14.97,1.38,193260.04,3.23
895545.82,14.97,1.38,193263.32,3.23
895597.51,14.98,1.38,193263.5,3.23
895866.34,14.98,1.39,193263.3,3.23
895918.03,14.98,1.39,193386.41,3.23
895918.03,14.98,1.39,193283.5,3.23
896101.74,14.99,1.39,193368.13,3.23
896153.43,14.99,1.4,193368.13,3.24
896205.12,15.0,1.4,193368.13,3.24
896256.82,15.0,1.4,193491.24,3.24
896120.86,15.0,1.4,193491.24,3.24
896524.58,15.01,1.41,193491.24,3.24
896388.62,15.01,1.41,193491.24,3.24
896528.02,15.01,1.41,193487.28,3.24
896392.06,15.01,1.41,193487.09,3.24
896392.06,15.01,1.41,193487.09,3.24
896726.59,15.02,1.42,193484.96,3.24
896726.59,15.02,1.42,193485.42,3.24
896590.63,15.02,1.42,193485.68,3.24
896774.34,15.02,1.43,193485.49,3.24
896958.06,15.03,1.43,193485.29,3.24
897292.59,15.03,1.44,193485.1,3.24
897292.59,15.03,1.44,193494.75,3.24
897561.41,15.04,1.44,193494.56,3.24
897613.11,15.04,1.45,193494.56,3.24
897885.14,15.05,1.45,193494.18,3.24
898219.67,15.05,1.46,193493.99,3.24
898083.71,15.05,1.46,193493.79,3.24
897947.75,15.05,1.46,193493.79,3.24
897811.79,15.05,1.46,193474.18,3.24
898088.26,15.06,1.46,193473.8,3.24
898139.95,15.06,1.47,193473.98,3.24
898003.99,15.06,1.47,193473.98,3.25
897868.03,15.06,1.47,193469.47,3.25
898051.74,15.07,1.47,193469.47,3.25
898103.43,15.07,1.48,193592.57,3.25
897967.47,15.07,1.48,193491.05,3.25
898019.17,15.07,1.48,193588.68,3.25
898353.7,15.08,1.48,193605.68,3.25
898353.7,15.08,1.48,193522.39,3.25
898217.74,15.08,1.49,193522.19,3.25
898269.43,15.08,1.49,193522.37,3.25
898453.14,15.09,1.49,193522.37,3.25
898317.18,15.09,1.49,193502.76,3.25
898713.99,15.1,1.5,193502.57,3.25
898982.81,15.1,1.51,193536.33,3.25
898982.81,15.1,1.51,193539.61,3.25
898982.81,15.1,1.51,193438.0,3.25
899379.62,15.11,1.51,194005.15,3.26
898979.07,15.1,1.51,194005.15,3.26
898979.07,15.1,1.51,194004.96,3.26
899255.53,15.11,1.51,193981.35,3.26
899524.36,15.12,1.52,194445.85,3.27
899576.05,15.12,1.52,194589.05,3.27
899890.97,15.13,1.53,194372.36,3.27
900205.9,15.13,1.54,194169.75,3.26
900602.7,15.14,1.55,194169.75,3.26
900786.41,15.15,1.55,194254.39,3.27
900786.41,15.15,1.55,194254.19,3.27
900970.13,15.15,1.56,194629.25,3.27
900834.17,15.15,1.56,194629.06,3.27
900834.17,15.15,1.56,194526.15,3.27
901149.09,15.16,1.56,194323.54,3.27
901013.13,15.16,1.56,194220.64,3.27
901064.82,15.16,1.57,194343.74,3.27
900710.16,15.16,1.56,193839.89,3.26
900978.99,15.16,1.57,193914.37,3.26
901247.81,15.17,1.57,193914.18,3.26
901299.5,15.17,1.58,193914.36,3.26
901163.54,15.17,1.58,193861.13,3.26
901347.26,15.18,1.58,193861.13,3.26
901211.3,15.18,1.58,193841.52,3.26
901480.12,15.18,1.59,194090.95,3.27
901748.95,15.19,1.59,194090.76,3.27
901800.64,15.19,1.6,194052.7,3.27
901664.68,15.19,1.6,194178.94,3.27
901727.44,15.2,1.6,193794.4,3.27
901727.44,15.2,1.6,193797.93,3.27
901591.48,15.2,1.6,193797.74,3.27
901455.52,15.2,1.6,193797.54,3.27
901724.35,15.2,1.61,193797.17,3.27
901993.17,15.21,1.61,193871.65,3.27
901993.17,15.21,1.61,193768.74,3.27
902696.31,15.22,1.62,193757.8,3.27
902560.35,15.22,1.62,193757.8,3.27
902560.35,15.22,1.62,193757.43,3.27
902424.39,15.22,1.63,193654.52,3.27
902288.43,15.22,1.63,193654.32,3.27
902622.97,15.23,1.63,193654.13,3.27
902487.01,15.23,1.63,193650.66,3.27
902351.05,15.23,1.63,193650.47,3.27
902402.74,15.23,1.64,193773.57,3.27
902266.78,15.23,1.64,193773.38,3.27
902535.6,15.24,1.64,193773.18,3.27
902587.29,15.24,1.64,193773.36,3.27
902856.12,15.25,1.65,193847.84,3.27
902484.06,15.24,1.65,193620.65,3.27
902872.64,15.25,1.65,193890.02,3.27
902736.68,15.25,1.65,193889.82,3.28
902600.72,15.25,1.65,193855.66,3.28
902464.76,15.25,1.65,193855.92,3.28
902328.8,15.25,1.65,194189.52,3.28
902649.01,15.26,1.66,194323.95,3.28
902649.01,15.26,1.66,194327.23,3.28
902513.05,15.26,1.66,194327.03,3.28
902909.86,15.26,1.67,194326.84,3.29
902909.86,15.26,1.67,194326.64,3.29
902961.55,15.27,1.67,194326.64,3.29
903197.32,15.27,1.68,194326.45,3.29
903473.78,15.28,1.68,194343.41,3.29
903788.7,15.29,1.69,194140.8,3.28
903652.74,15.29,1.69,194121.19,3.28
903704.43,15.29,1.69,194121.19,3.28
903767.2,15.29,1.7,193736.65,3.28
903950.91,15.3,1.7,193736.45,3.28
903814.95,15.3,1.7,193716.84,3.28
904149.48,15.3,1.71,193716.64,3.28
904043.12,15.3,1.71,193716.64,3.28
904043.12,15.3,1.71,193716.68,3.28
904473.57,15.31,1.72,194647.29,3.3
904473.57,15.31,1.72,194544.38,3.29
904877.29,15.32,1.72,194544.19,3.29
905149.33,15.32,1.73,194526.63,3.29
