ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1582447.04,25.83,0.33,201508.19,3.29
1582450.96,25.83,0.33,201510.79,3.29
1582450.96,25.83,0.33,201510.79,3.29
1582244.77,25.83,0.33,201505.24,3.29
1581998.54,25.83,0.33,201502.63,3.29
1581792.34,25.83,0.33,201499.47,3.29
1581774.18,25.83,0.34,201587.33,3.29
1581774.18,25.83,0.34,201587.33,3.29
1581774.18,25.83,0.34,201587.33,3.29
1581572.64,25.83,0.34,201570.81,3.29
1581572.64,25.83,0.34,201570.81,3.29
1581572.64,25.83,0.34,201570.81,3.29
1581572.64,25.83,0.34,201570.81,3.29
1581691.18,25.84,0.34,201556.13,3.29
1581673.02,25.84,0.34,202011.91,3.3
1581673.02,25.84,0.34,202011.91,3.3
1581408.46,25.84,0.34,201978.51,3.3
1581202.26,25.84,0.34,201935.07,3.3
1581429.78,25.85,0.35,202000.67,3.3
1581168.71,25.85,0.35,201986.4,3.3
1580962.51,25.85,0.35,202263.22,3.31
1580944.35,25.85,0.35,202188.84,3.31
1580738.15,25.85,0.35,202366.09,3.31
1580531.96,25.85,0.35,202290.96,3.31
1580531.96,25.85,0.35,202290.96,3.31
1580592.21,25.86,0.35,202275.33,3.31
1580386.01,25.86,0.35,202269.78,3.31
1580386.01,25.86,0.35,202269.78,3.31
1579777.8,25.85,0.35,201668.16,3.3
1579404.09,25.85,0.34,201305.06,3.29
1579197.89,25.85,0.34,201230.83,3.29
1579179.73,25.85,0.34,201409.21,3.3
1579161.57,25.85,0.35,201509.17,3.3
1578955.37,25.85,0.35,201512.08,3.3
1578937.21,25.86,0.35,201612.04,3.3
1578731.01,25.86,0.35,201596.78,3.3
1578958.53,25.86,0.35,201684.04,3.3
1578752.33,25.86,0.35,201878.76,3.31
1578486.61,25.86,0.35,202111.07,3.31
1578468.45,25.87,0.36,202211.03,3.31
