ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
39,71,53910,6212,53910
40,75,57910,6212,57910
40,75,57910,6212,57910
41,76,58720,6212,58720
41,76,58720,6212,58720
42,77,59530,6212,59530
43,79,60530,6212,60530
44,80,61530,6212,61530
44,80,61530,6212,61530
44,80,62340,6212,62340
45,82,63340,6212,63340
45,82,64340,6212,64340
46,84,65340,6212,65340
46,84,66340,6212,66340
47,86,66990,6212,66990
47,86,67800,6212,67800
48,88,68800,6212,68800
48,88,69800,6212,69800
49,90,70270,6212,70270
49,90,70590,6212,70590
49,90,70590,6212,70590
49,90,71400,6212,71400
50,92,72210,6212,72210
50,92,72760,6212,72760
51,94,73570,6212,73570
51,94,73570,6212,73570
51,94,73570,6212,73570
51,94,74570,6212,74570
51,94,75570,6212,75570
52,96,76570,6212,76570
52,96,77380,6212,77380
53,98,78380,6212,78380
53,98,78850,6212,78850
53,98,79850,6212,79850
54,100,80850,6212,80850
54,100,81660,6212,81660
55,102,82660,6212,82660
55,102,83660,6212,83660
56,104,84660,6212,84660
56,104,84660,6212,84660
56,104,84660,6212,84660
56,104,84660,6212,84660
56,104,84660,6212,84660
56,104,85660,6212,85660
57,112,86660,6212,86660
58,114,87660,6212,87660
58,114,88470,6212,88470
58,114,88470,6212,88470
58,114,88470,6212,88470
59,118,89470,6212,89470
59,118,89470,6212,89470
59,118,89470,6212,89470
59,118,89470,6212,89470
59,118,90120,6212,90120
59,118,90930,6212,90930
59,118,90930,6212,90930
59,118,91930,6212,91930
59,118,92930,6212,92930
60,120,93400,6212,93400
60,120,94400,6212,94400
60,120,95400,6212,95400
61,122,96210,6212,96210
61,122,97210,6212,97210
62,124,98210,6212,98210
62,124,98210,6212,98210
63,126,98860,6212,98860
63,126,99860,6212,99860
63,126,99860,6212,99860
63,126,100510,6212,100510
63,126,100980,6212,100980
64,128,101980,6212,101980
64,128,102790,6212,102790
65,130,103600,6212,103600
65,130,104600,6212,104600
