ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1765661.1,28.82,0.31,193706.0,3.16
1765337.54,28.82,0.31,193680.36,3.16
1765013.98,28.81,0.31,193706.19,3.16
1764796.93,28.82,0.31,193700.9,3.16
1764661.6,28.82,0.32,193685.31,3.16
1764661.6,28.82,0.32,193685.31,3.16
1764661.6,28.82,0.32,193685.31,3.16
1764340.36,28.82,0.32,193670.25,3.16
1764340.36,28.82,0.32,193670.25,3.16
1764340.36,28.82,0.32,193670.25,3.16
1764340.36,28.82,0.32,193691.34,3.16
1764449.47,28.82,0.32,193687.32,3.16
1764313.37,28.82,0.32,193680.42,3.16
1764313.37,28.82,0.32,193680.42,3.16
1763989.8,28.82,0.32,194075.2,3.17
1763685.74,28.82,0.32,193882.26,3.17
1763805.43,28.83,0.33,194133.08,3.17
1763588.38,28.83,0.33,194381.53,3.18
1763320.21,28.83,0.33,194377.89,3.18
1763199.73,28.83,0.33,195608.69,3.2
1762901.6,28.83,0.33,195583.04,3.2
1762686.11,28.83,0.33,195519.78,3.2
1762686.11,28.83,0.33,195774.37,3.2
1762711.9,28.83,0.33,196146.13,3.21
1762413.78,28.83,0.33,196104.03,3.21
1762413.78,28.83,0.33,196104.03,3.21
1762436.6,28.84,0.34,195867.41,3.2
1762051.8,28.83,0.33,195638.06,3.2
1761758.19,28.83,0.33,195638.84,3.2
1761729.11,28.84,0.33,195816.75,3.21
1761701.58,28.84,0.34,195912.88,3.21
1761378.02,28.84,0.34,195887.28,3.21
1761199.31,28.84,0.34,195707.75,3.2
1760875.74,28.84,0.34,195733.12,3.21
1761025.52,28.85,0.34,195688.26,3.21
1760701.95,28.84,0.34,195668.49,3.21
1760380.71,28.84,0.34,195653.45,3.21
1760244.61,28.85,0.35,195761.69,3.21
1759921.05,28.84,0.35,195646.2,3.21
1759625.31,28.84,0.34,195366.19,3.2
1759736.42,28.85,0.35,196979.88,3.23
1759411.3,28.85,0.35,197157.29,3.23
1759117.7,28.85,0.35,197162.33,3.23
1758778.53,28.84,0.34,198799.27,3.26
1758454.96,28.84,0.34,198771.49,3.26
1758319.63,28.84,0.35,198765.84,3.26
1757996.07,28.84,0.35,198787.44,3.26
1757674.83,28.84,0.35,198760.89,3.26
1757389.58,28.84,0.34,198465.94,3.26
1757121.41,28.84,0.34,198449.52,3.26
1756826.81,28.84,0.34,198166.29,3.25
1756528.68,28.84,0.34,198153.47,3.25
1756834.48,28.84,0.34,198686.87,3.26
1756834.48,28.84,0.34,198687.36,3.26
1756510.14,28.84,0.34,198794.24,3.26
1756510.14,28.84,0.34,198794.24,3.26
1756186.57,28.84,0.34,198679.18,3.26
1755861.46,28.84,0.34,198856.61,3.27
1755740.98,28.84,0.35,198594.62,3.26
1755442.85,28.84,0.35,198766.13,3.27
1755442.85,28.84,0.35,199115.23,3.27
1755149.24,28.84,0.35,199122.46,3.27
1754834.15,28.84,0.34,198764.01,3.27
1754698.82,28.84,0.35,198746.86,3.27
1754375.26,28.84,0.35,198759.4,3.27
1754378.96,28.84,0.35,198740.76,3.27
1754378.96,28.84,0.35,198740.76,3.27
1754378.96,28.84,0.35,198740.76,3.27
1754159.33,28.84,0.35,198522.08,3.26
1753862.06,28.84,0.34,198506.08,3.26
1753566.33,28.83,0.34,198218.7,3.26
1753460.44,28.84,0.34,197782.31,3.25
1753244.94,28.84,0.34,197719.05,3.25
1753057.45,28.84,0.34,197608.5,3.25
1753057.45,28.84,0.34,197608.5,3.25
1753057.45,28.84,0.34,197608.5,3.25
1752736.21,28.84,0.34,197630.74,3.25
1752600.11,28.84,0.35,197603.6,3.25
1752600.11,28.84,0.35,197603.6,3.25
1752600.11,28.84,0.35,197602.79,3.25
1752464.78,28.84,0.35,198187.12,3.26
1752186.39,28.84,0.34,197916.9,3.26
1751969.35,28.84,0.34,197911.35,3.26
1751644.24,28.84,0.34,197825.96,3.26
1751349.21,28.84,0.34,197450.2,3.25
